position,pfr_name,feature,pretty_feature,feature_family,feature_in_regression_primary,feature_in_regression_secondary,feature_in_hit_classifier,raw_value,historical_median,historical_nonmissing_n,raw_value_percentile,raw_value_missing,base_pred_best2of3_ppg,neutralized_pred_best2of3_ppg,score_delta_ppg,base_hit_probability,neutralized_hit_probability,hit_delta_pp,direction_conflict,abs_score_delta_ppg,abs_hit_delta_pp
QB,Fernando Mendoza,draft_round,draft round,Draft capital,1,1,1,1.0,4.0,214,26.168224299065418,0,16.07838786703899,15.770674714453715,0.30771315258527565,0.4858231842517853,0.4816910922527313,0.4132091999053955,0,0.30771315258527565,0.4132091999053955
QB,Fernando Mendoza,draft_pick,draft pick,Draft capital,1,1,1,1.0,103.0,214,6.074766355140187,0,16.07838786703899,12.687849369517597,3.390538497521394,0.4858231842517853,0.1564122885465622,32.94108957052231,0,3.390538497521394,32.94108957052231
QB,Fernando Mendoza,log_pick,log draft pick,Draft capital,1,1,1,0.0,4.634728988229636,214,6.074766355140187,0,16.07838786703899,12.254174156204593,3.824213710834398,0.4858231842517853,0.3648332953453064,12.098988890647888,0,3.824213710834398,12.098988890647888
QB,Fernando Mendoza,pick_inv_sqrt,inverse-root draft pick,Draft capital,1,1,1,1.0,0.0985329278164293,214,100.0,0,16.07838786703899,12.76366887139589,3.3147189956431014,0.4858231842517853,0.4578494727611542,2.7973711490631104,0,3.3147189956431014,2.7973711490631104
QB,Fernando Mendoza,day1,first-round indicator,Draft capital,1,1,1,1.0,0.0,214,100.0,0,16.07838786703899,14.509212494883263,1.569175372155728,0.4858231842517853,0.4858231842517853,0.0,0,1.569175372155728,0.0
QB,Fernando Mendoza,day2,day-two indicator,Draft capital,1,1,1,0.0,0.0,214,78.03738317757009,0,16.07838786703899,16.07838786703899,0.0,0.4858231842517853,0.4858231842517853,0.0,0,0.0,0.0
QB,Fernando Mendoza,pass_EPAplay_final,EPAplay final season,Passing production,1,1,1,0.2883069810535137,0.2253090533214038,198,65.15151515151516,0,16.07838786703899,16.067861584125826,0.010526282913165375,0.4858231842517853,0.4858231842517853,0.0,0,0.010526282913165375,0.0
QB,Fernando Mendoza,pass_EPAplay_peak,EPAplay career peak,Passing production,1,1,1,0.2883069810535137,0.3194994671308624,198,41.91919191919192,0,16.07838786703899,16.083959822921344,-0.005571955882352597,0.4858231842517853,0.4858231842517853,0.0,0,0.005571955882352597,0.0
QB,Fernando Mendoza,pass_EPAplay_mean,EPAplay career mean,Passing production,1,1,1,0.203456436660502,0.17858106857494266,198,60.1010101010101,0,16.07838786703899,16.034029511383093,0.04435835565589841,0.4858231842517853,0.44658932089805603,3.923386335372925,0,0.04435835565589841,3.923386335372925
QB,Fernando Mendoza,pass_EPAplay_expadj_peak,EPAplay experience-adjusted peak,Passing production,1,1,1,0.2883069810535137,0.3358790379298646,198,33.83838383838384,0,16.07838786703899,16.094208866039992,-0.015820999001000757,0.4858231842517853,0.4858231842517853,0.0,0,0.015820999001000757,0.0
