position,pfr_name,feature_family,family_feature_count,family_hit_feature_count,base_pred_best2of3_ppg,neutralized_pred_best2of3_ppg,score_delta_ppg,base_hit_probability,neutralized_hit_probability,hit_delta_pp,direction_conflict,abs_score_delta_ppg,abs_hit_delta_pp
QB,Drew Allar,Passing production,66,66,3.798320480793714,3.053631630183925,0.7446888506097893,0.10031462460756302,0.07622440159320831,2.4090223014354706,0,0.7446888506097893,2.4090223014354706
QB,Drew Allar,Rushing production,24,24,3.798320480793714,3.4257583141251775,0.3725621666685366,0.10031462460756302,0.06860211491584778,3.171250969171524,0,0.3725621666685366,3.171250969171524
QB,Cade Klubnik,Age / experience,10,10,2.431670815460159,2.409029162288284,0.022641653171874943,0.12236779183149338,0.12236779183149338,0.0,0,0.022641653171874943,0.0
QB,Cade Klubnik,Draft capital,7,7,2.431670815460159,2.4623735487785443,-0.030702733318385356,0.12236779183149338,0.12236779183149338,0.0,0,0.030702733318385356,0.0
QB,Cade Klubnik,Passing production,66,66,2.431670815460159,0.972167530231241,1.459503285228918,0.12236779183149338,0.07490218430757523,4.746560752391815,0,1.459503285228918,4.746560752391815
QB,Cade Klubnik,Rushing production,24,24,2.431670815460159,2.3436192746591065,0.08805154080105249,0.12236779183149338,0.08319689333438873,3.9170898497104645,0,0.08805154080105249,3.9170898497104645
QB,Cole Payton,Age / experience,10,10,1.1618229532545397,1.411837922021475,-0.2500149687669353,0.05005872994661331,0.05005872994661331,0.0,0,0.2500149687669353,0.0
QB,Cole Payton,Draft capital,7,7,1.1618229532545397,1.6227946790303396,-0.4609717257757999,0.05005872994661331,0.05005872994661331,0.0,0,0.4609717257757999,0.0
QB,Cole Payton,Passing production,66,66,1.1618229532545397,0.5789505530276554,0.5828724002268842,0.05005872994661331,0.05005872994661331,0.0,0,0.5828724002268842,0.0
QB,Cole Payton,Rushing production,24,24,1.1618229532545397,1.0475740548991603,0.11424889835537932,0.05005872994661331,0.05005872994661331,0.0,0,0.11424889835537932,0.0
QB,Taylen Green,Age / experience,10,10,1.8476005965705267,1.9152357326895437,-0.06763513611901706,0.11004911363124847,0.11004911363124847,0.0,0,0.06763513611901706,0.0
QB,Taylen Green,Draft capital,7,7,1.8476005965705267,2.0976751070152644,-0.2500745104447377,0.11004911363124847,0.11004911363124847,0.0,0,0.2500745104447377,0.0
QB,Taylen Green,Passing production,66,66,1.8476005965705267,1.1810020587613974,0.6665985378091293,0.11004911363124847,0.07490218430757523,3.514692932367325,0,0.6665985378091293,3.514692932367325
QB,Taylen Green,Rushing production,24,24,1.8476005965705267,1.192726687973157,0.6548739085973696,0.11004911363124847,0.07448681443929672,3.556229919195175,0,0.6548739085973696,3.556229919195175
QB,Athan Kaliakmanis,Age / experience,10,10,1.4676418715811959,1.4756516227604553,-0.008009751179259395,0.06351283192634583,0.06351283192634583,0.0,0,0.008009751179259395,0.0
QB,Athan Kaliakmanis,Draft capital,7,7,1.4676418715811959,1.6711567939760634,-0.20351492239486757,0.06351283192634583,0.06351283192634583,0.0,0,0.20351492239486757,0.0
QB,Athan Kaliakmanis,Passing production,66,66,1.4676418715811959,1.0714137193015083,0.39622815227968755,0.06351283192634583,0.05424653738737106,0.9266294538974762,0,0.39622815227968755,0.9266294538974762
QB,Athan Kaliakmanis,Rushing production,24,24,1.4676418715811959,1.239091135603587,0.2285507359776089,0.06351283192634583,0.05865403264760971,0.48587992787361145,0,0.2285507359776089,0.48587992787361145
QB,Behren Morton,Age / experience,10,10,0.6617588760309832,0.6451196474135247,0.01663922861745848,0.0464363731443882,0.0464363731443882,0.0,0,0.01663922861745848,0.0
QB,Behren Morton,Draft capital,7,7,0.6617588760309832,0.8328248859729006,-0.17106600994191745,0.0464363731443882,0.0464363731443882,0.0,0,0.17106600994191745,0.0
QB,Behren Morton,Passing production,66,66,0.6617588760309832,0.5670075496710477,0.09475132635993544,0.0464363731443882,0.04679158702492714,-0.03552138805389404,1,0.09475132635993544,0.03552138805389404
QB,Behren Morton,Rushing production,24,24,0.6617588760309832,0.5321874148132362,0.12957146121774699,0.0464363731443882,0.04968000575900078,-0.32436326146125793,1,0.12957146121774699,0.32436326146125793
QB,Garrett Nussmeier,Age / experience,10,10,2.171524319637929,2.1936302243873578,-0.022105904749428973,0.05133340507745743,0.05133340507745743,0.0,0,0.022105904749428973,0.0
QB,Garrett Nussmeier,Draft capital,7,7,2.171524319637929,2.2088256930059478,-0.037301373368018975,0.05133340507745743,0.05133340507745743,0.0,0,0.037301373368018975,0.0
QB,Garrett Nussmeier,Passing production,66,66,2.171524319637929,0.9734957404792719,1.198028579158657,0.05133340507745743,0.05424653738737106,-0.2913132309913635,1,1.198028579158657,0.2913132309913635
QB,Garrett Nussmeier,Rushing production,24,24,2.171524319637929,1.7840236562618546,0.38750066337607425,0.05133340507745743,0.04735923558473587,0.39741694927215576,0,0.38750066337607425,0.39741694927215576
RB,Jeremiyah Love,Age / experience,10,10,16.05574465245991,16.045012194872434,0.010732457587476318,0.5895364880561829,0.5775867700576782,1.1949717998504639,0,0.010732457587476318,1.1949717998504639
RB,Jeremiyah Love,Athletic profile,12,12,16.05574465245991,15.688080787855261,0.3676638646046495,0.5895364880561829,0.3876432180404663,20.189327001571655,0,0.3676638646046495,20.189327001571655
RB,Jeremiyah Love,Draft capital,7,7,16.05574465245991,5.0256725525118275,11.030072099948082,0.5895364880561829,0.11482331156730652,47.471317648887634,0,11.030072099948082,47.471317648887634
RB,Jeremiyah Love,Receiving production,18,18,16.05574465245991,15.702550856595748,0.3531937958641631,0.5895364880561829,0.41102614998817444,17.851033806800842,0,0.3531937958641631,17.851033806800842
RB,Jeremiyah Love,Rushing production,30,30,16.05574465245991,16.138977355688198,-0.08323270322828691,0.5895364880561829,0.624861478805542,-3.532499074935913,0,0.08323270322828691,3.532499074935913
RB,Jadarian Price,Age / experience,10,10,12.184896460151636,12.186547607472786,-0.001651147321149793,0.25518521666526794,0.25518521666526794,0.0,0,0.001651147321149793,0.0
RB,Jadarian Price,Athletic profile,12,12,12.184896460151636,11.691672246148222,0.49322421400341376,0.25518521666526794,0.19106809794902802,6.411711871623993,0,0.49322421400341376,6.411711871623993
RB,Jadarian Price,Draft capital,7,7,12.184896460151636,6.01553308209908,6.169363378052556,0.25518521666526794,0.04101472347974777,21.417049318552017,0,6.169363378052556,21.417049318552017
RB,Jadarian Price,Receiving production,18,18,12.184896460151636,10.667143845660028,1.5177526144916076,0.25518521666526794,0.20290407538414001,5.228114128112793,0,1.5177526144916076,5.228114128112793
RB,Jadarian Price,Rushing production,30,30,12.184896460151636,12.556004196910262,-0.37110773675862596,0.25518521666526794,0.3071152865886688,-5.193006992340088,0,0.37110773675862596,5.193006992340088
RB,Kaelon Black,Age / experience,10,10,6.409410417692221,6.5628053387740835,-0.1533949210818628,0.13368530571460724,0.13368530571460724,0.0,0,0.1533949210818628,0.0
RB,Kaelon Black,Athletic profile,12,12,6.409410417692221,6.478843060267543,-0.06943264257532267,0.13368530571460724,0.10147956758737564,3.22057381272316,1,0.06943264257532267,3.22057381272316
RB,Kaelon Black,Draft capital,7,7,6.409410417692221,3.500358399938748,2.9090520177534724,0.13368530571460724,0.030709927901625633,10.29753778129816,0,2.9090520177534724,10.29753778129816
RB,Kaelon Black,Receiving production,18,18,6.409410417692221,6.995043752040541,-0.5856333343483202,0.13368530571460724,0.11231550574302673,2.1369799971580505,1,0.5856333343483202,2.1369799971580505
RB,Kaelon Black,Rushing production,30,30,6.409410417692221,6.4779062574318065,-0.06849583973958584,0.13368530571460724,0.1607808619737625,-2.7095556259155273,0,0.06849583973958584,2.7095556259155273
RB,Jonah Coleman,Age / experience,10,10,4.114206373471666,4.253731657055873,-0.13952528358420668,0.10332628339529037,0.10332628339529037,0.0,0,0.13952528358420668,0.0
RB,Jonah Coleman,Athletic profile,12,12,4.114206373471666,5.076786960618153,-0.962580587146487,0.10332628339529037,0.06847899407148361,3.4847289323806763,1,0.962580587146487,3.4847289323806763
RB,Jonah Coleman,Draft capital,7,7,4.114206373471666,3.4284710619513348,0.6857353115203315,0.10332628339529037,0.052235592156648636,5.109069123864174,0,0.6857353115203315,5.109069123864174
RB,Jonah Coleman,Receiving production,18,18,4.114206373471666,4.032766279847056,0.08144009362461002,0.10332628339529037,0.09541384875774384,0.7912434637546539,0,0.08144009362461002,0.7912434637546539
RB,Jonah Coleman,Rushing production,30,30,4.114206373471666,4.042384672098089,0.07182170137357691,0.10332628339529037,0.0761411190032959,2.7185164391994476,0,0.07182170137357691,2.7185164391994476
RB,Mike Washington Jr.,Age / experience,10,10,4.532991907294855,4.69031108377837,-0.15731917648351512,0.028827263042330742,0.028827263042330742,0.0,0,0.15731917648351512,0.0
RB,Mike Washington Jr.,Athletic profile,12,12,4.532991907294855,3.5850608715202927,0.9479310357745625,0.028827263042330742,0.015735847875475883,1.3091415166854858,0,0.9479310357745625,1.3091415166854858
RB,Mike Washington Jr.,Draft capital,7,7,4.532991907294855,4.203745233947176,0.3292466733476793,0.028827263042330742,0.028827263042330742,0.0,0,0.3292466733476793,0.0
RB,Mike Washington Jr.,Receiving production,18,18,4.532991907294855,4.942713057747737,-0.4097211504528815,0.028827263042330742,0.029540028423070908,-0.07127653807401657,0,0.4097211504528815,0.07127653807401657
RB,Mike Washington Jr.,Rushing production,30,30,4.532991907294855,5.087452519869682,-0.554460612574827,0.028827263042330742,0.046907633543014526,-1.8080370500683784,0,0.554460612574827,1.8080370500683784
RB,Emmett Johnson,Age / experience,10,10,3.4315610934910166,3.433191601470652,-0.001630507979635265,0.04804985970258713,0.04804985970258713,0.0,0,0.001630507979635265,0.0
RB,Emmett Johnson,Athletic profile,12,12,3.4315610934910166,3.7303236874864267,-0.29876259399541016,0.04804985970258713,0.04489060491323471,0.3159254789352417,1,0.29876259399541016,0.3159254789352417
RB,Emmett Johnson,Draft capital,7,7,3.4315610934910166,4.142475151838598,-0.7109140583475813,0.04804985970258713,0.04804985970258713,0.0,0,0.7109140583475813,0.0
RB,Emmett Johnson,Receiving production,18,18,3.4315610934910166,3.0926900323182203,0.3388710611727963,0.04804985970258713,0.040174487978219986,0.7875371724367142,0,0.3388710611727963,0.7875371724367142
RB,Emmett Johnson,Rushing production,30,30,3.4315610934910166,3.70487903853401,-0.2733179450429932,0.04804985970258713,0.030014382675290108,1.803547702729702,1,0.2733179450429932,1.803547702729702
RB,Nicholas Singleton,Age / experience,10,10,2.7933267426359496,2.930168911823287,-0.1368421691873376,0.038926564157009125,0.038926564157009125,0.0,0,0.1368421691873376,0.0
RB,Nicholas Singleton,Athletic profile,12,12,2.7933267426359496,3.5122518974468324,-0.7189251548108828,0.038926564157009125,0.028735226020216942,1.0191338136792183,1,0.7189251548108828,1.0191338136792183
RB,Nicholas Singleton,Draft capital,7,7,2.7933267426359496,3.5867398272333126,-0.793413084597363,0.038926564157009125,0.038926564157009125,0.0,0,0.793413084597363,0.0
RB,Nicholas Singleton,Receiving production,18,18,2.7933267426359496,2.9277901116247183,-0.13446336898876865,0.038926564157009125,0.03237713873386383,0.6549425423145294,1,0.13446336898876865,0.6549425423145294
RB,Nicholas Singleton,Rushing production,30,30,2.7933267426359496,2.5936713600994863,0.1996553825364633,0.038926564157009125,0.037875160574913025,0.10514035820960999,0,0.1996553825364633,0.10514035820960999
RB,Adam Randall,Age / experience,10,10,2.933890347765043,3.252090004440597,-0.3181996566755543,0.041186507791280746,0.03856494650244713,0.2621561288833618,1,0.3181996566755543,0.2621561288833618
RB,Adam Randall,Athletic profile,12,12,2.933890347765043,2.711389611638228,0.22250073612681476,0.041186507791280746,0.03374386951327324,0.7442638278007507,0,0.22250073612681476,0.7442638278007507
RB,Adam Randall,Draft capital,7,7,2.933890347765043,3.9089417996263744,-0.9750514518613316,0.041186507791280746,0.03648408502340317,0.4702422767877579,1,0.9750514518613316,0.4702422767877579
RB,Adam Randall,Receiving production,18,18,2.933890347765043,2.973956555049905,-0.0400662072848621,0.041186507791280746,0.05604458227753639,-1.4858074486255646,0,0.0400662072848621,1.4858074486255646
RB,Adam Randall,Rushing production,30,30,2.933890347765043,3.266498557988907,-0.3326082102238641,0.041186507791280746,0.028640152886509895,1.2546354904770851,1,0.3326082102238641,1.2546354904770851
RB,Kaytron Allen,Age / experience,10,10,1.8638266773972922,2.007975173480717,-0.14414849608342473,0.022278431802988052,0.022278431802988052,0.0,0,0.14414849608342473,0.0
RB,Kaytron Allen,Athletic profile,12,12,1.8638266773972922,2.5516085092223317,-0.6877818318250395,0.022278431802988052,0.014601976610720158,0.7676455192267895,1,0.6877818318250395,0.7676455192267895
RB,Kaytron Allen,Draft capital,7,7,1.8638266773972922,3.2683044847614764,-1.4044778073641841,0.022278431802988052,0.022278431802988052,0.0,0,1.4044778073641841,0.0
RB,Kaytron Allen,Receiving production,18,18,1.8638266773972922,2.196506979068169,-0.3326803016708768,0.022278431802988052,0.04467103257775307,-2.2392600774765015,0,0.3326803016708768,2.2392600774765015
RB,Kaytron Allen,Rushing production,30,30,1.8638266773972922,1.8082267007403119,0.055599976656980354,0.022278431802988052,0.016996460035443306,0.5281971767544746,0,0.055599976656980354,0.5281971767544746
RB,Demond Claiborne,Age / experience,10,10,2.995577286247344,3.0140316380751138,-0.018454351827769777,0.03680477663874626,0.03680477663874626,0.0,0,0.018454351827769777,0.0
RB,Demond Claiborne,Athletic profile,12,12,2.995577286247344,2.3686698943128306,0.6269073919345134,0.03680477663874626,0.02100985124707222,1.5794925391674042,0,0.6269073919345134,1.5794925391674042
RB,Demond Claiborne,Draft capital,7,7,2.995577286247344,4.608414469559396,-1.6128371833120516,0.03680477663874626,0.03680477663874626,0.0,0,1.6128371833120516,0.0
RB,Demond Claiborne,Receiving production,18,18,2.995577286247344,2.9595218410795647,0.036055445167779254,0.03680477663874626,0.0417366586625576,-0.49318820238113403,1,0.036055445167779254,0.49318820238113403
RB,Demond Claiborne,Rushing production,30,30,2.995577286247344,3.408986439646313,-0.4134091533989692,0.03680477663874626,0.03543886914849281,0.13659074902534485,1,0.4134091533989692,0.13659074902534485
RB,Eli Heidenreich,Age / experience,10,10,4.766462086744459,4.769619905996157,-0.003157819251697447,0.13900887966156006,0.13900887966156006,0.0,0,0.003157819251697447,0.0
RB,Eli Heidenreich,Athletic profile,12,12,4.766462086744459,4.374437341242146,0.39202474550231337,0.13900887966156006,0.09624069184064865,4.276818782091141,0,0.39202474550231337,4.276818782091141
RB,Eli Heidenreich,Draft capital,7,7,4.766462086744459,7.133423884470503,-2.3669617977260433,0.13900887966156006,0.13900887966156006,0.0,0,2.3669617977260433,0.0
RB,Eli Heidenreich,Receiving production,18,18,4.766462086744459,3.192866239296736,1.5735958474477232,0.13900887966156006,0.04511629790067673,9.389258176088333,0,1.5735958474477232,9.389258176088333
RB,Eli Heidenreich,Rushing production,30,30,4.766462086744459,3.9728161136561377,0.7936459730883216,0.13900887966156006,0.11596973985433578,2.3039139807224274,0,0.7936459730883216,2.3039139807224274
RB,Seth McGowan,Age / experience,10,10,1.6407759509443276,2.439265195217689,-0.7984892442733613,0.06139019876718521,0.06139019876718521,0.0,0,0.7984892442733613,0.0
RB,Seth McGowan,Athletic profile,12,12,1.6407759509443276,0.9635991107033512,0.6771768402409764,0.06139019876718521,0.04661298543214798,1.4777213335037231,0,0.6771768402409764,1.4777213335037231
RB,Seth McGowan,Draft capital,7,7,1.6407759509443276,4.146531547796844,-2.5057555968525165,0.06139019876718521,0.06139019876718521,0.0,0,2.5057555968525165,0.0
RB,Seth McGowan,Receiving production,18,18,1.6407759509443276,2.030158899256647,-0.38938294831231945,0.06139019876718521,0.03695296868681908,2.4437230080366135,1,0.38938294831231945,2.4437230080366135
RB,Seth McGowan,Rushing production,30,30,1.6407759509443276,1.3608641884866273,0.27991176245770033,0.06139019876718521,0.05577412620186806,0.5616072565317154,0,0.27991176245770033,0.5616072565317154
RB,Jam Miller,Age / experience,10,10,0.5676106526524576,0.7019141828335291,-0.13430353018107155,0.02254621870815754,0.02254621870815754,0.0,0,0.13430353018107155,0.0
RB,Jam Miller,Athletic profile,12,12,0.5676106526524576,0.6370432952277811,-0.06943264257532356,0.02254621870815754,0.018167398869991302,0.4378819838166237,1,0.06943264257532356,0.4378819838166237
RB,Jam Miller,Draft capital,7,7,0.5676106526524576,3.19608119038483,-2.6284705377323725,0.02254621870815754,0.022109221667051315,0.043699704110622406,1,2.6284705377323725,0.043699704110622406
RB,Jam Miller,Receiving production,18,18,0.5676106526524576,0.8508422859567171,-0.2832316333042595,0.02254621870815754,0.033865902572870255,-1.1319683864712715,0,0.2832316333042595,1.1319683864712715
RB,Jam Miller,Rushing production,30,30,0.5676106526524576,1.2618767938908158,-0.6942661412383582,0.02254621870815754,0.023311898112297058,-0.07656794041395187,0,0.6942661412383582,0.07656794041395187
WR,Carnell Tate,Age / experience,4,4,10.396023701730696,10.294278314325734,0.10174538740496253,0.5679136514663696,0.5357345938682556,3.2179057598114014,0,0.10174538740496253,3.2179057598114014
WR,Carnell Tate,Draft capital,7,7,10.396023701730696,3.0442426022075506,7.351781099523146,0.5679136514663696,0.10288073867559433,46.50329127907753,0,7.351781099523146,46.50329127907753
WR,Carnell Tate,Other production,4,4,10.396023701730696,10.39961190801321,-0.0035882062825134398,0.5679136514663696,0.5687615275382996,-0.08478760719299316,0,0.0035882062825134398,0.08478760719299316
WR,Carnell Tate,Receiving production,114,114,10.396023701730696,9.14866876775711,1.247354933973586,0.5679136514663696,0.41480425000190735,15.310940146446228,0,1.247354933973586,15.310940146446228
WR,Carnell Tate,Scouting surprise,2,2,10.396023701730696,9.824359826680674,0.5716638750500227,0.5679136514663696,0.43583253026008606,13.208112120628357,0,0.5716638750500227,13.208112120628357
WR,Jordyn Tyson,Age / experience,4,4,7.351202510004004,7.456704302721093,-0.1055017927170887,0.2917986512184143,0.3805132508277893,-8.8714599609375,0,0.1055017927170887,8.8714599609375
WR,Jordyn Tyson,Draft capital,7,7,7.351202510004004,3.2044243359843936,4.146778174019611,0.2917986512184143,0.045345839112997055,24.645281210541725,0,4.146778174019611,24.645281210541725
WR,Jordyn Tyson,Other production,4,4,7.351202510004004,7.271776279511807,0.07942623049219755,0.2917986512184143,0.2840441167354584,0.7754534482955933,0,0.07942623049219755,0.7754534482955933
WR,Jordyn Tyson,Receiving production,114,114,7.351202510004004,8.078594864945984,-0.7273923549419798,0.2917986512184143,0.29557058215141296,-0.3771930932998657,0,0.7273923549419798,0.3771930932998657
WR,Jordyn Tyson,Scouting surprise,2,2,7.351202510004004,7.210422662064831,0.1407798479391733,0.2917986512184143,0.21308577060699463,7.871288061141968,0,0.1407798479391733,7.871288061141968
WR,Makai Lemon,Age / experience,4,4,10.264735414915965,10.245879164915964,0.018856250000000685,0.5795919895172119,0.5718947052955627,0.769728422164917,0,0.018856250000000685,0.769728422164917
WR,Makai Lemon,Draft capital,7,7,10.264735414915965,3.8499501463085237,6.4147852686074405,0.5795919895172119,0.0890977680683136,49.04942214488983,0,6.4147852686074405,49.04942214488983
WR,Makai Lemon,Other production,4,4,10.264735414915965,10.226424931972785,0.038310482943179736,0.5795919895172119,0.5804339051246643,-0.08419156074523926,1,0.038310482943179736,0.08419156074523926
WR,Makai Lemon,Receiving production,114,114,10.264735414915965,9.08334717562026,1.1813882392957051,0.5795919895172119,0.39276018738746643,18.68318021297455,0,1.1813882392957051,18.68318021297455
WR,Makai Lemon,Scouting surprise,2,2,10.264735414915965,10.178192319177674,0.08654309573829089,0.5795919895172119,0.43595075607299805,14.364123344421387,0,0.08654309573829089,14.364123344421387
WR,KC Concepcion,Age / experience,4,4,9.917473993347347,9.995690925120057,-0.07821693177270994,0.6734994053840637,0.6720021367073059,0.14972686767578125,1,0.07821693177270994,0.14972686767578125
WR,KC Concepcion,Draft capital,7,7,9.917473993347347,5.221400100415168,4.696073892932179,0.6734994053840637,0.22821134328842163,44.52880620956421,0,4.696073892932179,44.52880620956421
WR,KC Concepcion,Other production,4,4,9.917473993347347,9.822036880252108,0.0954371130952385,0.6734994053840637,0.673936128616333,-0.04367232322692871,1,0.0954371130952385,0.04367232322692871
WR,KC Concepcion,Receiving production,114,114,9.917473993347347,8.539750065276115,1.377723928071232,0.6734994053840637,0.3790322244167328,29.446718096733093,0,1.377723928071232,29.446718096733093
WR,KC Concepcion,Scouting surprise,2,2,9.917473993347347,9.752097570528221,0.16537642281912568,0.6734994053840637,0.6186357140541077,5.4863691329956055,0,0.16537642281912568,5.4863691329956055
WR,Omar Cooper Jr.,Age / experience,4,4,5.960267758103249,5.960267758103249,0.0,0.06986859440803528,0.06986859440803528,0.0,0,0.0,0.0
WR,Omar Cooper Jr.,Draft capital,7,7,5.960267758103249,3.8378455527210913,2.1224222053821573,0.06986859440803528,0.021449893712997437,4.841870069503784,0,2.1224222053821573,4.841870069503784
WR,Omar Cooper Jr.,Other production,4,4,5.960267758103249,5.829132312675078,0.13113544542817035,0.06986859440803528,0.0674501284956932,0.24184659123420715,0,0.13113544542817035,0.24184659123420715
WR,Omar Cooper Jr.,Receiving production,114,114,5.960267758103249,8.740667247148869,-2.78039948904562,0.06986859440803528,0.19596068561077118,-12.60920912027359,0,2.78039948904562,12.60920912027359
WR,Omar Cooper Jr.,Scouting surprise,2,2,5.960267758103249,5.40290676045419,0.5573609976490586,0.06986859440803528,0.047991544008255005,2.1877050399780273,0,0.5573609976490586,2.1877050399780273
WR,De'Zhaun Stribling,Age / experience,4,4,7.555284829556821,7.631825634878949,-0.0765408053221277,0.14852121472358704,0.1981373280286789,-4.961611330509186,0,0.0765408053221277,4.961611330509186
WR,De'Zhaun Stribling,Draft capital,7,7,7.555284829556821,2.610483928654796,4.944800900902025,0.14852121472358704,0.06385423243045807,8.466698229312897,0,4.944800900902025,8.466698229312897
WR,De'Zhaun Stribling,Other production,4,4,7.555284829556821,7.406098331207481,0.14918649834933984,0.14852121472358704,0.14380113780498505,0.472007691860199,0,0.14918649834933984,0.472007691860199
WR,De'Zhaun Stribling,Receiving production,114,114,7.555284829556821,6.523873001700678,1.031411827856143,0.14852121472358704,0.13625451922416687,1.2266695499420166,0,1.031411827856143,1.2266695499420166
WR,De'Zhaun Stribling,Scouting surprise,2,2,7.555284829556821,7.475374760529213,0.07991006902760756,0.14852121472358704,0.10768397897481918,4.083723574876785,0,0.07991006902760756,4.083723574876785
WR,Denzel Boston,Age / experience,4,4,8.742896696928765,8.866998014705874,-0.12410131777710909,0.40082594752311707,0.503889262676239,-10.306331515312195,0,0.12410131777710909,10.306331515312195
WR,Denzel Boston,Draft capital,7,7,8.742896696928765,2.7037922519007624,6.039104445028003,0.40082594752311707,0.1116199940443039,28.920595347881317,0,6.039104445028003,28.920595347881317
WR,Denzel Boston,Other production,4,4,8.742896696928765,8.477785301120445,0.26511139580832044,0.40082594752311707,0.3898119330406189,1.101401448249817,0,0.26511139580832044,1.101401448249817
WR,Denzel Boston,Receiving production,114,114,8.742896696928765,6.563067962685074,2.1798287342436913,0.40082594752311707,0.14035466313362122,26.047128438949585,0,2.1798287342436913,26.047128438949585
WR,Denzel Boston,Scouting surprise,2,2,8.742896696928765,8.600611169717883,0.14228552721088228,0.40082594752311707,0.30042508244514465,10.040086507797241,0,0.14228552721088228,10.040086507797241
WR,Germie Bernard,Age / experience,4,4,5.660352908288315,5.736197868522408,-0.07584496023409315,0.07231198251247406,0.09378578513860703,-2.1473802626132965,0,0.07584496023409315,2.1473802626132965
WR,Germie Bernard,Draft capital,7,7,5.660352908288315,2.8168598529411755,2.84349305534714,0.07231198251247406,0.025553688406944275,4.6758294105529785,0,2.84349305534714,4.6758294105529785
WR,Germie Bernard,Other production,4,4,5.660352908288315,5.483366149334735,0.1769867589535803,0.07231198251247406,0.06981528550386429,0.24966970086097717,0,0.1769867589535803,0.24966970086097717
WR,Germie Bernard,Receiving production,114,114,5.660352908288315,5.989009176170465,-0.32865626788214986,0.07231198251247406,0.138671875,-6.635989248752594,0,0.32865626788214986,6.635989248752594
WR,Germie Bernard,Scouting surprise,2,2,5.660352908288315,5.581332334558823,0.07902057372949223,0.07231198251247406,0.04886583611369133,2.344614639878273,0,0.07902057372949223,2.344614639878273
WR,Antonio Williams,Age / experience,4,4,5.087450011129453,5.072426256627653,0.015023754501800823,0.09239408373832703,0.1248399168252945,-3.244583308696747,1,0.015023754501800823,3.244583308696747
WR,Antonio Williams,Draft capital,7,7,5.087450011129453,3.1741773241796722,1.9132726869497811,0.09239408373832703,0.05225174129009247,4.014234244823456,0,1.9132726869497811,4.014234244823456
WR,Antonio Williams,Other production,4,4,5.087450011129453,4.76428174532313,0.3231682658063235,0.09239408373832703,0.0926843136548996,-0.02902299165725708,1,0.3231682658063235,0.02902299165725708
WR,Antonio Williams,Receiving production,114,114,5.087450011129453,6.17097797038134,-1.083527959251887,0.09239408373832703,0.1031547486782074,-1.076066493988037,0,1.083527959251887,1.076066493988037
