position,rank,pfr_name,prospect_model_percentile,outcome_percentile,prospect_percentile_reference_n,draft_team,draft_round,draft_pick,pred_best2of3_ppg,pred_peak3_ppg,pred_rookie_ppg,pred_avg3_ppg,pred_total3_ppr,pred80_low,pred80_high,pred90_low,pred90_high,hit_probability,college_match,fuzzy_match,scout_boost
QB,1,Fernando Mendoza,97.72727272727273,90.18691588785047,176,LVR,1,1,16.07838786703899,17.676540350130104,12.034913825685841,13.548131378816148,661.9295136849136,10.207449525936074,21.94932620814191,7.780908988457382,24.3758667456206,0.48582318,1.0,0.0,1.1205299999117333
QB,2,Ty Simpson,89.20454545454545,83.64485981308411,176,LAR,1,13,13.029138068869283,14.706321503864118,7.578099168375301,10.526885914385705,515.0984763659812,7.158199727766367,18.9000764099722,4.731659190287674,21.326616947450894,0.43218362,1.0,0.0,-0.5703349192736467
QB,3,Carson Beck,73.29545454545455,69.62616822429906,176,ARI,3,65,6.6289831078224655,7.849878354171141,4.750641239110542,5.663779979071659,266.8295534766596,0.7580447667195491,12.499921448925381,0.0,14.926461986404075,0.05893855,1.0,0.0,0.560031103215251
QB,4,Drew Allar,63.06818181818182,62.149532710280376,176,PIT,3,76,3.7983204807937154,5.431105010442067,1.8356115042776309,2.8448344359668463,134.62652783268584,0.0,9.669258821896632,0.0,12.095799359375324,0.100314625,1.0,0.0,-1.5814536457282173
QB,5,Cade Klubnik,54.54545454545454,57.943925233644855,176,NYJ,4,110,2.431670815460159,3.1161838637426116,1.5113165612392079,1.5780590799979768,81.31868469521403,0.0,8.302609156563076,0.0,10.729149694041768,0.12236779,1.0,0.0,-1.1513317268250476
QB,6,Garrett Nussmeier,49.43181818181818,56.54205607476636,176,KAN,7,249,2.1715243196379284,2.7416876155765655,0.7015661461527619,1.4469723307133344,67.28637341449804,0.0,8.042462660740846,0.0,10.469003198219538,0.051333405,1.0,0.0,-2.119475924087126
QB,7,Taylen Green,39.77272727272727,55.60747663551402,176,CLE,6,182,1.8476005965705267,3.1921976547643633,1.3873947722204887,1.2791567662542458,59.747773757273805,0.0,7.7185389376734435,0.0,10.145079475152135,0.11004911,1.0,0.0,-3.3203944968420216
QB,8,Athan Kaliakmanis,34.090909090909086,51.4018691588785,176,WAS,7,223,1.4676418715811959,2.220073941684886,0.4163086962391016,0.939228731217288,49.49315769307185,0.0,7.338580212684112,0.0,9.765120750162804,0.06351283,1.0,0.0,-1.0476512405177312
QB,9,Cole Payton,25.568181818181817,49.06542056074766,176,PHI,5,178,1.1618229532545394,2.0787697086054417,0.5050296769262488,0.7986404360457489,37.91160913453201,0.0,7.032761294357456,0.0,9.459301831836148,0.05005873,0.0,0.0,-0.5561570427679161
QB,10,Behren Morton,5.113636363636364,43.925233644859816,176,NWE,7,234,0.6617588760309832,0.9896094552413968,0.2401842712512745,0.4443414750173812,22.939769376826717,0.0,6.532697217133899,0.0,8.959237754612593,0.046436373,1.0,0.0,-0.9050613604798086
RB,1,Jeremiyah Love,100.0,94.48441247002398,373,ARI,1,3,16.055744652459907,18.08996299548002,13.78744693598324,13.551823743985404,652.8937336552253,11.415570466327402,20.695918838592412,9.740251737943803,22.371237566976014,0.5895365,1.0,0.0,1.9894954158977287
RB,2,Jadarian Price,96.7828418230563,86.33093525179856,373,SEA,1,32,12.184896460151636,14.107894936342582,8.42138041422157,9.923270840230018,484.61536910608305,7.544722274019131,16.82507064628414,5.869403545635532,18.50038937466774,0.25518522,1.0,0.0,1.6667279389341831
RB,3,Kaelon Black,71.84986595174263,66.90647482014388,373,SFO,3,90,6.40941041769222,7.44372057614759,4.881754623361127,5.359231670397843,262.013405616464,1.7692362315597148,11.049584603824725,0.09391750317611525,12.724903332208324,0.1336853,1.0,0.0,0.7220071743254151
RB,4,Eli Heidenreich,59.78552278820375,59.71223021582733,373,PIT,7,230,4.766462086744459,5.88928899351823,2.671631430268176,3.7336593594947285,184.17172276044369,0.12628790061195438,9.406636272876964,0.0,11.081955001260564,0.13900888,1.0,0.0,-1.3226058404888272
RB,5,Mike Washington Jr.,57.37265415549599,58.27338129496403,373,LVR,4,122,4.532991907294855,5.6044330212156535,3.0824109576160152,3.608521795653246,178.1579780148885,0.0,9.17316609342736,0.0,10.84848482181096,0.028827263,1.0,0.0,0.32177453684790525
RB,6,Jonah Coleman,51.742627345844504,55.875299760191844,373,DEN,4,108,4.114206373471667,5.094621757670309,3.6863644065316006,3.2312750482201276,157.77423851923126,0.0,8.754380559604172,0.0,10.429699287987772,0.10332628,1.0,0.0,0.04281653651649542
RB,7,Emmett Johnson,40.48257372654155,52.51798561151079,373,KAN,5,161,3.431561093491017,4.330980114926616,2.2164017887888923,2.7062855440566826,131.4782970293856,0.0,8.071735279623521,0.0,9.747054008007122,0.04804986,1.0,0.0,-0.5462537332012927
RB,8,Demond Claiborne,36.193029490616624,50.83932853717026,373,MIN,6,198,2.9955772862473444,3.7062395564252952,1.228266299783869,2.2501846775841328,109.71418947141782,0.0,7.63575147237985,0.0,9.31107020076345,0.036804777,1.0,0.0,-0.5014008286743366
RB,9,Adam Randall,34.852546916890084,50.59952038369304,373,BAL,5,174,2.933890347765044,4.019249989967157,3.0643300092331893,2.1099034041902143,101.23842551481147,0.0,7.574064533897549,0.0,9.24938326228115,0.041186508,1.0,0.0,0.11452100077596228
RB,10,Nicholas Singleton,32.975871313672926,49.40047961630695,373,TEN,5,165,2.7933267426359496,3.510577824958857,1.9765811713264472,2.177245695042969,106.37854161048047,0.0,7.433500928768455,0.0,9.108819657152054,0.038926564,1.0,0.0,-0.6910917586677217
RB,11,Kaytron Allen,19.571045576407506,42.44604316546763,373,WAS,6,187,1.863826677397293,2.395179120142865,1.6373579723469747,1.4829042575258984,72.84926943109534,0.0,6.504000863529798,0.0,8.179319591913398,0.022278432,1.0,0.0,-0.8732728495621966
RB,12,Seth McGowan,16.890080428954423,38.36930455635492,373,IND,7,237,1.6407759509443296,2.0375957094377246,1.2259749817453898,1.3240031603358955,65.33811357982583,0.0,6.280950137076834,0.0,7.956268865460434,0.0613902,1.0,0.0,-0.7922354631268842
RB,13,Jam Miller,4.557640750670242,25.65947242206235,373,NWE,7,245,0.5676106526524607,1.0337286759981645,0.13675350315243806,0.2385945377421499,12.760482132950031,0.0,5.207784838784965,0.0,6.883103567168565,0.022546219,1.0,0.0,-0.5000508015513407
WR,1,Carnell Tate,94.0952380952381,83.95904436860067,525,TEN,1,4,10.396023701730696,11.659741475590238,7.77318871598639,8.661421952428185,419.92369931972775,4.884479586084439,15.907567817376954,3.5701456660164137,17.22190173744498,0.56791365,1.0,0.0,2.4313149037892225
WR,2,Makai Lemon,93.33333333333333,83.78839590443687,525,PHI,1,20,10.264735414915965,11.670019860444173,6.664001407062825,8.386158410587635,426.67331619047593,4.753191299269708,15.77627953056222,3.438857379201682,17.090613450630247,0.579592,1.0,0.0,0.9161786334048196
WR,3,KC Concepcion,91.80952380952381,82.93515358361775,525,CLE,1,24,9.917473993347349,11.430519609843932,7.826244266956775,8.733791637071297,441.743832244898,4.405929877701092,15.429018108993606,3.091595957633066,16.743352029061633,0.6734994,1.0,0.0,1.064641962652487
WR,4,Denzel Boston,86.28571428571429,78.32764505119454,525,CLE,2,39,8.742896696928765,10.301855230592238,7.981258727991189,7.129661064474502,345.5974325170068,3.2313525812825086,14.254440812575023,1.9170186612144828,15.568774732643048,0.40082595,1.0,0.0,0.7029098576219042
WR,5,De'Zhaun Stribling,78.85714285714286,73.37883959044369,525,SFO,2,33,7.555284829556821,8.9290643935074,7.3202757047819045,6.081385092749754,316.76684673469373,2.043740713910564,13.066828945203078,0.7294067938425384,14.381162865271104,0.14852121,1.0,0.0,1.8199351454025403
WR,6,Jordyn Tyson,77.71428571428571,72.52559726962457,525,NOR,1,8,7.351202510004006,7.7911459793917635,6.23157775910364,6.528365691096578,326.4475159183671,1.8396583943577491,12.862746625650264,0.5253244742897234,14.177080545718288,0.29179865,1.0,0.0,2.1556648854031937
WR,7,Omar Cooper Jr.,69.14285714285714,68.43003412969283,525,NYJ,1,30,5.960267758103249,6.432647057823131,4.814296094187675,4.318746805935977,217.7585349659862,0.4487236424569918,11.471811873749505,0.0,12.786145793817532,0.069868594,1.0,0.0,0.3417855919870716
WR,8,Germie Bernard,66.85714285714286,67.06484641638225,525,PIT,2,47,5.660352908288315,7.506793175186742,5.590932319927976,4.864879139744605,248.85660061224485,0.14880879264205849,11.171897023934573,0.0,12.486230944002598,0.07231198,1.0,0.0,0.44392548001679
WR,9,Elijah Sarratt,64.95238095238095,66.72354948805462,525,BAL,4,115,5.434221705682271,6.385772392957189,3.611845318627448,4.4148615984998765,225.367517687075,0.0,10.945765821328528,0.0,12.260099741396553,0.14666602,1.0,0.0,-1.6321828396915623
WR,10,Malachi Fields,64.95238095238095,66.38225255972696,525,NYG,3,74,5.4003923165516206,6.909673560507537,3.7198312309923964,4.603855807197844,224.62380993197277,0.0,10.911936432197876,0.0,12.226270352265903,0.060176514,1.0,0.0,0.13429407419765838
WR,11,Antonio Williams,62.476190476190474,65.35836177474403,525,WAS,3,71,5.087450011129453,6.274023906479258,3.9415475790316123,3.5887131643566943,200.6537298639457,0.0,10.598994126775711,0.0,11.913328046843736,0.092394084,1.0,0.0,0.4831385364879299
WR,12,Caleb Douglas,62.095238095238095,64.67576791808874,525,MIA,3,75,4.990803552546018,5.97755713235294,3.7011365551220505,3.9142452793726954,185.38122707482978,0.0,10.502347668192275,0.0,11.816681588260302,0.06028268,1.0,0.0,-0.04621085240262435
WR,13,Ted Hurst,61.523809523809526,64.16382252559727,525,TAM,3,84,4.924652876150458,6.237727900243432,3.524682941426569,4.012779325064609,201.6118870748299,0.0,10.436196991796715,0.0,11.75053091186474,0.22577477,1.0,0.0,0.7126772734525373
WR,14,Chris Bell,59.80952380952381,63.13993174061433,525,MIA,3,94,4.660868620406493,6.0522407540516205,2.7161388510404167,3.642898405043424,187.98858380952385,0.0,10.172412736052749,0.0,11.486746656120776,0.0931194,1.0,0.0,-0.5265480721744158
