season,pfr_name,draft_pick,primary_ppg,position,prospect_model_score,training_rows_before_draft
2016,Cody Kessler,93,3.614375,QB,3.5716958960561334,129
2016,Connor Cook,100,0.1875,QB,2.379237338669965,129
2016,Dak Prescott,135,17.899375,QB,2.2594784812958233,129
2016,Cardale Jones,139,0.054375,QB,1.6682043799885495,129
2016,Kevin Hogan,162,1.57625,QB,2.0213319781600703,129
2016,Nate Sudfeld,187,0.38249999999999995,QB,0.7836198605775646,129
2016,Jake Rudock,191,0.0,QB,1.151782299494187,129
2016,Brandon Allen,201,0.0,QB,0.8324634126099156,129
2016,Jeff Driskel,207,2.66,QB,1.0403624822094701,129
2016,Brandon Doughty,223,0.0,QB,2.1116528171737228,129
2017,Mitch Trubisky,2,14.5575,QB,15.626610593823422,144
2017,Patrick Mahomes,10,22.003750000000004,QB,11.955229972888546,144
2017,Deshaun Watson,12,20.396250000000002,QB,10.809613475079859,144
2017,DeShone Kizer,52,5.6575,QB,2.7862870645173845,144
2017,Davis Webb,87,0.0,QB,3.8203144934660314,144
2017,C.J. Beathard,104,5.118125,QB,3.215885075927968,144
2017,Joshua Dobbs,135,0.025625000000000002,QB,2.087169617325266,144
2017,Nathan Peterman,171,0.6993750000000001,QB,0.7303254119236765,144
2017,Brad Kaaya,215,0.0,QB,1.1757481509173808,144
2017,Chad Kelly,253,0.0,QB,1.880337532543651,144
2018,Baker Mayfield,1,15.2725,QB,12.75726015734295,154
2018,Sam Darnold,3,11.164375,QB,11.576546846100447,154
2018,Josh Allen,7,21.394375000000004,QB,15.071535985368811,154
2018,Josh Rosen,10,4.090624999999999,QB,14.221865678057496,154
2018,Lamar Jackson,32,23.389374999999998,QB,9.910239779390412,154
2018,Mason Rudolph,76,3.97375,QB,2.1338808116533654,154
2018,Kyle Lauletta,108,0.0,QB,1.8855640121292778,154
2018,Mike White,171,0.0,QB,0.5766479421174061,154
2018,Luke Falk,199,0.27,QB,1.3271216224454203,154
2018,Tanner Lee,203,0.0,QB,0.7760292467281474,154
2018,Danny Etling,219,0.0,QB,0.8793980884513477,154
2018,Alex McGough,220,0.0,QB,0.8279884774452287,154
2018,Logan Woodside,249,0.04,QB,1.1624416956332333,154
2019,Kyler Murray,1,20.750625,QB,17.345372583380062,167
2019,Daniel Jones,6,12.343749999999998,QB,13.54849356069914,167
2019,Dwayne Haskins,15,4.5268749999999995,QB,9.839226741108918,167
2019,Drew Lock,42,7.79125,QB,3.042679075947283,167
2019,Will Grier,100,0.04125000000000001,QB,1.890333265481974,167
2019,Ryan Finley,104,1.369375,QB,1.0387921991714566,167
2019,Jarrett Stidham,133,0.404375,QB,3.8516635930217196,167
2019,Easton Stick,166,0.0,QB,1.447113587964734,167
2019,Clayton Thorson,167,0.0,QB,0.6745192727243025,167
2019,Gardner Minshew,178,12.184375000000003,QB,0.7287017071780739,167
2019,Trace McSorley,197,0.29374999999999996,QB,1.0104992723630546,167
2020,Joe Burrow,1,19.55705882352941,QB,15.893569007682084,178
2020,Tua Tagovailoa,5,12.112941176470589,QB,16.02324038314265,178
2020,Justin Herbert,6,21.600073529411766,QB,15.453865813222848,178
2020,Jordan Love,26,0.9658823529411765,QB,9.396919365647733,178
2020,Jalen Hurts,53,20.299999999999997,QB,6.2029971974949625,178
2020,Jacob Eason,122,0.010588235294117647,QB,0.8511888013529232,178
2020,James Morgan,125,0.0,QB,0.5684180606740734,178
2020,Jake Fromm,167,0.3205882352941177,QB,1.2391188649240645,178
2020,Jake Luton,189,0.8831249999999999,QB,0.5301240279480094,178
2020,Ben DiNucci,231,0.21750000000000003,QB,0.5706075587137323,178
2020,Tommy Stevens,240,0.075,QB,2.9171695366848356,178
2020,Nate Stanley,244,0.0,QB,0.6247711932944874,178
2021,Trevor Lawrence,1,16.416470588235295,QB,18.090596440819997,190
2021,Zach Wilson,2,7.9941176470588236,QB,15.089573318515932,190
2021,Trey Lance,3,2.2758823529411765,QB,15.884434907495958,190
2021,Justin Fields,11,15.475294117647058,QB,17.82503974269056,190
2021,Mac Jones,15,11.618235294117648,QB,13.103903277582459,190
2021,Kyle Trask,64,0.027058823529411767,QB,4.478410646513077,190
2021,Kellen Mond,66,0.0058823529411764705,QB,3.6453314588398245,190
2021,Davis Mills,67,9.95529411764706,QB,2.943938165003739,190
2021,Ian Book,133,0.058823529411764705,QB,0.8135793785712848,190
2021,Sam Ehlinger,218,1.0741176470588234,QB,0.8535529790363143,190
2022,Kenny Pickett,20,7.648823529411764,QB,10.5969981645527,200
2022,Desmond Ridder,74,6.3488235294117645,QB,4.469538658346083,200
2022,Malik Willis,86,2.0923529411764705,QB,5.109003667928539,200
2022,Matt Corral,94,0.0,QB,4.414914455253246,200
2022,Bailey Zappe,137,3.2005882352941177,QB,0.899077447369099,200
2022,Sam Howell,144,8.111764705882354,QB,2.1011797147809426,200
2022,Chris Oladokun,241,0.0,QB,4.432262742847757,200
2022,Skylar Thompson,247,0.7452941176470588,QB,1.1037732025598106,200
2022,Brock Purdy,262,16.542941176470592,QB,2.3599730563723154,200
2023,Bryce Young,1,12.148823529411766,QB,15.887818340371187,209
2023,C.J. Stroud,2,14.599999999999998,QB,15.948952835543665,209
2023,Anthony Richardson,4,6.94235294117647,QB,16.565322806629435,209
2023,Will Levis,33,6.528235294117646,QB,11.430089599371225,209
2023,Hendon Hooker,68,0.07882352941176471,QB,5.465732215754702,209
2007,Adrian Peterson,7,18.209375,RB,11.577407061048696,44
2007,Marshawn Lynch,12,13.372499999999999,RB,11.564200177362572,44
2007,Kenny Irons,49,0.0,RB,6.216578728425592,44
2007,Chris Henry,50,1.109375,RB,8.850243172976993,44
2007,Brian Leonard,52,4.3343750000000005,RB,7.855985713281171,44
2007,Brandon Jackson,63,4.690625,RB,7.802981681498915,44
2007,Lorenzo Booker,71,2.39375,RB,7.3016174453243226,44
2007,Tony Hunt,90,0.709375,RB,8.14903029207031,44
2007,Garrett Wolfe,93,1.575,RB,9.287128369758577,44
2007,Michael Bush,100,6.056875,RB,6.951799490248968,44
2007,Antonio Pittman,107,2.4625000000000004,RB,6.124081771544967,44
2007,Dwayne Wright,111,0.37812500000000004,RB,2.8956832127745322,44
2007,Le'Ron McClain,137,7.846875,RB,3.9993989427048957,44
2007,Kolby Smith,148,3.7718749999999996,RB,4.888256910444239,44
2007,Oren O'Neal,175,0.034375,RB,0.7304873544970416,44
2007,Reagan Maui'a,181,0.09375,RB,2.368657099183356,44
2007,Thomas Clayton,186,0.0,RB,1.9481824831178651,44
2007,Deon Anderson,195,0.640625,RB,1.4530205633063458,44
2007,Justise Hairston,208,0.0,RB,-2.23123131424774,44
2007,DeShawn Wynn,228,2.6125,RB,3.585642909509196,44
2007,Nate Ilaoa,236,0.0,RB,0.3196763128072422,44
2007,Jason Snelling,244,5.259375,RB,0.8987195789603233,44
2007,Kenneth Darby,246,2.8781250000000003,RB,1.5538892202061767,44
2007,Ahmad Bradshaw,250,6.69375,RB,3.572843288830199,44
2008,Darren McFadden,4,12.399999999999999,RB,11.885201209664686,68
2008,Jonathan Stewart,13,11.29375,RB,11.445164735964873,68
2008,Felix Jones,22,9.325,RB,10.762646761850842,68
2008,Rashard Mendenhall,23,13.903125,RB,10.2265706350252,68
2008,Chris Johnson,24,20.80625,RB,11.70432990309349,68
2008,Matt Forte,44,17.815625,RB,4.071243786693197,68
2008,Ray Rice,55,18.771875,RB,6.218400868545402,68
2008,Kevin Smith,64,12.271875000000001,RB,4.815368215615839,68
2008,Jacob Hester,69,2.784375,RB,2.62663915866853,68
2008,Jamaal Charles,73,16.13125,RB,4.91524357466836,68
2008,Steve Slaton,89,13.540624999999999,RB,4.550135946664845,68
2008,Tashard Choice,122,5.68125,RB,4.525799217019769,68
2008,Ryan Torain,139,4.7375,RB,5.377816419695273,68
2008,Jerome Felton,146,1.5593750000000002,RB,2.745626578877795,68
2008,Tim Hightower,149,11.296875,RB,3.1207380729287197,68
2008,Owen Schmitt,163,1.6468749999999999,RB,3.234042347388624,68
2008,Marcus Thomas,166,0.0,RB,1.8411459383501374,68
2008,Thomas Brown,172,0.0,RB,3.59378786126713,68
2008,Jalen Parmele,176,0.1375,RB,3.2007962777301486,68
2008,Xavier Omon,179,0.084375,RB,3.941521590773708,68
2008,Mike Hart,202,1.7625,RB,1.92272295320818,68
2008,Lex Hilliard,204,2.0,RB,2.7767596798646474,68
2008,Chauncey Washington,213,0.0875,RB,3.950264584569964,68
2008,Peyton Hillis,227,12.41,RB,0.1735147781254449,68
2008,Justin Forsett,233,9.003124999999999,RB,0.4713788144944968,68
2008,Cory Boyd,238,0.0,RB,0.8547712582658351,68
2008,Allen Patrick,240,0.0,RB,1.266901040808689,68
2009,Knowshon Moreno,12,12.065625,RB,11.204151949334543,95
2009,Donald Brown,27,6.915625,RB,11.015872850427993,95
2009,Beanie Wells,31,9.984375,RB,12.470954334090784,95
2009,LeSean McCoy,53,19.549999999999997,RB,7.111779766278959,95
2009,Shonn Greene,65,9.534375,RB,7.1486343172444755,95
2009,Glen Coffee,74,1.475,RB,6.801938103977689,95
2009,Mike Goodson,111,4.26875,RB,6.094382206143751,95
2009,Tony Fiammetta,128,0.559375,RB,3.6159795707310693,95
2009,Andre Brown,129,0.0,RB,5.884393316006605,95
2009,Gartrell Johnson,134,0.359375,RB,4.397591965598398,95
2009,Quinn Johnson,145,0.3625,RB,2.96596423468207,95
2009,Frank Summers,169,0.0,RB,2.9883651700895024,95
2009,Javon Ringer,173,3.6406249999999996,RB,4.078086280412984,95
2009,Cedric Peerman,185,0.115625,RB,4.355776428512063,95
2009,Aaron Brown,192,1.7125,RB,4.105304387067667,95
2009,James Davis,195,0.640625,RB,4.35658122864763,95
2009,Bernard Scott,209,3.9281250000000005,RB,3.300202740902571,95
2009,Chris Ogbonnaya,211,2.66875,RB,3.658485532826913,95
2009,Javarris Williams,212,0.01875,RB,3.129677399313084,95
2009,Fui Vakapuna,215,0.0,RB,2.1247793815678895,95
2009,Eddie Williams,221,0.09062500000000001,RB,3.6453560878135782,95
2009,LaRod Stephens-Howling,240,3.796875,RB,3.5700266867443102,95
2009,Rashad Jennings,250,5.328125,RB,1.2401870663204282,95
2010,C.J. Spiller,9,12.915625,RB,12.542396077413013,118
2010,Ryan Mathews,12,11.76875,RB,12.125026623360396,118
2010,Jahvid Best,30,9.678124999999998,RB,12.924873886000592,118
2010,Toby Gerhart,51,5.90625,RB,9.672279493150949,118
2010,Ben Tate,58,5.9,RB,7.434923778786464,118
2010,Montario Hardesty,59,2.796875,RB,7.010933016990143,118
2010,Joe McKnight,112,2.28125,RB,4.901191845055773,118
2010,John Conner,139,0.8312499999999999,RB,4.3045207562252505,118
2010,Anthony Dixon,173,2.003125,RB,2.6709345933516615,118
2010,Dennis Morris,174,0.0,RB,1.9586703186540233,118
2010,Deji Karim,180,1.84375,RB,2.6104804899317564,118
2010,Jonathan Dwyer,188,3.5250000000000004,RB,1.3144118580552555,118
2010,James Starks,193,4.71875,RB,2.259320323124161,118
2010,Charles Scott,200,0.0,RB,0.5425024614647174,118
2010,Ryan D'Imperio,237,0.084375,RB,1.8536033975667692,118
2011,Mark Ingram,28,6.371874999999999,RB,12.057847282037491,133
2011,Ryan Williams,38,0.74375,RB,7.644599779214349,133
2011,Shane Vereen,56,6.390625,RB,7.106918356690711,133
2011,Mikel Leshoure,57,5.753125000000001,RB,7.365532534404968,133
2011,Daniel Thomas,62,5.65625,RB,6.421962513437379,133
2011,DeMarco Murray,71,12.640625,RB,6.524864994715426,133
2011,Stevan Ridley,73,10.403125000000001,RB,5.957480380343153,133
2011,Alex Green,96,2.5999999999999996,RB,5.363371859357644,133
2011,Roy Helu,105,8.512500000000001,RB,4.3043466204000635,133
2011,Kendall Hunter,115,4.965624999999999,RB,5.141940914007826,133
2011,Delone Carter,119,2.59375,RB,2.4617326264724246,133
2011,Owen Marecic,124,0.278125,RB,4.312999088921042,133
2011,Taiwan Jones,125,0.675,RB,5.747940993649465,133
2011,Bilal Powell,126,7.4624999999999995,RB,4.2188973592915975,133
2011,Jamie Harper,130,1.2,RB,3.386494408186953,133
2011,Johnny White,133,0.24687500000000004,RB,4.14334646869011,133
2011,Anthony Sherman,136,1.665625,RB,0.5425383495874643,133
2011,Jacquizz Rodgers,145,8.834375,RB,4.200880098579073,133
2011,Dion Lewis,149,1.06875,RB,5.030568176637385,133
2011,Evan Royster,177,2.978125,RB,1.3268809962981312,133
2011,Jordan Todman,183,2.2187499999999996,RB,2.2084632508730357,133
2011,Allen Bradford,187,0.040625,RB,3.142649640422553,133
2011,Shaun Chapas,220,0.109375,RB,-0.4495780143214543,133
2011,Da'Rel Scott,221,1.16875,RB,0.7854236745071754,133
2011,Shane Bannon,223,0.0,RB,1.9312385723099939,133
2011,Anthony Allen,225,0.503125,RB,1.6063650215433316,133
2011,Baron Batch,232,0.5625,RB,1.0958362137303774,133
2011,Stanley Havili,240,1.78125,RB,2.336778298977911,133
2011,Jay Finley,246,0.0,RB,-0.38741964446876387,133
2012,Trent Richardson,3,12.4875,RB,13.142225890431082,162
2012,Doug Martin,31,12.262500000000001,RB,10.262962841412268,162
2012,David Wilson,32,3.01875,RB,9.3245341056003,162
2012,Isaiah Pead,50,1.028125,RB,9.430107213586357,162
2012,LaMichael James,61,0.871875,RB,8.624846766659678,162
2012,Ronnie Hillman,67,4.859375,RB,7.685748393339868,162
2012,Bernard Pierce,84,4.903124999999999,RB,5.7669265343675065,162
2012,Lamar Miller,97,10.915625000000002,RB,5.454487848952718,162
2012,Robert Turbin,106,4.628125,RB,4.582772501222275,162
2012,Rhett Ellison,128,2.028125,RB,2.960757547500235,162
2012,Bradie Ewing,157,0.153125,RB,1.747660014521677,162
2012,Chris Rainey,159,1.25625,RB,5.287587186301091,162
2012,Vick Ballard,170,4.325000000000001,RB,2.748676089834809,162
2012,Alfred Morris,173,13.746875,RB,1.6240306444666899,162
2012,Cyrus Gray,182,0.721875,RB,3.512532471721852,162
2012,Dan Herron,191,2.6687499999999997,RB,1.6319125814092101,162
2012,Terrance Ganaway,202,0.0,RB,1.4237736732494943,162
2012,Michael Smith,212,0.0,RB,0.3022321057755095,162
2012,Bryce Brown,229,4.8375,RB,2.1216937361172237,162
2012,Edwin Baker,250,1.34375,RB,1.7831608842986593,162
2012,Daryl Richardson,252,4.168749999999999,RB,1.3390385811166956,162
2013,Giovani Bernard,37,12.8375,RB,8.407982523180324,183
2013,Le'Veon Bell,48,18.35625,RB,7.5831536004133495,183
2013,Montee Ball,58,4.525,RB,7.133105831305537,183
2013,Eddie Lacy,61,16.096875,RB,6.8459611185179785,183
2013,Christine Michael,62,1.5187499999999998,RB,5.031182157831826,183
2013,Knile Davis,96,5.990625,RB,6.6575123249703605,183
2013,Johnathan Franklin,125,0.6781250000000001,RB,4.176709551049225,183
2013,Kyle Juszczyk,130,4.26875,RB,3.6351019642360187,183
2013,Marcus Lattimore,131,0.0,RB,4.103354169897195,183
2013,Stepfan Taylor,140,2.8843750000000004,RB,3.749718685312379,183
2013,Joseph Randle,151,4.021875,RB,3.290605158644685,183
2013,Chris Thompson,154,3.3906250000000004,RB,2.9626153343966135,183
2013,Zac Stacy,160,7.746875,RB,3.4775789219552657,183
2013,Mike Gillislee,164,1.6781249999999999,RB,3.420246736820717,183
2013,Latavius Murray,181,9.078125,RB,1.2776881846766228,183
2013,Kenjon Barner,182,0.78125,RB,2.6294466318695493,183
2013,Andre Ellington,187,10.712499999999999,RB,2.2478889778399487,183
2013,Mike James,189,1.6275000000000002,RB,3.0099763610405743,183
2013,Rex Burkhead,190,1.3875000000000002,RB,0.983530155675302,183
2013,Spencer Ware,194,2.61875,RB,3.438119807069395,183
2013,Theo Riddick,199,8.553125000000001,RB,2.766351876312531,183
2013,Tommy Bohanon,215,1.059375,RB,-0.2671001975523164,183
2013,Jawan Jamison,228,0.0,RB,2.747788264164104,183
2013,Kerwynn Williams,230,1.546875,RB,2.124395303313472,183
2013,Michael Cox,253,0.459375,RB,0.62699802944129,183
2014,Bishop Sankey,54,4.85625,RB,7.235467068802311,208
2014,Jeremy Hill,55,12.099999999999998,RB,6.968361991807653,208
2014,Carlos Hyde,57,8.54375,RB,6.613087285234911,208
2014,Charles Sims,69,7.746874999999999,RB,6.379061868193723,208
2014,Tre Mason,75,5.8374999999999995,RB,6.175353954719154,208
2014,Terrance West,94,8.865625,RB,6.638917443306077,208
2014,Jerick McKinnon,96,7.584375,RB,6.273646415379746,208
2014,Devonta Freeman,103,18.765625,RB,4.7525811778327665,208
2014,Andre Williams,113,5.640625,RB,4.2650576692475415,208
2014,Ka'Deem Carey,117,1.978125,RB,4.452941241950205,208
2014,De'Anthony Thomas,124,3.3843750000000004,RB,4.8843384046583465,208
2014,James White,130,8.884375,RB,3.382273159972484,208
2014,Lorenzo Taliaferro,138,2.7874999999999996,RB,3.805196218122692,208
2014,Alfred Blue,181,6.7125,RB,2.200779064773923,208
2014,Lache Seastrunk,186,0.0,RB,2.6677176563419924,208
2014,Marion Grice,201,0.625,RB,2.943168843350729,208
2014,Tyler Gaffney,204,0.0,RB,2.219948390280866,208
2014,Jay Prosch,211,0.20937499999999998,RB,1.1094782632154743,208
2014,Storm Johnson,222,0.6625,RB,1.3305798489227119,208
2014,Kiero Small,227,0.0,RB,1.5535708128962948,208
2014,Trey Millard,245,0.0,RB,1.5524856519849843,208
2015,Todd Gurley,10,18.490625,RB,10.80573281870046,229
2015,Melvin Gordon,15,16.834375,RB,9.818533607931583,229
2015,T.J. Yeldon,36,9.175,RB,7.082214491657174,229
2015,Ameer Abdullah,54,7.543749999999999,RB,5.612734705979642,229
2015,Tevin Coleman,73,11.212499999999999,RB,6.945401438623891,229
2015,Duke Johnson,77,11.887500000000001,RB,8.095136256015907,229
2015,David Johnson,86,19.549999999999997,RB,5.698153286196471,229
2015,Matt Jones,95,5.928125,RB,5.237359004534962,229
2015,Jeremy Langford,106,6.9,RB,5.032688638478872,229
2015,Jalston Fowler,108,0.909375,RB,2.041932958369018,229
2015,Javorius Allen,125,9.74375,RB,4.418106729435228,229
2015,Mike Davis,126,2.146875,RB,2.779032020341132,229
2015,David Cobb,138,0.66875,RB,3.3431784380716163,229
2015,Jay Ajayi,149,10.95,RB,2.543760622953318,229
2015,Karlos Williams,155,3.8843750000000004,RB,3.7797116975360843,229
2015,Michael Burton,168,0.61875,RB,1.8640302547799263,229
2015,Cameron Artis-Payne,174,1.9875,RB,2.4453377883680467,229
2015,Josh Robinson,205,0.35,RB,1.9383500168027976,229
2015,Aaron Ripkowski,206,1.8375000000000001,RB,1.7866221038562702,229
2015,Marcus Murphy,230,0.4,RB,1.5150667330525587,229
2015,Joey Iosefa,231,0.159375,RB,-0.1368102778456548,229
2015,Kenny Hilliard,235,0.0,RB,0.8971578893656709,229
2016,Ezekiel Elliott,4,20.453125,RB,13.960535427951239,251
2016,Derrick Henry,45,10.51125,RB,9.01865621329307,251
2016,Kenyan Drake,73,10.890625,RB,8.291310438464144,251
2016,C.J. Prosise,90,2.4375000000000004,RB,7.503813366405114,251
2016,Tyler Ervin,119,0.609375,RB,4.758664207039603,251
2016,Kenneth Dixon,134,4.8999999999999995,RB,4.1630660846225975,251
2016,Devontae Booker,136,7.315625,RB,4.285318451181567,251
2016,DeAndre Washington,143,5.31875,RB,3.556612976464443,251
2016,Paul Perkins,149,3.075,RB,4.755244280336553,251
2016,Jordan Howard,150,13.431250000000002,RB,4.604979650390341,251
2016,Wendell Smallwood,153,5.378125,RB,4.087770754546858,251
2016,Jonathan Williams,156,0.42187499999999994,RB,3.183305228926776,251
2016,Alex Collins,171,8.737499999999999,RB,3.1362454362054986,251
2016,Andy Janovich,176,1.3875,RB,1.0553010382522414,251
2016,Keenan Reynolds,182,0.0,RB,1.2491060827802207,251
2016,Dan Vitale,197,0.36250000000000004,RB,1.1840514103377584,251
2016,Derek Watt,198,0.6437499999999999,RB,0.16710876819247789,251
2016,Kelvin Taylor,211,0.0,RB,1.8611390684747247,251
2016,Darius Jackson,216,0.05,RB,1.989827299383925,251
2016,Dwayne Washington,236,2.0031250000000003,RB,0.9215312794440624,251
2016,Daniel Lasco,237,0.196875,RB,0.5770942301385333,251
2016,Keith Marshall,242,0.0,RB,1.1619242680082638,251
2016,Zac Brooks,247,0.0,RB,1.0053492113441471,251
2017,Leonard Fournette,4,15.299999999999999,RB,14.266220636692289,274
2017,Christian McCaffrey,8,26.771875,RB,13.14378403196567,274
2017,Dalvin Cook,41,13.887500000000003,RB,9.760927876365871,274
2017,Joe Mixon,48,14.649999999999999,RB,9.238830165492207,274
2017,Alvin Kamara,67,21.081249999999997,RB,7.709199774041477,274
2017,Kareem Hunt,86,16.41875,RB,7.24440634416539,274
2017,D'Onta Foreman,89,2.115625,RB,6.354158681754511,274
2017,James Conner,105,13.296875,RB,7.11878490278328,274
2017,Samaje Perine,114,3.6,RB,4.808552488004628,274
2017,Tarik Cohen,119,12.4325,RB,5.39517631578819,274
2017,Joe Williams,121,0.0,RB,4.539142201363833,274
2017,Donnel Pumphrey,132,0.0,RB,4.066852099644034,274
2017,Jamaal Williams,134,9.034375,RB,4.504910214864543,274
2017,Wayne Gallman,140,4.784375000000001,RB,4.182403502108411,274
2017,Marlon Mack,143,11.231250000000001,RB,4.774104532965915,274
2017,Brian Hill,156,2.5874999999999995,RB,4.06981299598515,274
2017,Jeremy McNichols,162,0.0125,RB,5.203316461015882,274
2017,T.J. Logan,179,0.475,RB,3.7902568812631037,274
