college_season,draft_year_if_final_college_season,source_date,teamrankings_team,team_key,tr_sos_rank,tr_sos_rating,source_url,tr_sos_rank_pct,tr_sos_z
2025,2026,2026-01-20,Georgia So,georgiasouthern,105,-9.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.22962962962962963,-1.0109390769925952
2025,2026,2026-01-20,UConn,connecticut,106,-9.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.2222222222222222,-1.0109390769925952
2025,2026,2026-01-20,Rice,rice,107,-9.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.2148148148148148,-1.0214407355986899
2025,2026,2026-01-20,Charlotte,charlotte,108,-10.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.20740740740740737,-1.0529457114169742
2025,2026,2026-01-20,Georgia St,georgiastate,109,-10.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.19999999999999996,-1.063447370023069
2025,2026,2026-01-20,Arkansas St,arkansasstate,110,-10.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.19259259259259254,-1.0739490286291637
2025,2026,2026-01-20,S Alabama,southalabama,111,-10.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.18518518518518523,-1.0739490286291637
2025,2026,2026-01-20,Kennesaw St,kennesawst,112,-10.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.1777777777777778,-1.0844506872352588
2025,2026,2026-01-20,C Michigan,centralmichigan,113,-10.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.1703703703703704,-1.115955663053543
2025,2026,2026-01-20,Southern Miss,southernmiss,114,-10.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.16296296296296298,-1.115955663053543
2025,2026,2026-01-20,W Kentucky,westernkentucky,115,-10.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.15555555555555556,-1.1474606388718274
2025,2026,2026-01-20,Liberty,liberty,116,-10.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.14814814814814814,-1.1474606388718274
