season,pfr_id,pfr_name,position,college_name,final_school,college_season,tr_sos_rating,tr_sos_z,tr_sos_rank_pct,match_method,match_score
2026,MendFe00,Fernando Mendoza,QB,Indiana; California,Indiana,2025,20.6,2.16056182204803,1.0,exact,100.0
2026,LoveJe00,Jeremiyah Love,RB,Notre Dame,Notre Dame,2025,12.9,1.3519341093787316,0.9037037037037036,exact,100.0
2026,TateCa00,Carnell Tate,WR,Ohio State,Ohio State,2025,17.3,1.814007088046902,0.9851851851851852,exact,100.0
2026,TysoJo00,Jordyn Tyson,WR,Arizona State; Colorado,Arizona State,2025,7.0,0.7323362516191393,0.7333333333333334,exact,100.0
2026,SimpTy00,Ty Simpson,QB,Alabama,Alabama,2025,16.7,1.7509971364103334,0.9777777777777776,exact,100.0
2026,SadiKe00,Kenyon Sadiq,TE,Oregon,Oregon,2025,18.3,1.91902367410785,0.9925925925925926,exact,100.0
2026,LemoMa00,Makai Lemon,WR,USC,USC,2025,12.3,1.2889241577421628,0.8962962962962963,exact,100.0
2026,ConcKC00,KC Concepcion,WR,Texas A&M; N.C. State,Texas A&M,2025,13.6,1.425445719621395,0.9407407407407408,exact,100.0
2026,CoopOm00,Omar Cooper Jr.,WR,Indiana,Indiana,2025,20.6,2.16056182204803,1.0,exact,100.0
2026,PricJa02,Jadarian Price,RB,Notre Dame,Notre Dame,2025,12.9,1.3519341093787316,0.9037037037037036,exact,100.0
2026,StriDe01,De'Zhaun Stribling,WR,,,2025,,,,unmatched,
2026,BostDe00,Denzel Boston,WR,Washington,Washington,2025,9.5,0.9948777167715088,0.7851851851851852,exact,100.0
2026,BernGe00,Germie Bernard,WR,Alabama; Washington; Michigan State,Alabama,2025,16.7,1.7509971364103334,0.9777777777777776,exact,100.0
2026,StowEl00,Eli Stowers,TE,Vanderbilt; New Mexico State; Texas A&M,Vanderbilt,2025,11.7,1.225914206105594,0.8814814814814815,exact,100.0
2026,BoerNa00,Nate Boerkircher,TE,Texas A&M; Nebraska,Texas A&M,2025,13.6,1.425445719621395,0.9407407407407408,exact,100.0
2026,KleiMa00,Marlin Klein,TE,Michigan,Michigan,2025,11.4,1.1944092302873095,0.8740740740740741,exact,100.0
2026,KlarMa00,Max Klare,TE,Ohio State; Purdue,Ohio State,2025,17.3,1.814007088046902,0.9851851851851852,exact,100.0
2026,BeckCa01,Carson Beck,QB,,,2025,,,,unmatched,
2026,RousSa00,Sam Roush,TE,Stanford,Stanford,2025,3.8,0.3962831762241061,0.5777777777777777,exact,100.0
