position,pfr_name,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
RB,Nicholas Singleton,0.8571428571428571,0.4785611568029605,91.12709832134293,89.50325453922575,High,0,0.0,0.0,4.913933823529412,Aaron Brown (2009); James White (2014); La'Mical Perine (2020); Tim Hightower (2008); Keaontay Ingram (2022),Aaron Brown (2009),James White (2014),La'Mical Perine (2020),77,417
RB,Adam Randall,0.987012987012987,0.9670398710028716,9.59232613908873,36.325017907751715,Low,1,0.0,0.0,5.020625000000001,C.J. Prosise (2016); Tevin Coleman (2015); Jordan Wilkins (2018); Wendell Smallwood (2016); Joe McKnight (2010),C.J. Prosise (2016),Tevin Coleman (2015),Jordan Wilkins (2018),77,417
RB,Kaytron Allen,0.8831168831168831,0.39383672872506964,94.96402877697841,92.96832663739139,High,0,0.0,0.0,0.9743749999999999,Deji Karim (2010); Alex Armah (2017); Trenton Cannon (2018); Ryan D'Imperio (2010); De'Angelo Henderson (2017),Deji Karim (2010),Alex Armah (2017),Trenton Cannon (2018),77,417
RB,Demond Claiborne,0.935064935064935,0.6161930574443154,64.74820143884892,73.37568905914229,High,0,0.0,0.0,2.649330882352941,Cyrus Gray (2012); Joe McKnight (2010); Kenneth Gainwell (2021); Taiwan Jones (2011); Paul Perkins (2016),Cyrus Gray (2012),Joe McKnight (2010),Kenneth Gainwell (2021),77,417
RB,Eli Heidenreich,0.974025974025974,1.3354054982700925,2.158273381294964,30.731570587685695,Low,1,0.4,0.4,8.069720588235294,Peyton Hillis (2008); Garrett Mills (2006); Tony Pollard (2019); Rachaad White (2022); Elijah McGuire (2017),Peyton Hillis (2008),Garrett Mills (2006),Tony Pollard (2019),77,417
RB,Seth McGowan,0.974025974025974,0.8530728436807141,16.786570743405278,40.971378741162916,Medium,0,0.0,0.0,3.1591176470588236,Elijah McGuire (2017); Charles Sims (2014); Keaontay Ingram (2022); Kylin Hill (2021); Chris Evans (2021),Elijah McGuire (2017),Charles Sims (2014),Keaontay Ingram (2022),77,417
RB,Jam Miller,0.8441558441558441,0.5586902602358375,76.97841726618705,79.20956741100626,High,0,0.0,0.0,2.1112499999999996,Khalfani Muhammad (2017); Gerrid Doaks (2021); T.J. Logan (2017); Bilal Powell (2011); Spencer Ware (2013),Khalfani Muhammad (2017),Gerrid Doaks (2021),T.J. Logan (2017),77,417
WR,Carnell Tate,1.0,0.6744676703491963,43.515358361774744,60.46075085324232,Medium,0,0.6,0.4,11.684985294117647,Odell Beckham (2014); Will Fuller (2016); Percy Harvin (2009); Marquise Brown (2019); Kadarius Toney (2021),Odell Beckham (2014),Will Fuller (2016),Percy Harvin (2009),131,586
WR,Jordyn Tyson,1.0,0.7487341120827673,27.13310580204778,48.99317406143344,Medium,0,0.6,0.2,10.387279411764705,Chris Olave (2022); Jerry Jeudy (2020); Will Fuller (2016); Zay Flowers (2023); Jahan Dotson (2022),Chris Olave (2022),Jerry Jeudy (2020),Will Fuller (2016),131,586
WR,Makai Lemon,1.0,0.6109865707505806,61.43344709897611,73.00341296928327,High,0,0.6,0.0,8.22580882352941,Nelson Agholor (2015); Cody Latimer (2014); Brandon Aiyuk (2020); Michael Pittman Jr. (2020); John Ross (2017),Nelson Agholor (2015),Cody Latimer (2014),Brandon Aiyuk (2020),131,586
