position,rank,pfr_name,prospect_model_percentile,outcome_percentile,prospect_percentile_reference_n,draft_team,draft_round,draft_pick,pred_best2of3_ppg,pred_peak3_ppg,pred_rookie_ppg,pred_avg3_ppg,pred_total3_ppr,pred80_low,pred80_high,pred90_low,pred90_high,hit_probability,college_match,fuzzy_match,scout_boost,percentile_bucket,historical_bucket_n,historical_hit_rate,historical_hit_rate_ci_low,historical_hit_rate_ci_high,historical_star_rate,historical_star_rate_ci_low,historical_star_rate_ci_high,historical_bucket_mean_primary_ppg,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
QB,1,Fernando Mendoza,97.72727272727272,90.18691588785047,176,LVR,1,1,16.07838786703899,17.676540350130104,12.03491382568584,13.548131378816148,661.9295136849136,10.207449525936074,21.94932620814191,7.780908988457382,24.3758667456206,0.48582318,1.0,0.0,1.1205299999117333,95-100,9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.3333333333333333,0.1205815986827429,0.6458026525009102,13.36438316993464,1.0,0.5776235537696945,69.62616822429906,78.73831775700934,High,0,0.6,0.2,15.677242647058824,Trevor Lawrence (2021); Zach Wilson (2021); Jared Goff (2016); Cam Newton (2011); Mitch Trubisky (2017),Trevor Lawrence (2021),Zach Wilson (2021),Jared Goff (2016),107,214
QB,2,Ty Simpson,89.20454545454545,83.64485981308411,176,LAR,1,13,13.029138068869283,14.706321503864118,7.578099168375301,10.526885914385703,515.0984763659812,7.158199727766367,18.9000764099722,4.731659190287674,21.32661694745089,0.43218362,1.0,0.0,-0.5703349192736467,80-90,18,0.3888888888888889,0.2030499192693116,0.6138133141934384,0.3333333333333333,0.1627855436366286,0.5625093065574964,13.720467728758171,1.0,0.8979964950423931,16.822429906542055,41.77570093457944,Medium,0,0.2,0.0,4.172139705882353,Jacob Eason (2020); Brock Osweiler (2012); Mark Sanchez (2009); Ryan Nassib (2013); Will Levis (2023),Jacob Eason (2020),Brock Osweiler (2012),Mark Sanchez (2009),107,214
QB,3,Carson Beck,73.29545454545455,69.62616822429906,176,ARI,3,65,6.6289831078224655,7.849878354171141,4.750641239110542,5.663779979071659,266.8295534766596,0.7580447667195491,12.49992144892538,0.0,14.926461986404076,0.05893855,1.0,0.0,0.560031103215251,60-80,35,0.2285714285714285,0.120657367461791,0.39017637780102,0.0857142857142857,0.0295818310052969,0.2237959907116251,6.673099789915967,0.9813084112149533,0.9730695231039508,11.214953271028037,37.28971962616822,Medium,0,0.0,0.0,1.4729999999999999,Ryan Finley (2019); Mason Rudolph (2018); Will Grier (2019); Jarrett Stidham (2019); Kevin Hogan (2016),Ryan Finley (2019),Mason Rudolph (2018),Will Grier (2019),107,214
QB,4,Drew Allar,63.06818181818182,62.149532710280376,176,PIT,3,76,3.798320480793715,5.431105010442067,1.8356115042776309,2.8448344359668463,134.62652783268584,0.0,9.669258821896632,0.0,12.095799359375324,0.100314625,1.0,0.0,-1.5814536457282171,60-80,35,0.2285714285714285,0.120657367461791,0.39017637780102,0.0857142857142857,0.0295818310052969,0.2237959907116251,6.673099789915967,1.0,0.5474951730437262,77.57009345794393,84.29906542056074,High,0,0.0,0.0,4.042875,Jimmy Garoppolo (2014); Tarvaris Jackson (2006); Drew Lock (2019); Kyle Lauletta (2018); John Skelton (2010),Jimmy Garoppolo (2014),Tarvaris Jackson (2006),Drew Lock (2019),107,214
QB,5,Cade Klubnik,54.54545454545454,57.943925233644855,176,NYJ,4,110,2.431670815460159,3.116183863742612,1.511316561239208,1.5780590799979768,81.31868469521403,0.0,8.302609156563076,0.0,10.729149694041768,0.12236779,1.0,0.0,-1.1513317268250476,40-60,35,0.1714285714285714,0.0810252994485671,0.3268260763958882,0.1142857142857142,0.0453510585448975,0.2595179478812023,3.807991596638656,1.0,0.5823144593633872,69.1588785046729,78.41121495327103,High,0,0.2,0.2,4.478213235294119,Kevin Hogan (2016); Brock Purdy (2022); Zac Robinson (2010); Kyle Lauletta (2018); John Skelton (2010),Kevin Hogan (2016),Brock Purdy (2022),Zac Robinson (2010),107,214
QB,6,Garrett Nussmeier,49.43181818181818,56.54205607476636,176,KAN,7,249,2.1715243196379284,2.741687615576565,0.7015661461527619,1.4469723307133344,67.28637341449804,0.0,8.042462660740846,0.0,10.469003198219538,0.051333405,1.0,0.0,-2.119475924087126,40-60,35,0.1714285714285714,0.0810252994485671,0.3268260763958882,0.1142857142857142,0.0453510585448975,0.2595179478812023,3.807991596638656,1.0,0.7261564179187834,34.112149532710276,53.87850467289719,Medium,0,0.0,0.0,0.15736764705882353,Jake Fromm (2020); Brad Kaaya (2017); James Morgan (2020); Brad Sorensen (2013); Keith Null (2009),Jake Fromm (2020),Brad Kaaya (2017),James Morgan (2020),107,214
QB,7,Taylen Green,39.77272727272727,55.60747663551402,176,CLE,6,182,1.8476005965705269,3.192197654764364,1.387394772220489,1.2791567662542458,59.747773757273805,0.0,7.7185389376734435,0.0,10.145079475152135,0.11004911,1.0,0.0,-3.3203944968420216,20-40,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,0.8866144957983193,1.0,1.3835457049043771,4.205607476635514,32.94392523364486,Low,1,0.0,0.0,2.2853676470588233,Jeff Driskel (2016); Will Levis (2023); B.J. Daniels (2013); Malik Willis (2022); Matt Corral (2022),Jeff Driskel (2016),Will Levis (2023),B.J. Daniels (2013),107,214
QB,8,Athan Kaliakmanis,34.090909090909086,51.4018691588785,176,WAS,7,223,1.467641871581196,2.220073941684886,0.4163086962391016,0.939228731217288,49.49315769307185,0.0,7.338580212684112,0.0,9.765120750162804,0.06351283,1.0,0.0,-1.0476512405177312,20-40,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,0.8866144957983193,1.0,0.5865124613305468,69.1588785046729,78.41121495327103,High,0,0.2,0.0,2.627125,Danny Etling (2018); Tyler Thigpen (2007); Ryan Fitzpatrick (2005); Keith Null (2009); John Skelton (2010),Danny Etling (2018),Tyler Thigpen (2007),Ryan Fitzpatrick (2005),107,214
QB,9,Cole Payton,25.568181818181817,49.06542056074766,176,PHI,5,178,1.1618229532545394,2.0787697086054417,0.5050296769262488,0.7986404360457489,37.91160913453201,0.0,7.032761294357456,0.0,9.459301831836148,0.05005873,0.0,0.0,-0.5561570427679161,20-40,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,0.8866144957983193,0.07476635514018691,0.06563844147636902,100.0,72.24299065420561,Low,1,0.2,0.0,1.4759999999999998,Easton Stick (2019); Ingle Martin (2006); Keith Null (2009); Kyle Lauletta (2018); Tyler Thigpen (2007),Easton Stick (2019),Ingle Martin (2006),Keith Null (2009),107,214
QB,10,Behren Morton,5.113636363636364,43.925233644859816,176,NWE,7,234,0.6617588760309832,0.9896094552413968,0.2401842712512745,0.4443414750173812,22.93976937682672,0.0,6.532697217133899,0.0,8.959237754612593,0.046436373,1.0,0.0,-0.9050613604798086,0-20,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,1.0597247899159667,1.0,0.6426066036730749,52.336448598130836,66.63551401869158,Medium,0,0.0,0.0,0.514625,James Morgan (2020); Curtis Painter (2009); Danny Etling (2018); Luke Falk (2018); Rusty Smith (2010),James Morgan (2020),Curtis Painter (2009),Danny Etling (2018),107,214
RB,1,Jeremiyah Love,100.0,94.48441247002398,373,ARI,1,3,16.055744652459907,18.08996299548002,13.78744693598324,13.551823743985404,652.8937336552253,11.415570466327402,20.69591883859241,9.740251737943804,22.371237566976014,0.5895365,1.0,0.0,1.9894954158977287,95-100,19,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.4736842105263157,0.2732950548744854,0.6829251748817489,14.884707817337462,0.922077922077922,0.5243173780525174,84.17266187050359,86.58320097169016,High,0,0.8,0.4,15.374426470588233,Ezekiel Elliott (2016); Trent Richardson (2012); Cadillac Williams (2005); Bijan Robinson (2023); Marshawn Lynch (2007),Ezekiel Elliott (2016),Trent Richardson (2012),Cadillac Williams (2005),77,417
RB,2,Jadarian Price,96.7828418230563,86.33093525179856,373,SEA,1,32,12.184896460151636,14.107894936342582,8.42138041422157,9.923270840230018,484.6153691060831,7.544722274019131,16.82507064628414,5.869403545635532,18.50038937466774,0.25518522,1.0,0.0,1.6667279389341831,95-100,19,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.4736842105263157,0.2732950548744854,0.6829251748817489,14.884707817337462,0.974025974025974,0.8750196565372775,15.107913669064748,39.79631878912454,Medium,0,0.4,0.2,9.124264705882354,Josh Jacobs (2019); Dameon Pierce (2022); Devonta Freeman (2014); Spencer Ware (2013); Zamir White (2022),Josh Jacobs (2019),Dameon Pierce (2022),Devonta Freeman (2014),77,417
RB,3,Kaelon Black,71.84986595174263,66.90647482014388,373,SFO,3,90,6.40941041769222,7.44372057614759,4.881754623361127,5.359231670397843,262.013405616464,1.7692362315597148,11.049584603824725,0.0939175031761152,12.724903332208324,0.1336853,1.0,0.0,0.7220071743254151,60-80,75,0.1466666666666666,0.0839163093700336,0.2438497430692877,0.1066666666666666,0.0550484696385616,0.1966156264731357,6.531868137254903,0.8441558441558441,0.6070940664570598,65.70743405275779,71.31987916160577,High,0,0.0,0.0,2.7335661764705885,Aaron Brown (2009); Damien Harris (2019); La'Mical Perine (2020); Johnny White (2011); Keaontay Ingram (2022),Aaron Brown (2009),Damien Harris (2019),La'Mical Perine (2020),77,417
RB,4,Eli Heidenreich,59.78552278820375,59.71223021582733,373,PIT,7,230,4.766462086744459,5.88928899351823,2.671631430268176,3.733659359494729,184.17172276044369,0.1262879006119543,9.406636272876964,0.0,11.081955001260564,0.13900888,1.0,0.0,-1.3226058404888272,40-60,74,0.0945945945945946,0.0465793459305906,0.1826245758798552,0.0405405405405405,0.0138821795795955,0.1125489318055764,4.472324125596184,0.974025974025974,1.3354054982700925,2.158273381294964,30.731570587685695,Low,1,0.4,0.4,8.069720588235294,Peyton Hillis (2008); Garrett Mills (2006); Tony Pollard (2019); Rachaad White (2022); Elijah McGuire (2017),Peyton Hillis (2008),Garrett Mills (2006),Tony Pollard (2019),77,417
RB,5,Mike Washington Jr.,57.37265415549599,58.27338129496403,373,LVR,4,122,4.532991907294855,5.6044330212156535,3.0824109576160152,3.608521795653246,178.1579780148885,0.0,9.17316609342736,0.0,10.84848482181096,0.028827263,1.0,0.0,0.3217745368479052,40-60,74,0.0945945945945946,0.0465793459305906,0.1826245758798552,0.0405405405405405,0.0138821795795955,0.1125489318055764,4.472324125596184,0.961038961038961,0.6968745892233243,43.16546762589928,59.046996169298325,Medium,0,0.0,0.0,2.1407720588235293,Pierre Strong (2022); Cedric Peerman (2009); Kalen Ballage (2018); Keaontay Ingram (2022); Montario Hardesty (2010),Pierre Strong (2022),Cedric Peerman (2009),Kalen Ballage (2018),77,417
RB,6,Jonah Coleman,51.7426273458445,55.87529976019184,373,DEN,4,108,4.114206373471667,5.094621757670309,3.6863644065316006,3.231275048220128,157.77423851923126,0.0,8.754380559604172,0.0,10.429699287987772,0.10332628,1.0,0.0,0.0428165365164954,40-60,74,0.0945945945945946,0.0465793459305906,0.1826245758798552,0.0405405405405405,0.0138821795795955,0.1125489318055764,4.472324125596184,0.8961038961038961,0.5057058110408718,87.76978417266187,88.32196580398019,High,0,0.0,0.0,4.6406985294117655,Kenneth Dixon (2016); Zac Stacy (2013); Zack Moss (2020); Kyle Juszczyk (2013); Javarris Williams (2009),Kenneth Dixon (2016),Zac Stacy (2013),Zack Moss (2020),77,417
RB,7,Emmett Johnson,40.48257372654155,52.51798561151079,373,KAN,5,161,3.431561093491017,4.330980114926616,2.2164017887888923,2.706285544056682,131.4782970293856,0.0,8.071735279623521,0.0,9.747054008007122,0.04804986,1.0,0.0,-0.5462537332012927,40-60,74,0.0945945945945946,0.0465793459305906,0.1826245758798552,0.0405405405405405,0.0138821795795955,0.1125489318055764,4.472324125596184,1.0,0.5765638962950163,73.14148681055156,81.1990407673861,High,0,0.2,0.0,4.732573529411765,Jay Ajayi (2015); Kerwynn Williams (2013); Trayveon Williams (2019); Tyler Badie (2022); Javorius Allen (2015),Jay Ajayi (2015),Kerwynn Williams (2013),Trayveon Williams (2019),77,417
RB,8,Demond Claiborne,36.193029490616624,50.83932853717026,373,MIN,6,198,2.9955772862473444,3.7062395564252952,1.228266299783869,2.2501846775841328,109.71418947141782,0.0,7.63575147237985,0.0,9.31107020076345,0.036804777,1.0,0.0,-0.5014008286743366,20-40,75,0.0266666666666666,0.0073435350236005,0.0921166484328488,0.0,0.0,0.0487255459047,2.525513725490196,0.935064935064935,0.6161930574443154,64.74820143884892,73.37568905914229,High,0,0.0,0.0,2.649330882352941,Cyrus Gray (2012); Joe McKnight (2010); Kenneth Gainwell (2021); Taiwan Jones (2011); Paul Perkins (2016),Cyrus Gray (2012),Joe McKnight (2010),Kenneth Gainwell (2021),77,417
