position,current_player,current_draft_pick,comp_rank,comp_player,comp_draft_year,comp_draft_pick,feature_space_distance,comp_prospect_model_score,comp_prospect_model_percentile,comp_primary_ppg,comp_hit3,comp_star3,comp_best_rank3
QB,Garrett Nussmeier,249,3,James Morgan,2020,125,0.739518510578028,0.5684180606740734,2.272727272727273,0.0,0,0,
QB,Garrett Nussmeier,249,4,Brad Sorensen,2013,221,0.7553382267613026,2.236917092246343,50.56818181818182,0.0,0,0,
QB,Garrett Nussmeier,249,5,Keith Null,2009,196,0.7560612618481127,2.4317096258196864,55.11363636363637,0.46625,0,0,51.0
RB,Jeremiyah Love,3,1,Ezekiel Elliott,2016,4,0.3659337002891299,13.96053542795124,99.19571045576409,20.453125,1,1,2.0
RB,Jeremiyah Love,3,2,Trent Richardson,2012,3,0.47602441952470326,13.142225890431082,98.65951742627344,12.4875,1,0,7.0
RB,Jeremiyah Love,3,3,Cadillac Williams,2005,5,0.5432178881210794,,,9.603125,0,0,21.0
RB,Jeremiyah Love,3,4,Bijan Robinson,2023,8,0.5906624726452857,14.165526669413053,99.46380697050938,20.95588235294117,1,1,2.0
RB,Jeremiyah Love,3,5,Marshawn Lynch,2007,12,0.6457484096823884,11.564200177362572,95.44235924932975,13.3725,1,0,12.0
RB,Jadarian Price,32,1,Josh Jacobs,2019,24,0.7644161955651957,10.710507668064864,93.5656836461126,13.875183823529415,1,0,8.0
RB,Jadarian Price,32,2,Dameon Pierce,2022,107,0.8499737027049191,4.826683793326708,61.12600536193029,7.326470588235294,0,0,27.0
RB,Jadarian Price,32,3,Devonta Freeman,2014,103,0.8556532124486705,4.752581177832767,59.24932975871313,18.765625,1,1,1.0
RB,Jadarian Price,32,4,Spencer Ware,2013,194,0.9484796808649799,3.438119807069395,40.75067024128686,2.61875,0,0,59.0
RB,Jadarian Price,32,5,Zamir White,2022,122,0.9565754911026222,5.413131550186368,66.48793565683646,3.035294117647059,0,0,56.0
RB,Kaelon Black,90,1,Aaron Brown,2009,192,0.5876382681555231,4.105304387067667,51.7426273458445,1.7125,0,0,84.0
RB,Kaelon Black,90,2,Damien Harris,2019,87,0.6029711564987642,7.080898654982089,75.60321715817693,9.032536764705885,0,0,14.0
RB,Kaelon Black,90,3,La'Mical Perine,2020,120,0.6037478927113114,4.330719305052361,55.22788203753352,1.731801470588235,0,0,78.0
RB,Kaelon Black,90,4,Johnny White,2011,133,0.6183060258642741,4.14334646869011,52.01072386058981,0.246875,0,0,137.0
RB,Kaelon Black,90,5,Keaontay Ingram,2022,201,0.6228069890554262,2.8237102903660367,33.51206434316354,0.9441176470588232,0,0,105.0
RB,Jonah Coleman,108,1,Kenneth Dixon,2016,134,0.48040776659799594,4.1630660846225975,52.27882037533512,4.9,0,0,47.0
RB,Jonah Coleman,108,2,Zac Stacy,2013,160,0.49165631212938027,3.4775789219552657,41.28686327077748,7.746875,0,0,20.0
RB,Jonah Coleman,108,3,Zack Moss,2020,86,0.5059625687346385,7.531484120494651,80.42895442359249,6.269117647058824,0,0,46.0
RB,Jonah Coleman,108,4,Kyle Juszczyk,2013,130,0.5216379069689346,3.6351019642360174,44.23592493297587,4.26875,0,0,52.0
RB,Jonah Coleman,108,5,Javarris Williams,2009,212,0.5288645007734095,3.129677399313084,37.26541554959786,0.01875,0,0,159.0
RB,Mike Washington Jr.,122,1,Pierre Strong,2022,127,0.6776092658687899,5.204718190296043,64.87935656836461,2.294117647058824,0,0,72.0
RB,Mike Washington Jr.,122,2,Cedric Peerman,2009,185,0.6911776109377116,4.355776428512063,55.49597855227882,0.115625,0,0,141.0
RB,Mike Washington Jr.,122,3,Kalen Ballage,2018,131,0.6913513847767341,4.581213460243274,58.17694369973191,4.553125,0,0,52.0
RB,Mike Washington Jr.,122,4,Keaontay Ingram,2022,201,0.7095046147276286,2.8237102903660367,33.51206434316354,0.9441176470588232,0,0,105.0
RB,Mike Washington Jr.,122,5,Montario Hardesty,2010,59,0.7147300698057577,7.010933016990143,75.33512064343164,2.796875,0,0,72.0
RB,Emmett Johnson,161,1,Jay Ajayi,2015,149,0.5524520530423068,2.543760622953318,28.418230563002684,10.95,1,0,11.0
RB,Emmett Johnson,161,2,Kerwynn Williams,2013,230,0.5561178881465487,2.124395303313472,23.59249329758713,1.546875,0,0,96.0
RB,Emmett Johnson,161,3,Trayveon Williams,2019,182,0.579901994811493,3.1066510423918645,36.72922252010724,0.8693014705882354,0,0,103.0
RB,Emmett Johnson,161,4,Tyler Badie,2022,196,0.5807238904875951,3.1799887177322,38.069705093833775,0.5529411764705883,0,0,112.0
RB,Emmett Johnson,161,5,Javorius Allen,2015,125,0.6136236549871374,4.418106729435228,56.30026809651475,9.74375,0,0,23.0
RB,Nicholas Singleton,165,1,Aaron Brown,2009,192,0.40787611245534144,4.105304387067667,51.7426273458445,1.7125,0,0,84.0
RB,Nicholas Singleton,165,2,James White,2014,130,0.46744766767160295,3.382273159972484,39.94638069705093,8.884375,0,0,26.0
RB,Nicholas Singleton,165,3,La'Mical Perine,2020,120,0.4768451653766575,4.330719305052361,55.22788203753352,1.731801470588235,0,0,78.0
RB,Nicholas Singleton,165,4,Tim Hightower,2008,149,0.517881060594465,3.12073807292872,36.99731903485255,11.296875,0,0,15.0
RB,Nicholas Singleton,165,5,Keaontay Ingram,2022,201,0.5227557779167353,2.8237102903660367,33.51206434316354,0.9441176470588232,0,0,105.0
RB,Adam Randall,174,1,C.J. Prosise,2016,90,0.7913179206173725,7.503813366405114,80.16085790884718,2.4375000000000004,0,0,67.0
RB,Adam Randall,174,2,Tevin Coleman,2015,73,0.9892821195805004,6.945401438623891,74.53083109919572,11.2125,0,0,19.0
RB,Adam Randall,174,3,Jordan Wilkins,2018,169,1.0172516598473913,1.98079365395938,21.983914209115284,3.79375,0,0,70.0
RB,Adam Randall,174,4,Wendell Smallwood,2016,153,1.0175154050988433,4.087770754546858,50.93833780160858,5.378125,0,0,42.0
RB,Adam Randall,174,5,Joe McKnight,2010,112,1.0198322498702503,4.901191845055773,62.19839142091153,2.28125,0,0,77.0
RB,Kaytron Allen,187,1,Deji Karim,2010,180,0.3844232064011379,2.6104804899317564,29.49061662198391,1.84375,0,0,85.0
RB,Kaytron Allen,187,2,Alex Armah,2017,192,0.3861457771238952,2.888722421958607,34.316353887399465,0.7718749999999999,0,0,104.0
RB,Kaytron Allen,187,3,Trenton Cannon,2018,204,0.3887140960425132,2.511168986852743,27.882037533512065,1.76875,0,0,80.0
RB,Kaytron Allen,187,4,Ryan D'Imperio,2010,237,0.40377185329943943,1.8536033975667687,19.3029490616622,0.084375,0,0,
RB,Kaytron Allen,187,5,De'Angelo Henderson,2017,203,0.40612871075836243,2.573012668865798,29.2225201072386,0.403125,0,0,117.0
RB,Demond Claiborne,198,1,Cyrus Gray,2012,182,0.593694899384873,3.512532471721852,41.55495978552279,0.721875,0,0,115.0
RB,Demond Claiborne,198,2,Joe McKnight,2010,112,0.5999461610364308,4.901191845055773,62.19839142091153,2.28125,0,0,77.0
RB,Demond Claiborne,198,3,Kenneth Gainwell,2021,150,0.6264331248768918,4.089099592426392,51.206434316353885,6.4935294117647056,0,0,41.0
RB,Demond Claiborne,198,4,Taiwan Jones,2011,125,0.6291490918404062,5.747940993649465,68.36461126005362,0.675,0,0,119.0
RB,Demond Claiborne,198,5,Paul Perkins,2016,149,0.6317420100829751,4.755244280336553,59.51742627345844,3.075,0,0,57.0
RB,Eli Heidenreich,230,1,Peyton Hillis,2008,227,1.1471020121967463,0.1735147781254449,3.2171581769437,12.41,1,1,3.0
RB,Eli Heidenreich,230,2,Garrett Mills,2006,106,1.2058189879395713,,,0.503125,0,0,
RB,Eli Heidenreich,230,3,Tony Pollard,2019,128,1.3631928382000864,5.754544624563679,68.63270777479893,8.55735294117647,0,0,28.0
RB,Eli Heidenreich,230,4,Rachaad White,2022,91,1.450207409642583,9.106175631241918,88.47184986595174,13.75,1,1,4.0
RB,Eli Heidenreich,230,5,Elijah McGuire,2017,188,1.510706243371475,2.3345760922641667,26.273458445040216,5.128125000000001,0,0,60.0
RB,Seth McGowan,237,1,Elijah McGuire,2017,188,0.8187643839511035,2.3345760922641667,26.273458445040216,5.128125000000001,0,0,60.0
RB,Seth McGowan,237,2,Charles Sims,2014,69,0.8305699443056896,6.379061868193723,71.84986595174263,7.746874999999999,0,0,17.0
RB,Seth McGowan,237,3,Keaontay Ingram,2022,201,0.8646046670815655,2.8237102903660367,33.51206434316354,0.9441176470588232,0,0,105.0
RB,Seth McGowan,237,4,Kylin Hill,2021,256,0.8681632532573857,0.5986233304660655,5.093833780160858,0.1352941176470588,0,0,146.0
RB,Seth McGowan,237,5,Chris Evans,2021,202,0.8832619698078266,2.544132889891503,28.686327077747997,1.8411764705882352,0,0,82.0
RB,Jam Miller,245,1,Khalfani Muhammad,2017,241,0.5177920971685865,1.659806380717345,17.158176943699733,0.0,0,0,
RB,Jam Miller,245,2,Gerrid Doaks,2021,244,0.5388817123290759,1.4673811917996096,13.404825737265416,0.0,0,0,
RB,Jam Miller,245,3,T.J. Logan,2017,179,0.5529649014717097,3.790256881263104,46.64879356568365,0.475,0,0,112.0
RB,Jam Miller,245,4,Bilal Powell,2011,126,0.5796477528290525,4.2188973592915975,53.35120643431635,7.462499999999999,0,0,35.0
RB,Jam Miller,245,5,Spencer Ware,2013,194,0.6041648373807628,3.438119807069395,40.75067024128686,2.61875,0,0,59.0
WR,Carnell Tate,4,1,Odell Beckham,2014,12,0.6354568229033826,8.730909761904758,86.09523809523809,19.259375,1,1,4.0
WR,Carnell Tate,4,2,Will Fuller,2016,21,0.6529910380118652,5.929676027494329,68.76190476190476,7.543750000000001,0,0,61.0
WR,Carnell Tate,4,3,Percy Harvin,2009,22,0.65642573061421,7.755936696428563,80.0,15.021875,1,1,7.0
WR,Carnell Tate,4,4,Marquise Brown,2019,25,0.700703098522886,5.983813645124712,69.71428571428572,12.43345588235294,1,0,21.0
WR,Carnell Tate,4,5,Kadarius Toney,2021,20,0.7267616616936377,9.325570912364949,90.0952380952381,4.166470588235294,0,0,89.0
WR,Jordyn Tyson,8,1,Chris Olave,2022,11,0.6209722707388833,10.694960824829929,94.66666666666669,12.632352941176473,1,0,16.0
WR,Jordyn Tyson,8,2,Jerry Jeudy,2020,15,0.7625850468875116,10.098088753251302,92.76190476190476,10.930882352941175,1,0,22.0
WR,Jordyn Tyson,8,3,Will Fuller,2016,21,0.7646774756738575,5.929676027494329,68.76190476190476,7.543750000000001,0,0,61.0
WR,Jordyn Tyson,8,4,Zay Flowers,2023,22,0.7956924889254419,9.839565963635454,91.61904761904762,13.31764705882353,1,1,7.0
WR,Jordyn Tyson,8,5,Jahan Dotson,2022,16,0.7997432781881421,9.802243619447786,91.42857142857144,7.511764705882353,0,0,51.0
WR,Makai Lemon,20,1,Nelson Agholor,2015,20,0.5087729893369811,11.186434119897964,96.38095238095238,8.606250000000001,1,0,23.0
WR,Makai Lemon,20,2,Cody Latimer,2014,56,0.6290170033247586,6.194565034013606,70.28571428571428,1.05,0,0,155.0
WR,Makai Lemon,20,3,Brandon Aiyuk,2020,25,0.630402521779416,8.122553230792326,83.42857142857143,12.465625,1,0,15.0
WR,Makai Lemon,20,4,Michael Pittman Jr.,2020,34,0.6432094497713489,6.963048478391352,76.0,13.385294117647058,1,0,17.0
WR,Makai Lemon,20,5,John Ross,2017,9,0.6435308895403982,8.570378584183677,84.76190476190476,5.621874999999999,0,0,75.0
WR,KC Concepcion,24,1,Jalen Reagor,2020,21,0.5784367971842093,10.39508092311925,94.0952380952381,5.022058823529411,0,0,90.0
WR,KC Concepcion,24,2,Christian Kirk,2018,47,0.6570508847659248,8.629092198129255,85.14285714285714,9.83125,0,0,38.0
WR,KC Concepcion,24,3,Donte Moncrief,2014,90,0.663675667564346,7.061986581632647,76.57142857142857,8.621875,0,0,35.0
WR,KC Concepcion,24,4,Calvin Ridley,2018,26,0.6689734108858434,9.11345960034014,88.57142857142857,15.259375000000002,1,1,5.0
WR,KC Concepcion,24,5,N'Keal Harry,2019,32,0.681494105287234,11.17189295493197,96.1904761904762,3.5406250000000004,0,0,
WR,Omar Cooper Jr.,30,1,Keshawn Martin,2012,121,0.6973812528449098,3.87123574829932,54.285714285714285,2.9718750000000003,0,0,100.0
WR,Omar Cooper Jr.,30,2,Quintez Cephus,2020,166,0.714006750304514,1.8057576250500191,19.61904761904762,3.543566176470588,0,0,101.0
WR,Omar Cooper Jr.,30,3,Joe Adams,2012,104,0.750407646675603,3.86160529761905,53.9047619047619,0.09375,0,0,188.0
WR,Omar Cooper Jr.,30,4,Joe Reed,2020,151,0.761222303850326,2.842141640906362,37.142857142857146,0.278125,0,0,183.0
WR,Omar Cooper Jr.,30,5,Kadarius Toney,2021,20,0.7773404874797165,9.325570912364949,90.0952380952381,4.166470588235294,0,0,89.0
WR,De'Zhaun Stribling,33,1,Andre Caldwell,2008,97,0.5308124802992107,2.8599823554421766,37.90476190476191,5.4281250000000005,0,0,65.0
WR,De'Zhaun Stribling,33,2,Michael Wilson,2023,94,0.548538885402413,3.2334131855242094,43.42857142857143,10.15,1,1,10.0
WR,De'Zhaun Stribling,33,3,Chris Conley,2015,76,0.5613493760897413,3.278665573979593,43.80952380952381,4.371875,0,0,80.0
WR,De'Zhaun Stribling,33,4,Eddie Royal,2008,42,0.5687419391292422,3.756385280612244,52.19047619047619,11.678125,1,0,15.0
WR,De'Zhaun Stribling,33,5,Christian Watson,2022,34,0.6227374263741541,4.355079638480386,57.90476190476191,7.923529411764706,0,0,41.0
WR,Denzel Boston,39,1,Michael Pittman Jr.,2020,34,0.5676378678975688,6.963048478391352,76.0,13.385294117647058,1,0,17.0
WR,Denzel Boston,39,2,Cody Latimer,2014,56,0.624888862999787,6.194565034013606,70.28571428571428,1.05,0,0,155.0
WR,Denzel Boston,39,3,Chase Claypool,2020,49,0.7161009480374807,6.973817760729291,76.19047619047619,11.615625,1,0,23.0
WR,Denzel Boston,39,4,Christian Watson,2022,34,0.7288600504838859,4.355079638480386,57.90476190476191,7.923529411764706,0,0,41.0
WR,Denzel Boston,39,5,Jeremy Ebert,2012,235,0.7301130749652666,1.6506999255952366,17.142857142857142,0.15,0,0,172.0
WR,Germie Bernard,47,1,Keshawn Martin,2012,121,0.6071588997369783,3.87123574829932,54.285714285714285,2.9718750000000003,0,0,100.0
WR,Germie Bernard,47,2,Joe Adams,2012,104,0.6427648184851162,3.86160529761905,53.9047619047619,0.09375,0,0,188.0
WR,Germie Bernard,47,3,Early Doucet,2008,81,0.6548633302832985,2.6237045790816325,32.95238095238095,3.3125,0,0,95.0
WR,Germie Bernard,47,4,Joe Reed,2020,151,0.6606302541555567,2.842141640906362,37.142857142857146,0.278125,0,0,183.0
WR,Germie Bernard,47,5,Travis Benjamin,2012,100,0.6707370248380472,3.997509213435373,55.61904761904762,4.340624999999999,0,0,86.0
WR,Antonio Williams,71,1,Nathaniel Dell,2023,69,0.5606897592075514,7.391597511129447,77.90476190476191,8.970588235294116,0,0,39.0
WR,Antonio Williams,71,2,Josh Palmer,2021,77,0.5624311501877934,5.535915859260366,66.28571428571428,8.117647058823529,0,0,36.0
WR,Antonio Williams,71,3,Van Jefferson,2020,57,0.5672880427415605,6.899807548519409,75.23809523809524,7.267647058823528,0,0,36.0
WR,Antonio Williams,71,4,Armanti Edwards,2010,89,0.5674379555087734,2.658604286873841,33.714285714285715,0.5637500000000001,0,0,146.0
WR,Antonio Williams,71,5,D'Wayne Eskridge,2021,56,0.5695046997722096,5.725844200805327,67.23809523809524,1.238235294117647,0,0,145.0
WR,Malachi Fields,74,1,Michael Wilson,2023,94,0.6801244266215184,3.2334131855242094,43.42857142857143,10.15,1,1,10.0
WR,Malachi Fields,74,2,Christian Watson,2022,34,0.681990753909296,4.355079638480386,57.90476190476191,7.923529411764706,0,0,41.0
WR,Malachi Fields,74,3,Cooper Kupp,2017,69,0.6949256415083261,5.268939770224817,63.61904761904762,13.98125,1,1,4.0
WR,Malachi Fields,74,4,Chad Williams,2017,98,0.7020447761758989,5.370401079748624,64.57142857142857,1.575,0,0,126.0
WR,Malachi Fields,74,5,Keenan Burton,2008,128,0.7038993507075912,3.4322028188775526,47.04761904761905,2.728125,0,0,101.0
WR,Caleb Douglas,75,1,Christian Watson,2022,34,0.4552448072408584,4.355079638480386,57.90476190476191,7.923529411764706,0,0,41.0
WR,Caleb Douglas,75,2,Cooper Kupp,2017,69,0.46321191838513154,5.268939770224817,63.61904761904762,13.98125,1,1,4.0
WR,Caleb Douglas,75,3,Chris Conley,2015,76,0.4661893870741287,3.278665573979593,43.80952380952381,4.371875,0,0,80.0
WR,Caleb Douglas,75,4,Tyquan Thornton,2022,50,0.467207721585444,8.11834575767807,83.23809523809523,2.75,0,0,98.0
WR,Caleb Douglas,75,5,Chad Williams,2017,98,0.469901722349733,5.370401079748624,64.57142857142857,1.575,0,0,126.0
WR,Zachariah Branch,79,1,Anthony Schwartz,2021,91,0.4498914319776079,4.082436908263308,56.19047619047619,1.5352941176470587,0,0,137.0
WR,Zachariah Branch,79,2,Curtis Samuel,2017,40,0.4664631457886679,7.9506930782313,81.52380952380952,9.703125,0,0,36.0
WR,Zachariah Branch,79,3,Amari Rodgers,2021,85,0.4894297343537808,3.455834669617845,47.61904761904761,1.5500000000000005,0,0,122.0
WR,Zachariah Branch,79,4,Randall Cobb,2011,64,0.5387858809353893,6.57653272959184,73.14285714285714,10.896874999999998,1,0,16.0
WR,Zachariah Branch,79,5,Nathaniel Dell,2023,69,0.5402649904471591,7.391597511129447,77.90476190476191,8.970588235294116,0,0,39.0
WR,Ja'Kobi Lane,80,1,Early Doucet,2008,81,0.7414883475061366,2.6237045790816325,32.95238095238095,3.3125,0,0,95.0
WR,Ja'Kobi Lane,80,2,Dwayne Bowe,2007,23,0.8506083152823714,7.736383860544183,79.42857142857143,13.428125,1,0,14.0
WR,Ja'Kobi Lane,80,3,Quintez Cephus,2020,166,0.8527376130218236,1.8057576250500191,19.61904761904762,3.543566176470588,0,0,101.0
