position,model,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,v42,True,1630,4.106140170769693,5.354204275868538,0.26710554666600833,0.25730642845803026,9.38888888888889,8.574074074074074,8.511111111111111
DST,QueryRMSE_base_0.25,False,1630,4.10739923161222,5.351722799649537,0.26812505345804666,0.2565871179094779,9.148148148148149,8.709876543209877,8.581481481481482
DST,QueryRMSE_base_0.5,False,1630,4.112730109997907,5.354461225997824,0.266359076234104,0.2517294731683947,9.944444444444445,9.074074074074074,8.722222222222221
DST,QueryRMSE_base_1.0,False,1630,4.141805558843123,5.375550670690588,0.25460241375617054,0.23632209854742284,10.166666666666666,8.777777777777779,8.722222222222221
DST,QueryRMSE_context_0.25,False,1630,4.1077184188212685,5.350449848989815,0.2688594268589525,0.24991062041449924,9.314814814814815,8.709876543209877,8.655555555555553
DST,QueryRMSE_context_0.5,False,1630,4.11332346293681,5.352196565093073,0.2676828184444048,0.24454786060787936,8.944444444444445,8.820987654320987,8.751851851851852
DST,QueryRMSE_context_1.0,False,1630,4.143143187831612,5.372155062831885,0.256594636086933,0.23554592340472758,9.074074074074074,8.617283950617283,8.637037037037038
DST,YetiRank_base_0.25,False,1630,4.113491960488005,5.353212797148778,0.26711281790799635,0.2534654961013874,9.185185185185185,8.62962962962963,8.585185185185187
DST,YetiRank_base_0.5,False,1630,4.126700300590904,5.359065547874522,0.2634244296041647,0.251142966803249,9.092592592592593,8.555555555555557,8.52962962962963
DST,YetiRank_base_1.0,False,1630,4.168272207964407,5.391188509894741,0.2454113571181345,0.2401809452550238,8.907407407407407,8.80864197530864,8.640740740740743
DST,YetiRank_context_0.25,False,1630,4.113404575402125,5.352967107652325,0.2672507997375682,0.25467679139176247,9.685185185185185,8.672839506172838,8.592592592592593
DST,YetiRank_context_0.5,False,1630,4.1265855687139235,5.358687084071284,0.26363971551707094,0.2487117686019942,9.38888888888889,8.469135802469136,8.666666666666666
DST,YetiRank_context_1.0,False,1630,4.1687278156181655,5.390882954422179,0.24559120146005886,0.23714222492448075,9.38888888888889,8.555555555555555,8.355555555555556
K,v42,True,1630,3.50501152299565,4.380874973729962,0.14939284992583146,0.150535597040985,9.462962962962964,9.06172839506173,8.896296296296295
K,QueryRMSE_base_0.25,False,1630,3.5077989709531514,4.38449094923626,0.14391455747351387,0.14656151487557617,9.12962962962963,8.864197530864196,8.77037037037037
K,QueryRMSE_base_0.5,False,1630,3.512730398230392,4.390944150819379,0.13532451928416314,0.14655430964540725,9.055555555555555,8.759259259259258,8.58148148148148
K,QueryRMSE_base_1.0,False,1630,3.530554708216478,4.412306964454373,0.11065708257455877,0.11910715102350383,8.481481481481481,8.481481481481481,8.38148148148148
K,QueryRMSE_context_0.25,False,1630,3.507374504715995,4.385392607570324,0.14268194650864854,0.14906496312222448,9.12962962962963,8.987654320987653,8.681481481481482
K,QueryRMSE_context_0.5,False,1630,3.5122606302150188,4.392994469470066,0.1325433614582956,0.14328998420745584,8.777777777777779,8.901234567901234,8.6
K,QueryRMSE_context_1.0,False,1630,3.528726555218993,4.417380726048917,0.10437838425650856,0.12356618594857541,8.055555555555555,8.80246913580247,8.488888888888889
K,YetiRank_base_0.25,False,1630,3.507932059671729,4.382862663077293,0.14606003603829967,0.14671341297381382,9.351851851851851,8.771604938271603,8.737037037037036
K,YetiRank_base_0.5,False,1630,3.5128758788672965,4.387437074207096,0.13994638839238346,0.14193411184443763,9.12962962962963,8.925925925925926,8.603703703703703
K,YetiRank_base_1.0,False,1630,3.528882728819037,4.404309264793534,0.12053945564707087,0.12596923231843857,9.555555555555555,8.543209876543212,8.67037037037037
K,YetiRank_context_0.25,False,1630,3.5076253731607907,4.382631637679296,0.14634700620113758,0.14854994373309688,9.296296296296296,8.907407407407407,8.862962962962962
K,YetiRank_context_0.5,False,1630,3.5124854857547456,4.386989405145662,0.1405101394792343,0.14416642613892447,9.092592592592593,8.820987654320986,8.677777777777777
K,YetiRank_context_1.0,False,1630,3.5274713639417348,4.403472752138036,0.12157205842823869,0.13437394137293215,8.814814814814815,8.537037037037036,8.5
