position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error,complete_match,pass_1e6
RB,hit3,cat,stage3__features,113,cat4_unweighted,86,86,0.1655083081083877,0.08643596194171549,0.6351886390676693,0.7356521984689219,0.6518892400584932,,True,False
RB,star3,hist,group__capital,6,hist_exact,86,86,0.07258556725724229,0.041502917792097194,0.28878279664092504,0.7521245670605874,0.6236801814635716,,True,False
TE,hit3,cat,group__capital_core,254,cat4_unweighted,58,58,0.14953407010906158,0.09872354831039828,0.4683836646429127,0.6388808078998962,0.7352733089298349,,True,False
TE,star3,logit,draftcap_plus_top64,70,logit_exact,58,58,0.1729515091809477,0.08730805843640453,0.917222892870254,0.35621440298494306,0.2771232581746594,,True,False
WR,hit3,logit,group__capital,6,logit_exact,126,126,0.2168278748763631,0.18595767840975863,0.5003440064359281,0.9726721365662352,0.9590731158605175,,True,False
WR,star3,logit,group__capital_production,730,logit_exact,126,126,0.2437954700513445,0.16559514147035415,0.9163215972205578,0.340828378405818,0.39147806524184486,,True,False
