position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error,complete_match
TE,hit3,cat,group__capital_core,254,cat4_unweighted,58,58,0.14953407010906158,0.09872354831039828,0.4683836646429127,0.6388808078998962,0.7352733089298349,,True
TE,hit3,cat,group__capital_core,254,cat3_unweighted,58,58,0.16127427102962894,0.10290630584510166,0.6021454142203633,0.6006627121077692,0.7574825432957029,,True
TE,hit3,cat,group__capital,6,cat4_unweighted,58,58,0.16476094454092083,0.11058209760598171,0.5074535773653297,0.6088612630252253,0.7128179888646221,,True
TE,hit3,cat,stage3__features,137,cat4_unweighted,58,58,0.16832018104776278,0.10697654940672167,0.536348779672934,0.5878043318937257,0.7344735304069644,,True
TE,hit3,cat,group__capital,6,cat3_unweighted,58,58,0.17287187228629064,0.1130437794003335,0.5458589922861851,0.5913198225772704,0.7026378535512257,,True
TE,hit3,cat,stage3__features,137,cat3_unweighted,58,58,0.1799117819167863,0.11197574641248187,0.6016203287094527,0.586413999092535,0.7520686579101172,,True
TE,hit3,cat,group__capital_core,254,cat4_balanced,58,58,0.2502260820246052,0.17019720116717363,0.685294008571129,0.4839027845006048,0.6733827555446185,,True
TE,hit3,cat,group__capital_core,254,cat4_scaled,58,58,0.2502260820246052,0.17019720116717363,0.685294008571129,0.4839027845006048,0.6733827555446185,,True
TE,hit3,cat,group__capital_core,254,cat3_balanced,58,58,0.272301588061581,0.17693937289376466,0.7155887053788674,0.38984393597909767,0.6290258082377189,,True
TE,hit3,cat,group__capital_core,254,cat3_scaled,58,58,0.272301588061581,0.17693937289376466,0.7155887053788674,0.38984393597909767,0.6290258082377189,,True
TE,hit3,cat,stage3__features,137,cat4_balanced,58,58,0.2724833203430881,0.18831874345379895,0.7337747750015455,0.5335160033605317,0.7075271463287091,,True
TE,hit3,cat,stage3__features,137,cat4_scaled,58,58,0.2724833203430881,0.18831874345379895,0.7337747750015455,0.5335160033605317,0.7075271463287091,,True
TE,hit3,cat,draftcap_plus_top96,102,cat4_unweighted,58,58,0.27479736170124913,0.1612727069585667,0.9325980346566383,0.3393896524156452,0.613337844904488,,True
TE,hit3,cat,stage3__features,137,cat3_balanced,58,58,0.2799209442887232,0.18993075275540688,0.7867502042856671,0.44747300000459567,0.6842105263157895,,True
TE,hit3,cat,stage3__features,137,cat3_scaled,58,58,0.2799209442887232,0.18993075275540688,0.7867502042856671,0.44747300000459567,0.6842105263157895,,True
TE,hit3,cat,ranked_top96,96,cat4_unweighted,58,58,0.2803371783547924,0.16498199137250857,0.9329637522967753,0.320859636839247,0.5749484758066997,,True
TE,hit3,cat,ranked_top64,64,cat4_unweighted,58,58,0.2873635589130667,0.16700485351432665,0.9193860019712232,0.343873460876133,0.6121689378326003,,True
TE,hit3,cat,draftcap_plus_top96,102,cat3_unweighted,58,58,0.288360100973909,0.17219816334704044,0.966528006373158,0.3291320660471106,0.5296687071272571,,True
TE,hit3,cat,draftcap_plus_top64,70,cat4_unweighted,58,58,0.29066169308201734,0.17145347384993206,0.9301068206279711,0.32645471830031486,0.5891599249438618,,True
TE,hit3,cat,ranked_top96,96,cat3_unweighted,58,58,0.2913788744528197,0.17395870771351957,0.9502561388705119,0.32754832198037176,0.541665384970316,,True
TE,hit3,cat,draftcap_plus_top64,70,cat3_unweighted,58,58,0.29996620198507146,0.1775269397446471,0.9541663496639196,0.3242260953862099,0.5442492848134363,,True
TE,hit3,cat,draftcap_plus_top48,54,cat4_unweighted,58,58,0.30062020544571744,0.1756576635079866,0.9225199915912918,0.3227244730354013,0.5721800116890708,,True
TE,hit3,cat,draftcap_plus_top96,102,cat4_balanced,58,58,0.3013355796924978,0.1778109944274187,0.9315944756021992,0.32138322267136976,0.5427727706173675,,True
TE,hit3,cat,draftcap_plus_top96,102,cat4_scaled,58,58,0.3013355796924978,0.1778109944274187,0.9315944756021992,0.32138322267136976,0.5427727706173675,,True
TE,hit3,cat,ranked_top16,16,cat4_unweighted,58,58,0.30661700778065365,0.17273856348779057,0.9310048886839536,0.29911687702588113,0.6035559383555323,,True
