position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error
RB,hit3,cat,draftcap_plus_top4,10,cat4_balanced,86,86,0.3031872691839124,0.18283893096397774,0.8826603529898964,0.6171119517287807,0.5241851030708995,
RB,hit3,cat,draftcap_plus_top4,10,cat3_scaled,86,86,0.30482318595180313,0.183068624443965,0.8998837994676953,0.6123523625309976,0.49327798481060425,
RB,hit3,cat,draftcap_plus_top4,10,cat4_scaled,86,86,0.3031872691839124,0.18283893096397774,0.8826603529898964,0.6171119517287807,0.5241851030708995,
RB,hit3,cat,draftcap_plus_top4,10,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top4,10,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top8,8,cat3_unweighted,86,86,0.2254416539565428,0.13216848274630807,0.8304128481794935,0.5998435014065023,0.5384121892542101,
RB,hit3,cat,ranked_top8,8,cat4_unweighted,86,86,0.22075704924387027,0.13237585329012022,0.7376018570386216,0.5886363330840824,0.5408840039624511,
RB,hit3,cat,ranked_top8,8,cat3_balanced,86,86,0.3028491626105291,0.1871336683705265,0.9103439660586286,0.6464341589096096,0.5541676494174254,
RB,hit3,cat,ranked_top8,8,cat4_balanced,86,86,0.3040932574499681,0.18636564937613675,0.8670562788682978,0.62785136208896,0.5244115288457002,
RB,hit3,cat,ranked_top8,8,cat3_scaled,86,86,0.3028491626105291,0.1871336683705265,0.9103439660586286,0.6464341589096096,0.5541676494174254,
RB,hit3,cat,ranked_top8,8,cat4_scaled,86,86,0.3040932574499681,0.18636564937613675,0.8670562788682978,0.62785136208896,0.5244115288457002,
RB,hit3,cat,ranked_top8,8,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top8,8,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top8,14,cat3_unweighted,86,86,0.2326085403081458,0.13590840615279856,0.7677040091059935,0.568009369513921,0.494598801830275,
RB,hit3,cat,draftcap_plus_top8,14,cat4_unweighted,86,86,0.22518317588806805,0.13692609142323148,0.7906418951759238,0.5827100264108981,0.5064484173781781,
RB,hit3,cat,draftcap_plus_top8,14,cat3_balanced,86,86,0.30610150506965256,0.18443705079058226,0.8902935424316655,0.6196997577921745,0.518260295296948,
RB,hit3,cat,draftcap_plus_top8,14,cat4_balanced,86,86,0.31310341697372307,0.1877692238066576,0.8886085598374319,0.6012948758536345,0.5289777819708477,
RB,hit3,cat,draftcap_plus_top8,14,cat3_scaled,86,86,0.30610150506965256,0.18443705079058226,0.8902935424316655,0.6196997577921745,0.518260295296948,
RB,hit3,cat,draftcap_plus_top8,14,cat4_scaled,86,86,0.31310341697372307,0.1877692238066576,0.8886085598374319,0.6012948758536345,0.5289777819708477,
RB,hit3,cat,draftcap_plus_top8,14,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top8,14,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top12,12,cat3_unweighted,86,86,0.2291276503349416,0.13048810314824885,0.8122217638836895,0.5932334628986293,0.5066182367092787,
