college_season,source_date,teamrankings_team,team_key,sos,sos_rank,plays_pg,plays_pg_rank,opp_plays_pg,opp_plays_pg_rank,sos_z,sos_pct,plays_pg_z,plays_pg_pct,opp_plays_pg_z,opp_plays_pg_pct,total_game_plays_pg,team_pace_factor_vs_median,game_pace_factor_vs_median
2004,2005-01-05,USC,usc,8.4,1,72.8,50,69.1,21,2.009766975925953,1.0,0.14922249424871972,0.5769230769230769,-0.7455013944017026,0.19230769230769232,141.89999999999998,0.9862637362637363,1.0162085976039466
2004,2005-01-05,Miami,miami,6.8,2,68.0,100,71.7,50,1.6812406242901348,0.9914529914529915,-0.9940701765572838,0.15384615384615385,-0.12503210800772846,0.4358974358974359,139.7,1.0558823529411765,1.0322118826055835
2004,2005-01-05,Oregon St,oregonst,6.7,3,79.0,7,73.2,68,1.6607077273128963,0.9829059829059829,1.6259755273731424,0.9487179487179487,0.23293094183494775,0.5811965811965812,152.2,0.9088607594936708,0.9474375821287779
2004,2005-01-05,Oklahoma,oklahoma,6.4,4,75.2,34,65.3,12,1.5991090363811806,0.9658119658119658,0.7208688296517232,0.7264957264957265,-1.652341120669815,0.10256410256410256,140.5,0.9547872340425532,1.0263345195729536
2004,2005-01-05,Arizona St,arizonast,6.4,5,81.3,2,74.2,76,1.5991090363811806,0.9658119658119658,2.1738032654676855,0.9914529914529915,0.47157297506339857,0.6495726495726496,155.5,0.8831488314883149,0.9273311897106109
2004,2005-01-05,California,california,6.4,6,72.0,55,69.1,22,1.5991090363811806,0.9658119658119658,-0.04132628421894696,0.5384615384615384,-0.7455013944017026,0.19230769230769232,141.1,0.9972222222222222,1.0219702338766832
2004,2005-01-05,Virginia Tech,virginiatech,6.1,7,69.2,89,62.3,1,1.5375103454494647,0.9487179487179487,-0.7082470088557821,0.2564102564102564,-2.3682672203551673,0.008547008547008548,131.5,1.0375722543352601,1.0965779467680608
2004,2005-01-05,Texas,texas,5.7,8,75.2,33,67.7,17,1.4553787575405102,0.9401709401709402,0.7208688296517232,0.7264957264957265,-1.0796002409215317,0.1452991452991453,142.9,0.9547872340425532,1.0090972708187542
2004,2005-01-05,Texas Tech,texastech,5.6,9,80.5,4,74.1,75,1.4348458605632717,0.9316239316239316,1.9832544870000188,0.9743589743589743,0.44770877174055146,0.6410256410256411,154.6,0.8919254658385093,0.9327296248382924
2004,2005-01-05,Texas A&M,texasaandm,5.2,10,69.7,83,79.4,114,1.3527142726543173,0.9230769230769231,-0.5891540223134899,0.3034188034188034,1.7125115478513435,0.9743589743589743,149.10000000000002,1.0301291248206599,0.9671361502347415
2004,2005-01-05,North Carolina,northcarolina,4.9,11,65.9,109,73.6,71,1.2911155817226017,0.9145299145299145,-1.4942607200349092,0.07692307692307693,0.32838775512632606,0.6068376068376068,139.5,1.0895295902883155,1.0336917562724013
2004,2005-01-05,Iowa,iowa,4.5,12,70.5,74,70.5,36,1.2089839938136473,0.905982905982906,-0.39860524384582324,0.3803418803418803,-0.41140254788187014,0.31196581196581197,141.0,1.0184397163120567,1.0226950354609927
2004,2005-01-05,Stanford,stanford,4.2,13,72.9,49,76.1,99,1.1473853028819312,0.8888888888888888,0.17304109155718017,0.5897435897435898,0.9249928381974531,0.8504273504273504,149.0,0.9849108367626885,0.9677852348993288
2004,2005-01-05,Louisville,louisville,4.2,14,76.5,22,69.5,29,1.1473853028819312,0.8888888888888888,1.030510594661682,0.8247863247863247,-0.6500445811103209,0.24786324786324787,146.0,0.938562091503268,0.9876712328767122
