n,positives,auc,brier,mean_year_auc,min_year_auc,position,label,feature_set,kind,n_features
5,1,1.0,0.10211467742919922,1.0,1.0,QB,hit3,capital,xgb,1006
5,0,,0.0072270219118574395,,,QB,star3,capital_top16,hist,1017
7,3,0.9166666666666666,0.11155038037368493,0.9166666666666666,0.9166666666666666,RB,hit3,capital,hist,1126
7,3,0.8333333333333334,0.18862120807170868,0.8333333333333334,0.8333333333333334,RB,star3,capital,xgb,1126
14,4,0.9249999999999999,0.11457190662622452,0.9249999999999999,0.9249999999999999,WR,hit3,capital_top16,xgb,598
14,3,0.8181818181818181,0.14815916121006012,0.8181818181818181,0.8181818181818181,WR,star3,capital_top16,xgb,598
9,3,0.9444444444444444,0.11716278642416,0.9444444444444444,0.9444444444444444,TE,hit3,capital,xgb,598
9,1,0.75,0.10792963801862027,0.75,0.75,TE,star3,capital,hist,598
