position,validation_n,validation_mae,validation_rmse,validation_pearson,validation_spearman,validation_mae_lo,validation_mae_med,validation_mae_hi,validation_rmse_lo,validation_rmse_med,validation_rmse_hi,validation_pearson_lo,validation_pearson_med,validation_pearson_hi,validation_spearman_lo,validation_spearman_med,validation_spearman_hi,validation_intercept,validation_slope,validation_mean_bias,final_2023_n,final_2023_mae,final_2023_rmse,final_2023_pearson,final_2023_spearman,hit_n,hit_auc,hit_brier,hit_null_brier,hit_skill,capital_validation_mae,capital_validation_spearman,capital_final_2023_mae,capital_final_2023_spearman,top5_capture,top10_capture,yearly_spearman_positive_rate,yearly_mae_sd,market_n,market_spearman,model_spearman_market_rows,market_required,capital_pass,robustness_pass,hit_pass,market_pass,final_confirmation
QB,42,3.7899147452291544,5.328466060634075,0.6752620607918347,0.6144364534954867,2.728192738905892,3.744787047962509,4.967657990535233,3.7623669886159807,5.274930863421945,6.714428957247546,0.44804751978541674,0.6812353079104959,0.8429022826426794,0.37599211815822536,0.6158138079662787,0.7833410890109639,1.1222578296598023,0.7837161647384074,0.18010283419236245,5,4.9999361007105145,5.68239853944175,0.8441179070096642,0.7,42,0.8612244897959184,0.10400097489376116,0.13888888888888892,0.2511929807649198,3.679174693593799,0.5614482067796186,3.0045012305910928,0.8999999999999998,0.75,0.975,0.75,0.5826467050304617,0,,,False,False,True,True,True,False
RB,86,2.918643394519748,3.6815540789358154,0.7188346143376877,0.7277095132537881,2.455449481746923,2.9158192260851816,3.3833880719291836,3.0829122083057072,3.6642246019175833,4.246964968359692,0.590842730351883,0.7206385163415363,0.8205038731938282,0.5902828056777696,0.7262815006439713,0.826660500141407,-0.6072004143293889,1.1880060118449391,-0.31191558805148284,7,4.975953476415763,6.031983202027212,0.8372274632583825,0.8928571428571429,86,0.8557575757575757,0.07668238452048162,0.11154678204434826,0.31255404131699116,2.949856785910393,0.6684662592339181,5.173093490496703,0.6071428571428572,0.75,0.775,1.0,0.5821720122770403,0,,,False,True,True,True,True,True
WR,126,3.50851914176454,4.303094153990833,0.5526889966648497,0.5796371136607961,3.0722179302813726,3.509125920942195,3.951404926434167,3.812056553528253,4.2978832550371155,4.781238583750082,0.41957554246225504,0.5538774601068253,0.6676674082450991,0.4636033679808179,0.578270787710936,0.6763503753469385,0.7977414646735995,0.8405982818669275,0.008941579697625837,14,3.3657352216213887,4.226563663484878,0.48476015489601193,0.6395604395604396,126,0.7651143790849673,0.138649811886972,0.15419501133786848,0.1008151905565492,3.234772915851018,0.6135393915753325,3.6128471327940255,0.5956043956043956,0.5,0.55,1.0,0.5459963717608756,0,,,False,False,True,True,True,True
TE,58,1.8848282880867915,2.437436285821945,0.6365632524797639,0.5958266280135879,1.4921806854488973,1.8917258806174866,2.2881846463630446,1.9578599384366433,2.445562448906869,2.8761435419641463,0.4185877747667879,0.6352973934956614,0.7815397826645201,0.3549572749369619,0.5923369969322927,0.7658744548945942,-0.4647159644375433,1.0048781315893027,0.4481809804786647,9,2.8527351690004847,3.1909833494080897,0.4461646998725984,0.5166666666666667,58,0.9099999999999999,0.07383164343959114,0.11890606420927465,0.3790758786730384,1.935724382300732,0.5587702067042042,2.4950430604532925,0.5666666666666667,0.55,0.875,1.0,0.22214030832587037,0,,,False,True,True,True,True,True
