season,pfr_name,draft_pick,primary_ppg,position,prospect_model_score,hit3,star3,best_rank3,target_valid
2020,Joe Burrow,1,19.55705882352941,QB,15.893569007682084,1,1,4.0,1
2020,Tua Tagovailoa,5,12.112941176470589,QB,16.02324038314265,0,0,15.0,1
2020,Justin Herbert,6,21.60007352941177,QB,15.453865813222848,1,1,2.0,1
2020,Jordan Love,26,0.9658823529411764,QB,9.396919365647731,0,0,51.0,1
2020,Jalen Hurts,53,20.3,QB,6.2029971974949625,1,1,3.0,1
2020,Jacob Eason,122,0.0105882352941176,QB,0.8511888013529232,0,0,78.0,1
2020,James Morgan,125,0.0,QB,0.5684180606740734,0,0,,1
2020,Jake Fromm,167,0.3205882352941177,QB,1.2391188649240643,0,0,59.0,1
2020,Jake Luton,189,0.8831249999999999,QB,0.5301240279480094,0,0,45.0,1
2020,Ben DiNucci,231,0.2175,QB,0.5706075587137323,0,0,64.0,1
2020,Tommy Stevens,240,0.075,QB,2.917169536684836,0,0,67.0,1
2020,Nate Stanley,244,0.0,QB,0.6247711932944874,0,0,,1
2021,Trevor Lawrence,1,16.416470588235295,QB,18.09059644082,1,0,7.0,1
2021,Zach Wilson,2,7.994117647058823,QB,15.089573318515932,0,0,29.0,1
2021,Trey Lance,3,2.2758823529411765,QB,15.884434907495958,0,0,39.0,1
2021,Justin Fields,11,15.475294117647058,QB,17.82503974269056,1,1,6.0,1
2021,Mac Jones,15,11.618235294117648,QB,13.10390327758246,0,0,18.0,1
2021,Kyle Trask,64,0.0270588235294117,QB,4.478410646513077,0,0,75.0,1
2021,Kellen Mond,66,0.0058823529411764,QB,3.645331458839825,0,0,72.0,1
2021,Davis Mills,67,9.95529411764706,QB,2.943938165003739,0,0,21.0,1
2021,Ian Book,133,0.0588235294117647,QB,0.8135793785712848,0,0,66.0,1
2021,Sam Ehlinger,218,1.0741176470588234,QB,0.8535529790363143,0,0,49.0,1
2022,Kenny Pickett,20,7.648823529411764,QB,10.5969981645527,0,0,28.0,1
2022,Desmond Ridder,74,6.3488235294117645,QB,4.469538658346083,0,0,22.0,1
2022,Malik Willis,86,2.0923529411764705,QB,5.109003667928539,0,0,44.0,1
2022,Matt Corral,94,0.0,QB,4.414914455253246,0,0,,1
2022,Bailey Zappe,137,3.2005882352941177,QB,0.899077447369099,0,0,39.0,1
2022,Sam Howell,144,8.111764705882354,QB,2.1011797147809426,0,0,13.0,1
2022,Chris Oladokun,241,0.0,QB,4.432262742847757,0,0,,1
2022,Skylar Thompson,247,0.7452941176470588,QB,1.1037732025598106,0,0,57.0,1
2022,Brock Purdy,262,16.542941176470592,QB,2.359973056372316,1,1,6.0,1
2023,Bryce Young,1,12.148823529411766,QB,15.887818340371188,0,0,19.0,1
2023,C.J. Stroud,2,14.599999999999998,QB,15.948952835543665,1,0,9.0,1
2023,Anthony Richardson,4,6.94235294117647,QB,16.565322806629435,0,0,25.0,1
2023,Will Levis,33,6.528235294117646,QB,11.430089599371223,0,0,30.0,1
2023,Hendon Hooker,68,0.0788235294117647,QB,5.465732215754702,0,0,67.0,1
2014,Bishop Sankey,54,4.85625,RB,7.235467068802311,0,0,46.0,1
2014,Jeremy Hill,55,12.099999999999998,RB,6.968361991807653,1,0,11.0,1
2014,Carlos Hyde,57,8.54375,RB,6.613087285234911,0,0,18.0,1
2014,Charles Sims,69,7.746874999999999,RB,6.379061868193723,0,0,17.0,1
2014,Tre Mason,75,5.8375,RB,6.175353954719154,0,0,30.0,1
2014,Terrance West,94,8.865625,RB,6.638917443306077,0,0,23.0,1
2014,Jerick McKinnon,96,7.584375,RB,6.273646415379746,0,0,27.0,1
2014,Devonta Freeman,103,18.765625,RB,4.752581177832767,1,1,1.0,1
2014,Andre Williams,113,5.640625,RB,4.2650576692475415,0,0,27.0,1
2014,Ka'Deem Carey,117,1.978125,RB,4.452941241950205,0,0,85.0,1
2014,De'Anthony Thomas,124,3.3843750000000004,RB,4.8843384046583465,0,0,,1
2014,James White,130,8.884375,RB,3.382273159972484,0,0,26.0,1
2014,Lorenzo Taliaferro,138,2.7875,RB,3.805196218122692,0,0,67.0,1
2014,Alfred Blue,181,6.7125,RB,2.200779064773923,0,0,43.0,1
2014,Lache Seastrunk,186,0.0,RB,2.6677176563419924,0,0,,1
2014,Marion Grice,201,0.625,RB,2.943168843350729,0,0,109.0,1
2014,Tyler Gaffney,204,0.0,RB,2.219948390280866,0,0,,1
2014,Jay Prosch,211,0.2093749999999999,RB,1.1094782632154745,0,0,145.0,1
2014,Storm Johnson,222,0.6625,RB,1.330579848922712,0,0,104.0,1
2014,Kiero Small,227,0.0,RB,1.5535708128962948,0,0,158.0,1
2014,Trey Millard,245,0.0,RB,1.5524856519849843,0,0,,1
2015,Todd Gurley,10,18.490625,RB,10.80573281870046,1,1,1.0,1
2015,Melvin Gordon,15,16.834375,RB,9.818533607931585,1,1,5.0,1
2015,T.J. Yeldon,36,9.175,RB,7.082214491657174,0,0,28.0,1
2015,Ameer Abdullah,54,7.543749999999999,RB,5.612734705979642,0,0,40.0,1
2015,Tevin Coleman,73,11.2125,RB,6.945401438623891,0,0,19.0,1
2015,Duke Johnson,77,11.8875,RB,8.095136256015907,1,0,11.0,1
2015,David Johnson,86,19.55,RB,5.698153286196471,1,1,1.0,1
2015,Matt Jones,95,5.928125,RB,5.237359004534962,0,0,44.0,1
2015,Jeremy Langford,106,6.9,RB,5.032688638478872,0,0,29.0,1
2015,Jalston Fowler,108,0.909375,RB,2.041932958369018,0,0,107.0,1
2015,Javorius Allen,125,9.74375,RB,4.418106729435228,0,0,23.0,1
2015,Mike Davis,126,2.146875,RB,2.779032020341132,0,0,77.0,1
2015,David Cobb,138,0.66875,RB,3.3431784380716163,0,0,111.0,1
2015,Jay Ajayi,149,10.95,RB,2.543760622953318,1,0,11.0,1
2015,Karlos Williams,155,3.884375,RB,3.779711697536084,0,0,38.0,1
2015,Michael Burton,168,0.61875,RB,1.8640302547799263,0,0,119.0,1
2015,Cameron Artis-Payne,174,1.9875,RB,2.4453377883680467,0,0,91.0,1
2015,Josh Robinson,205,0.35,RB,1.9383500168027976,0,0,129.0,1
2015,Aaron Ripkowski,206,1.8375,RB,1.7866221038562702,0,0,75.0,1
2015,Marcus Murphy,230,0.4,RB,1.515066733052559,0,0,136.0,1
2015,Joey Iosefa,231,0.159375,RB,-0.1368102778456548,0,0,142.0,1
2015,Kenny Hilliard,235,0.0,RB,0.8971578893656709,0,0,,1
2016,Ezekiel Elliott,4,20.453125,RB,13.96053542795124,1,1,2.0,1
2016,Derrick Henry,45,10.51125,RB,9.01865621329307,0,0,16.0,1
2016,Kenyan Drake,73,10.890625,RB,8.291310438464144,0,0,14.0,1
2016,C.J. Prosise,90,2.4375000000000004,RB,7.503813366405114,0,0,67.0,1
2016,Tyler Ervin,119,0.609375,RB,4.758664207039603,0,0,114.0,1
2016,Kenneth Dixon,134,4.9,RB,4.1630660846225975,0,0,47.0,1
2016,Devontae Booker,136,7.315625,RB,4.285318451181567,0,0,32.0,1
2016,DeAndre Washington,143,5.31875,RB,3.556612976464443,0,0,56.0,1
2016,Paul Perkins,149,3.075,RB,4.755244280336553,0,0,57.0,1
2016,Jordan Howard,150,13.431250000000002,RB,4.604979650390341,1,0,10.0,1
2016,Wendell Smallwood,153,5.378125,RB,4.087770754546858,0,0,42.0,1
2016,Jonathan Williams,156,0.4218749999999999,RB,3.183305228926776,0,0,117.0,1
2016,Alex Collins,171,8.737499999999999,RB,3.1362454362054986,0,0,21.0,1
2016,Andy Janovich,176,1.3875,RB,1.0553010382522414,0,0,91.0,1
2016,Keenan Reynolds,182,0.0,RB,1.2491060827802207,0,0,,1
2016,Dan Vitale,197,0.3625,RB,1.1840514103377584,0,0,132.0,1
2016,Derek Watt,198,0.6437499999999999,RB,0.1671087681924778,0,0,116.0,1
2016,Kelvin Taylor,211,0.0,RB,1.8611390684747249,0,0,,1
2016,Darius Jackson,216,0.05,RB,1.989827299383925,0,0,143.0,1
2016,Dwayne Washington,236,2.0031250000000003,RB,0.9215312794440624,0,0,74.0,1
2016,Daniel Lasco,237,0.196875,RB,0.5770942301385333,0,0,134.0,1
2016,Keith Marshall,242,0.0,RB,1.1619242680082638,0,0,,1
2016,Zac Brooks,247,0.0,RB,1.0053492113441471,0,0,,1
2017,Leonard Fournette,4,15.3,RB,14.266220636692289,1,0,7.0,1
2017,Christian McCaffrey,8,26.771875,RB,13.14378403196567,1,1,1.0,1
2017,Dalvin Cook,41,13.887500000000005,RB,9.760927876365871,1,1,6.0,1
2017,Joe Mixon,48,14.65,RB,9.238830165492208,1,0,10.0,1
2017,Alvin Kamara,67,21.08125,RB,7.709199774041477,1,1,3.0,1
2017,Kareem Hunt,86,16.41875,RB,7.24440634416539,1,1,4.0,1
2017,D'Onta Foreman,89,2.115625,RB,6.354158681754511,0,0,75.0,1
2017,James Conner,105,13.296875,RB,7.11878490278328,1,1,6.0,1
2017,Samaje Perine,114,3.6,RB,4.808552488004628,0,0,43.0,1
2017,Tarik Cohen,119,12.4325,RB,5.39517631578819,1,0,11.0,1
2017,Joe Williams,121,0.0,RB,4.539142201363833,0,0,,1
2017,Donnel Pumphrey,132,0.0,RB,4.066852099644034,0,0,,1
2017,Jamaal Williams,134,9.034375,RB,4.504910214864543,0,0,32.0,1
2017,Wayne Gallman,140,4.784375000000001,RB,4.182403502108411,0,0,46.0,1
2017,Marlon Mack,143,11.23125,RB,4.774104532965915,0,0,21.0,1
2017,Brian Hill,156,2.5874999999999995,RB,4.06981299598515,0,0,64.0,1
2017,Jeremy McNichols,162,0.0125,RB,5.203316461015882,0,0,152.0,1
2017,T.J. Logan,179,0.475,RB,3.790256881263104,0,0,112.0,1
2017,Aaron Jones,182,15.193749999999998,RB,3.721577592516112,1,1,2.0,1
2017,Elijah McGuire,188,5.128125000000001,RB,2.3345760922641667,0,0,60.0,1
2017,Alex Armah,192,0.7718749999999999,RB,2.888722421958607,0,0,104.0,1
2017,De'Angelo Henderson,203,0.403125,RB,2.573012668865798,0,0,117.0,1
2017,Sam Rogers,206,0.0,RB,1.1566084051461196,0,0,,1
2017,Brandon Wilson,207,0.1875,RB,0.6919685674989262,0,0,,1
2017,Devante Mays,238,0.034375,RB,-0.0782701011810915,0,0,152.0,1
2017,Marquez Williams,240,0.0,RB,0.5993012977212298,0,0,157.0,1
2017,Khalfani Muhammad,241,0.0,RB,1.659806380717345,0,0,,1
2017,Elijah Hood,242,0.0,RB,1.3975338390573837,0,0,,1
2017,Chris Carson,249,13.562499999999998,RB,1.8800014706980552,1,0,12.0,1
2017,Matthew Dayes,252,0.25625,RB,2.2716170269211,0,0,131.0,1
2018,Saquon Barkley,2,19.684375,RB,14.63031656827745,1,1,1.0,1
2018,Rashaad Penny,27,4.553125,RB,12.37880419319302,0,0,58.0,1
2018,Sony Michel,31,9.115625,RB,8.851863775956964,0,0,31.0,1
2018,Nick Chubb,35,14.465625,RB,8.487616475537678,1,0,8.0,1
2018,Ronald Jones II,38,11.01875,RB,8.631700154056729,0,0,20.0,1
2018,Kerryon Johnson,43,7.0125,RB,8.338544829821059,0,0,34.0,1
2018,Derrius Guice,59,1.7937500000000002,RB,9.283894250655564,0,0,69.0,1
2018,Royce Freeman,71,7.609374999999999,RB,8.221470567215592,0,0,36.0,1
2018,Nyheim Hines,104,11.065625,RB,4.5002072210567805,0,0,15.0,1
2018,Mark Walton,112,1.7031250000000002,RB,5.191880170281099,0,0,80.0,1
