season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2023,QB,1,1,4,Anthony Richardson,,,,16.565322806629435,98.29545454545455,,6.94235294117647,,,
2023,QB,2,3,8,C.J. Stroud,,,,15.948952835543665,97.1590909090909,,14.599999999999998,,,
2023,QB,3,4,12,Bryce Young,,,,15.887818340371188,96.02272727272727,,12.148823529411766,,,
2023,QB,4,6,26,Will Levis,,,,11.430089599371223,84.0909090909091,,6.528235294117646,,,
2023,QB,5,8,43,Hendon Hooker,,,,5.465732215754702,71.5909090909091,,0.0788235294117647,,,
2023,RB,1,2,3,Bijan Robinson,,,,14.165526669413053,99.46380697050938,,20.95588235294117,,,
2023,RB,2,3,5,Jahmyr Gibbs,,,,12.7112865553686,98.12332439678283,,21.46470588235294,,,
2023,RB,3,5,21,Zach Charbonnet,,,,8.886170077439033,87.93565683646113,,10.83235294117647,,,
2023,RB,4,6,27,Devon Achane,,,,8.201516274430496,83.91420911528151,,18.314705882352943,,,
2023,RB,5,7,29,Tank Bigsby,,,,7.659102548314932,81.23324396782841,,5.376470588235294,,,
2023,RB,6,8,33,Tyjae Spears,,,,7.448076824459596,79.89276139410187,,7.86470588235294,,,
2023,RB,7,9,39,Kendre Miller,,,,6.782207011235595,73.45844504021449,,2.252941176470588,,,
2023,TE,1,1,2,Dalton Kincaid,,,,8.979800113502854,99.56896551724138,,8.129411764705882,,,
2023,TE,2,2,10,Michael Mayer,,,,8.441851371520048,96.55172413793103,,4.270588235294118,,,
2023,TE,3,4,13,Sam LaPorta,,,,7.822817433644204,94.82758620689656,,12.173529411764706,,,
2023,TE,4,5,16,Luke Musgrave,,,,7.499902827137261,92.24137931034483,,3.6588235294117646,,,
2023,TE,5,8,38,Tucker Kraft,,,,4.538407277540969,75.0,,8.25,,,
2023,TE,6,9,41,Luke Schoonmaker,,,,4.342133302329091,71.98275862068965,,2.4794117647058824,,,
2023,TE,7,10,44,Cameron Latu,,,,4.312117937749399,71.55172413793103,,0.0,,,
2023,TE,8,12,46,Brenton Strange,,,,4.251381938034541,69.82758620689656,,6.15,,,
2023,TE,9,21,76,Darnell Washington,,,,2.7866233192997463,48.706896551724135,,3.4823529411764707,,,
