position,model,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,v42,True,1086,4.019001765444786,5.288932166559678,0.25563787987280456,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,offset_h18_p64,False,1086,4.055172811842711,5.28001690877254,0.25454948801175625,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,offset_h18_p256,False,1086,4.045558026511772,5.280357650754745,0.2548140126648156,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,offset_h54_p64,False,1086,4.056518660799816,5.2796164605775875,0.2547740948565379,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,offset_h54_p256,False,1086,4.048747124190423,5.279763644346816,0.25491222339228503,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,group_team_h18_p16,False,1086,4.0555719803246175,5.303387356081694,0.24939743628332747,0.23914682312437094,9.0,8.425925925925927,8.644444444444446
DST,group_team_h18_p64,False,1086,4.027620990261006,5.287714021848535,0.25550041342288754,0.24911269245434628,7.888888888888889,8.805555555555555,8.572222222222225
DST,group_team_h54_p16,False,1086,4.065234588753829,5.307130466733421,0.24853080545254774,0.2326483657010693,9.083333333333334,8.87962962962963,8.433333333333335
DST,group_team_h54_p64,False,1086,4.032533702488457,5.287670357122812,0.2554335962315251,0.24503964859814026,8.277777777777779,8.324074074074074,8.483333333333334
DST,group_opponent_team_h18_p16,False,1086,4.058458941443644,5.300102503645307,0.2524336806238751,0.24759784238585608,8.75,8.296296296296298,8.53888888888889
DST,group_opponent_team_h18_p64,False,1086,4.029855803492851,5.286497794917747,0.25664347075825633,0.2528527410500593,9.027777777777779,8.648148148148149,8.605555555555558
DST,group_opponent_team_h54_p16,False,1086,4.069707189648307,5.306008470164433,0.24957778952245768,0.2456231143601833,7.833333333333333,8.185185185185185,8.466666666666667
DST,group_opponent_team_h54_p64,False,1086,4.034930454523489,5.288175421341809,0.2555591797115369,0.25253410947586735,8.777777777777779,8.416666666666668,8.605555555555556
DST,ridge_slope_h18_a100,False,1086,4.048203343108655,5.281623742138157,0.2512818124675204,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,ridge_slope_h18_a1000,False,1086,4.02978371306364,5.283600187398558,0.25383711588301794,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,ridge_slope_h54_a100,False,1086,4.047444518353057,5.280087249166054,0.25222606232274764,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,ridge_slope_h54_a1000,False,1086,4.031704869115404,5.282283425774983,0.2536823030536836,0.2512343652864474,8.027777777777779,8.50925925925926,8.43888888888889
DST,ridge_market_h18_a100,False,1086,4.045336126727134,5.2897772310482285,0.24702084444392103,0.2524790479394855,7.944444444444445,8.398148148148149,8.455555555555557
DST,ridge_market_h18_a1000,False,1086,4.028020612927785,5.2865426650088,0.2525629228096782,0.25213855318288325,8.027777777777779,8.546296296296298,8.700000000000001
DST,ridge_market_h54_a100,False,1086,4.040534042959466,5.287433439909124,0.24889132866146843,0.2530284483539626,7.722222222222222,8.462962962962962,8.48888888888889
DST,ridge_market_h54_a1000,False,1086,4.027837445161746,5.285329166668083,0.25281548917774843,0.25142997704203063,8.305555555555555,8.537037037037038,8.611111111111112
DST,ridge_qb_h18_a100,False,1086,4.0734223045583775,5.301431551597598,0.24212622688621013,0.23921829567070269,8.777777777777779,8.26851851851852,8.28888888888889
DST,ridge_qb_h18_a1000,False,1086,4.035317313668037,5.288879958781116,0.25170545532747707,0.2545464425768316,7.888888888888889,8.537037037037038,8.500000000000002
DST,ridge_qb_h54_a100,False,1086,4.063232532599531,5.296920903861766,0.24501942247592845,0.24347312056858167,8.63888888888889,8.62962962962963,8.416666666666668
DST,ridge_qb_h54_a1000,False,1086,4.035182639975579,5.286838308261921,0.2525709209584931,0.2569787517300964,7.888888888888889,8.712962962962964,8.511111111111113
DST,ridge_compact_h18_a100,False,1086,4.056564111522586,5.302994540491127,0.23951678343027924,0.2493705730547,8.222222222222221,8.527777777777779,8.066666666666666
DST,ridge_compact_h18_a1000,False,1086,4.031793686981565,5.287824501510825,0.2516193607908721,0.25495780485577924,8.305555555555555,8.324074074074074,8.444444444444445
DST,ridge_compact_h54_a100,False,1086,4.049694805493896,5.300887978971978,0.24079237338355536,0.25427717189118,8.444444444444445,8.25925925925926,8.177777777777779
DST,ridge_compact_h54_a1000,False,1086,4.032156098112533,5.287525524235578,0.2512954993909756,0.2534720154336024,8.083333333333334,8.370370370370372,8.377777777777778
DST,ridge_combined_h18_a100,False,1086,4.087536291077218,5.31363610854818,0.23649896998729478,0.2389062468732376,8.833333333333334,8.814814814814817,8.427777777777777
DST,ridge_combined_h18_a1000,False,1086,4.039741334519785,5.289393227447733,0.25131910377448446,0.2581986654030579,7.833333333333333,8.50925925925926,8.372222222222224
DST,ridge_combined_h54_a100,False,1086,4.0768962005176315,5.309533134651191,0.23855881769655277,0.24332939322812097,8.444444444444445,8.796296296296298,8.422222222222224
DST,ridge_combined_h54_a1000,False,1086,4.040058224407117,5.2877467120908275,0.2519140030197895,0.25852010844423595,7.805555555555555,8.435185185185187,8.466666666666669
