position,period,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,2024,v42,544,3.9946764087178757,5.039579028969653,0.36249049441220027,0.35431470831745354,11.055555555555555,9.5,9.644444444444444
DST,2024,candidate,544,3.9960095136686276,5.042115081635183,0.3629185933093496,0.35431470831745354,11.055555555555555,9.5,9.644444444444444
DST,2025,v42,544,4.110143520849162,5.245540274486902,0.31065555672145473,0.31528706129725204,10.166666666666666,9.388888888888891,8.433333333333334
DST,2025,candidate,544,4.1106172953370415,5.245761458826545,0.31018290564508316,0.31528706129725204,10.166666666666666,9.388888888888891,8.433333333333334
DST,2024-2025,v42,1088,4.052409964783519,5.143590650532701,0.33338536521749773,0.33480088480735287,10.61111111111111,9.444444444444445,9.038888888888888
DST,2024-2025,candidate,1088,4.053313404502834,5.144945955953423,0.3324111136572123,0.33480088480735287,10.61111111111111,9.444444444444445,9.038888888888888
K,2024,v42,543,3.6760760761676647,4.697695643405695,0.17992395194040858,0.2166450729788519,10.055555555555555,9.0,9.266666666666667
K,2024,candidate,543,3.6760760761676647,4.697695643405695,0.17992395194040858,0.2166450729788519,10.055555555555555,9.0,9.266666666666667
K,2025,v42,543,3.6554882678786806,4.563702118948418,0.2542775899294807,0.21973445334741729,11.666666666666666,11.444444444444445,10.488888888888887
K,2025,candidate,543,3.6554882678786806,4.563702118948418,0.2542775899294807,0.21973445334741729,11.666666666666666,11.444444444444445,10.488888888888887
K,2024-2025,v42,1086,3.665782172023173,4.631183509026992,0.21793327267089055,0.2181897631631346,10.86111111111111,10.222222222222221,9.877777777777775
K,2024-2025,candidate,1086,3.665782172023173,4.631183509026992,0.21793327267089055,0.2181897631631346,10.86111111111111,10.222222222222221,9.877777777777775
