position,confidence_group,n,mae,median_abs_error,q80_abs_error,q90_abs_error,mean_signed_error
QB,All,176,3.3874084663231527,1.9576237181334988,5.621026874206791,8.348677769270214,0.47449214210413654
QB,High,66,2.967564966053833,1.6092170031612838,6.146207716188922,7.902611616566234,0.2178618867838549
QB,Medium,74,3.656281740258419,2.2823840809244036,5.342174519202526,9.02473096883127,1.0700819599197282
QB,Low,36,3.6044375981721917,2.269213940085681,5.926297110554012,8.8441775160311,-0.27928701531850836
QB,OOD,36,3.6044375981721917,2.269213940085681,5.926297110554012,8.8441775160311,-0.27928701531850836
RB,All,373,3.1576925135916296,2.23123131424774,4.995599214403529,7.427449258203135,0.4929090200348533
RB,High,136,3.254186701375432,2.3075935021714695,5.436282816325221,7.2554833439118545,0.5340390672661116
RB,Medium,167,3.25952765206833,2.4009018109132088,5.063862379468601,7.403037190468779,0.5369749010574948
RB,Low,70,2.7272685469601172,1.9298116425179757,3.6152141884056044,7.104804152766487,0.3078706121172498
RB,OOD,68,2.7403561635547224,1.9298116425179757,3.522146955178247,7.239765089875843,0.2497994659223588
WR,All,525,3.045505659486633,2.380373480017006,5.061593546768709,6.527974019457784,0.08942618071869601
WR,High,183,2.860199981699303,2.342673446003401,4.6179720354043114,6.347727769057631,0.051785052293652885
WR,Medium,236,3.214077244274491,2.5072404464285714,5.373022099589839,6.767021191539115,0.02603631323682265
WR,Low,106,2.9901098578370746,2.25891040507112,4.806442276077096,6.329172306964454,0.2955425507894976
WR,OOD,106,2.9901098578370746,2.25891040507112,4.806442276077096,6.329172306964454,0.2955425507894976
TE,All,232,2.014374742919335,1.3733292386096327,3.413227270673772,4.3468525740833925,-0.022852261457289455
TE,High,80,1.7141048464364619,1.2426847476531409,2.9716041127245756,3.909530701226353,-0.2810096027366299
TE,Medium,103,2.0665963105047274,1.382230280528877,3.16671475740133,4.564226294158338,0.17288540563663063
TE,Low,49,2.394839442048607,1.706845500997019,3.6515017981403513,4.614685475167692,-0.01281945346395333
TE,OOD,49,2.394839442048607,1.706845500997019,3.6515017981403513,4.614685475167692,-0.01281945346395333
