position,rank,pfr_name,prospect_model_percentile,historical_hit_rate,historical_star_rate,hit_probability,nearest5_historical_hit_rate,nearest5_historical_star_rate,model_confidence,out_of_distribution_flag,hit_signal_disagreement_pp,hit_signal_disagreement_percentile_2026,diagnostic_priority,diagnostic_notes,uncertainty_policy,stage5c_pred80_low,stage5c_pred80_high,stage5c_pred90_low,stage5c_pred90_high,closest_historical_comps,diagnosis_summary
RB,3,Kaelon Black,71.84986595174263,0.1466666666666666,0.1066666666666666,0.1336853,0.0,0.0,High,0,9.777777777777775,69.23076923076923,Medium,signals broadly consistent,original-position-band,1.7692362315597148,11.049584603824725,0.09391750317611525,12.724903332208324,Aaron Brown (2009); Damien Harris (2019); La'Mical Perine (2020); Johnny White (2011); Keaontay Ingram (2022),Above average RB prospect (71.8th pct); 15% historical bucket hit; 13% classifier hit; High confidence; 80% range 1.8-11.0 PPG.
RB,4,Eli Heidenreich,59.78552278820375,0.0945945945945946,0.0405405405405405,0.13900888,0.4,0.4,Low,1,20.36036036036036,92.3076923076923,High,out-of-distribution profile; low model familiarity; five comps materially above bucket hit rate,original-position-band,0.12628790061195438,9.406636272876964,0.0,11.081955001260564,Peyton Hillis (2008); Garrett Mills (2006); Tony Pollard (2019); Rachaad White (2022); Elijah McGuire (2017),Average RB prospect (59.8th pct); 9% historical bucket hit; 14% classifier hit; Low confidence; 80% range 0.1-9.4 PPG.
RB,5,Mike Washington Jr.,57.37265415549599,0.0945945945945946,0.0405405405405405,0.028827263,0.0,0.0,Medium,0,6.306306306306307,53.84615384615385,Medium,signals broadly consistent,original-position-band,0.0,9.17316609342736,0.0,10.84848482181096,Pierre Strong (2022); Cedric Peerman (2009); Kalen Ballage (2018); Keaontay Ingram (2022); Montario Hardesty (2010),Average RB prospect (57.4th pct); 9% historical bucket hit; 3% classifier hit; Medium confidence; 80% range 0.0-9.2 PPG.
RB,6,Jonah Coleman,51.7426273458445,0.0945945945945946,0.0405405405405405,0.10332628,0.0,0.0,High,0,6.8884186666666665,61.53846153846154,Medium,signals broadly consistent,original-position-band,0.0,8.754380559604172,0.0,10.429699287987772,Kenneth Dixon (2016); Zac Stacy (2013); Zack Moss (2020); Kyle Juszczyk (2013); Javarris Williams (2009),Average RB prospect (51.7th pct); 9% historical bucket hit; 10% classifier hit; High confidence; 80% range 0.0-8.8 PPG.
RB,7,Emmett Johnson,40.48257372654155,0.0945945945945946,0.0405405405405405,0.04804986,0.2,0.0,High,0,10.130009333333334,76.92307692307693,Medium,signals broadly consistent,original-position-band,0.0,8.071735279623521,0.0,9.747054008007122,Jay Ajayi (2015); Kerwynn Williams (2013); Trayveon Williams (2019); Tyler Badie (2022); Javorius Allen (2015),Average RB prospect (40.5th pct); 9% historical bucket hit; 5% classifier hit; High confidence; 80% range 0.0-8.1 PPG.
RB,8,Demond Claiborne,36.193029490616624,0.0266666666666666,0.0,0.036804777,0.0,0.0,High,0,2.4536518,7.6923076923076925,Low,signals broadly consistent,original-position-band,0.0,7.63575147237985,0.0,9.31107020076345,Cyrus Gray (2012); Joe McKnight (2010); Kenneth Gainwell (2021); Taiwan Jones (2011); Paul Perkins (2016),Below average RB prospect (36.2th pct); 3% historical bucket hit; 4% classifier hit; High confidence; 80% range 0.0-7.6 PPG.
RB,9,Adam Randall,34.852546916890084,0.0266666666666666,0.0,0.041186508,0.0,0.0,Low,1,2.7457672,38.46153846153847,High,out-of-distribution profile; low model familiarity,original-position-band,0.0,7.574064533897549,0.0,9.24938326228115,C.J. Prosise (2016); Tevin Coleman (2015); Jordan Wilkins (2018); Wendell Smallwood (2016); Joe McKnight (2010),Below average RB prospect (34.9th pct); 3% historical bucket hit; 4% classifier hit; Low confidence; 80% range 0.0-7.6 PPG.
RB,10,Nicholas Singleton,32.975871313672926,0.0266666666666666,0.0,0.038926564,0.0,0.0,High,0,2.595104266666666,15.384615384615385,Low,signals broadly consistent,original-position-band,0.0,7.433500928768455,0.0,9.108819657152054,Aaron Brown (2009); James White (2014); La'Mical Perine (2020); Tim Hightower (2008); Keaontay Ingram (2022),Below average RB prospect (33.0th pct); 3% historical bucket hit; 4% classifier hit; High confidence; 80% range 0.0-7.4 PPG.
RB,11,Kaytron Allen,19.571045576407503,0.0405405405405405,0.0135135135135135,0.022278432,0.0,0.0,High,0,2.7027027027027,26.923076923076923,Low,signals broadly consistent,original-position-band,0.0,6.504000863529798,0.0,8.179319591913398,Deji Karim (2010); Alex Armah (2017); Trenton Cannon (2018); Ryan D'Imperio (2010); De'Angelo Henderson (2017),Below average RB prospect (19.6th pct); 4% historical bucket hit; 2% classifier hit; High confidence; 80% range 0.0-6.5 PPG.
RB,12,Seth McGowan,16.890080428954423,0.0405405405405405,0.0135135135135135,0.0613902,0.0,0.0,Medium,0,4.09268,46.15384615384615,Low,signals broadly consistent,original-position-band,0.0,6.280950137076834,0.0,7.956268865460434,Elijah McGuire (2017); Charles Sims (2014); Keaontay Ingram (2022); Kylin Hill (2021); Chris Evans (2021),Below average RB prospect (16.9th pct); 4% historical bucket hit; 6% classifier hit; Medium confidence; 80% range 0.0-6.3 PPG.
RB,13,Jam Miller,4.557640750670242,0.0405405405405405,0.0135135135135135,0.022546219,0.0,0.0,High,0,2.7027027027027,26.923076923076923,Low,signals broadly consistent,original-position-band,0.0,5.207784838784965,0.0,6.883103567168565,Khalfani Muhammad (2017); Gerrid Doaks (2021); T.J. Logan (2017); Bilal Powell (2011); Spencer Ware (2013),Below average RB prospect (4.6th pct); 4% historical bucket hit; 2% classifier hit; High confidence; 80% range 0.0-5.2 PPG.
TE,1,Kenyon Sadiq,96.1206896551724,0.5833333333333334,0.1666666666666666,0.366309,0.4,0.2,Medium,0,14.468288888888893,90.9090909090909,High,classifier materially below bucket hit rate,original-position-band,5.351154676549755,11.106522600528905,3.6688552141099997,12.78882206296866,O.J. Howard (2017); Travis Kelce (2013); Cameron Latu (2023); Evan Engram (2017); Fred Davis (2008),Elite TE prospect (96.1th pct); 58% historical bucket hit; 37% classifier hit; Medium confidence; 80% range 5.4-11.1 PPG.
TE,2,Eli Stowers,86.63793103448276,0.2608695652173913,0.1739130434782608,0.37128735,0.2,0.0,Low,1,11.419156666666668,81.81818181818183,High,out-of-distribution profile; low model familiarity,original-position-band,3.4365006118638597,9.191868535843009,1.7542011494241043,10.874167998282765,Charlie Kolar (2022); Hunter Henry (2016); Jake Butt (2017); Mike Gesicki (2018); Greg Dulcich (2022),Strong TE prospect (86.6th pct); 26% historical bucket hit; 37% classifier hit; Low confidence; 80% range 3.4-9.2 PPG.
TE,3,Max Klare,82.75862068965517,0.2608695652173913,0.1739130434782608,0.31992635,0.4,0.0,Medium,0,9.275362318840582,50.0,Medium,signals broadly consistent,original-position-band,2.5890472734113468,8.344415197390497,0.9067478109715914,10.026714659830251,Hunter Henry (2016); Tucker Kraft (2023); Dallas Goedert (2018); Scott Chandler (2007); Adam Trautman (2020),Strong TE prospect (82.8th pct); 26% historical bucket hit; 32% classifier hit; Medium confidence; 80% range 2.6-8.3 PPG.
TE,4,Marlin Klein,71.12068965517241,0.1956521739130435,0.0652173913043478,0.2158792,0.2,0.0,Medium,0,1.3484684057971006,4.545454545454546,Low,signals broadly consistent,original-position-band,1.4175578297107867,7.172925753689936,0.0,8.855225216129691,Dalton Schultz (2018); Drew Sample (2019); Charlie Woerner (2020); Brad Smelley (2012); Tommy Tremble (2021),Above average TE prospect (71.1th pct); 20% historical bucket hit; 22% classifier hit; Medium confidence; 80% range 1.4-7.2 PPG.
TE,5,Tanner Koziol,68.53448275862068,0.1956521739130435,0.0652173913043478,0.095438324,0.0,0.0,Medium,0,13.043478260869565,86.36363636363636,High,signals broadly consistent,original-position-band,1.2397182213423825,6.995086145321531,0.0,8.677385607761288,Jonnu Smith (2017); Michael Mayer (2023); Shawn Nelson (2009); Bucky Hodges (2017); Harrison Bryant (2020),Above average TE prospect (68.5th pct); 20% historical bucket hit; 10% classifier hit; Medium confidence; 80% range 1.2-7.0 PPG.
TE,6,Sam Roush,68.10344827586206,0.1956521739130435,0.0652173913043478,0.41642585,0.4,0.0,High,0,14.718245072463768,100.0,High,classifier materially above bucket hit rate,original-position-band,1.1672114836805365,6.922579407659685,0.0,8.60487887009944,Josh Oliver (2019); Tucker Kraft (2023); Dallas Goedert (2018); Adam Shaheen (2017); Adam Trautman (2020),Above average TE prospect (68.1th pct); 20% historical bucket hit; 42% classifier hit; High confidence; 80% range 1.2-6.9 PPG.
TE,7,Eli Raridon,67.67241379310344,0.1956521739130435,0.0652173913043478,0.16023512,0.2,0.0,Medium,0,2.6509920000000005,18.181818181818183,Low,signals broadly consistent,original-position-band,1.140762830925727,6.896130754904876,0.0,8.578430217344632,Dalton Schultz (2018); Darnell Washington (2023); O.J. Howard (2017); Tommy Tremble (2021); Cameron Latu (2023),Above average TE prospect (67.7th pct); 20% historical bucket hit; 16% classifier hit; Medium confidence; 80% range 1.1-6.9 PPG.
TE,8,Nate Boerkircher,62.06896551724138,0.1956521739130435,0.0652173913043478,0.21983121,0.0,0.0,High,0,14.655414,95.45454545454545,High,signals broadly consistent,original-position-band,0.7407787018294494,6.496146625808598,0.0,8.178446088248354,Brad Smelley (2012); Drew Sample (2019); Mickey Shuler (2010); Michael Williams (2013); Ben Koyack (2015),Above average TE prospect (62.1th pct); 20% historical bucket hit; 22% classifier hit; High confidence; 80% range 0.7-6.5 PPG.
TE,9,Oscar Delp,57.32758620689656,0.1489361702127659,0.0425531914893617,0.13753626,0.0,0.0,High,0,9.929078014184393,65.9090909090909,Medium,signals broadly consistent,original-position-band,0.5186101182788958,6.273978042258045,0.0,7.9562775046978,Drew Sample (2019); Randall Telfer (2015); Ben Koyack (2015); O.J. Howard (2017); Nick Vannett (2016),Average TE prospect (57.3th pct); 15% historical bucket hit; 14% classifier hit; High confidence; 80% range 0.5-6.3 PPG.
TE,10,Matthew Hibner,56.03448275862068,0.1489361702127659,0.0425531914893617,0.062425792,0.0,0.0,Medium,0,9.929078014184393,65.9090909090909,Medium,signals broadly consistent,original-position-band,0.42810106676434856,6.183468990743497,0.0,7.865768453183253,Chigoziem Okonkwo (2022); Clay Harbor (2010); Christopher Herndon IV (2018); Seth Devalve (2016); Eric Saubert (2017),Average TE prospect (56.0th pct); 15% historical bucket hit; 6% classifier hit; Medium confidence; 80% range 0.4-6.2 PPG.
TE,11,Justin Joly,50.43103448275862,0.1489361702127659,0.0425531914893617,0.074612975,0.0,0.0,High,0,9.929078014184393,65.9090909090909,Medium,signals broadly consistent,original-position-band,0.18293989998091176,5.938307823960061,0.0,7.6206072863998155,Chigoziem Okonkwo (2022); Rory 'Busta' Anderson (2015); Aliz̩ Mack (2019); Seth Devalve (2016); Temarrick Hemingway (2016),Average TE prospect (50.4th pct); 15% historical bucket hit; 7% classifier hit; High confidence; 80% range 0.2-5.9 PPG.
TE,12,Will Kacmarek,50.0,0.1489361702127659,0.0425531914893617,0.0733389,0.0,0.0,High,0,9.929078014184393,65.9090909090909,Medium,signals broadly consistent,original-position-band,0.09222991250194568,5.8475978364810945,0.0,7.52989729892085,Mickey Shuler (2010); Darnell Washington (2023); Drew Sample (2019); Randall Telfer (2015); Michael Williams (2013),Average TE prospect (50.0th pct); 15% historical bucket hit; 7% classifier hit; High confidence; 80% range 0.1-5.8 PPG.
TE,13,Seydou Traore,45.25862068965517,0.1489361702127659,0.0425531914893617,0.060513556,0.0,0.0,Medium,0,9.929078014184393,65.9090909090909,Medium,signals broadly consistent,original-position-band,0.0,5.522626546831786,0.0,7.204926009271541,Josiah Deguara (2020); James O'Shaughnessy (2015); Seth Devalve (2016); Matt Sherry (2008); Eric Saubert (2017),Average TE prospect (45.3th pct); 15% historical bucket hit; 6% classifier hit; Medium confidence; 80% range 0.0-5.5 PPG.
TE,14,Bauer Sharp,41.37931034482759,0.1489361702127659,0.0425531914893617,0.08662432,0.0,0.0,Medium,0,9.929078014184393,65.9090909090909,Medium,signals broadly consistent,original-position-band,0.0,5.432900389596164,0.0,7.11519985203592,Tim Massaquoi (2006); Tom Santi (2008); Tommy Sweeney (2019); Noah Gray (2021); Anthony Hill (2009),Average TE prospect (41.4th pct); 15% historical bucket hit; 9% classifier hit; Medium confidence; 80% range 0.0-5.4 PPG.
TE,15,Josh Cuevas,33.62068965517241,0.0652173913043478,0.0434782608695652,0.03382579,0.0,0.0,Medium,0,4.34782608695652,29.545454545454547,Low,signals broadly consistent,original-position-band,0.0,4.9840966353765275,0.0,6.666396097816283,Chris Gragg (2013); Luke Schoonmaker (2023); Jerell Adams (2016); Ben Koyack (2015); Randall Telfer (2015),Below average TE prospect (33.6th pct); 7% historical bucket hit; 3% classifier hit; Medium confidence; 80% range 0.0-5.0 PPG.
TE,16,Joe Royer,30.603448275862068,0.0652173913043478,0.0434782608695652,0.040831033,0.0,0.0,Medium,0,4.34782608695652,29.545454545454547,Low,signals broadly consistent,original-position-band,0.0,4.754873280059751,0.0,6.437172742499506,Grant Calcaterra (2022); Jeremy Ruckert (2022); Nick O'Leary (2015); O.J. Howard (2017); Ben Koyack (2015),Below average TE prospect (30.6th pct); 7% historical bucket hit; 4% classifier hit; Medium confidence; 80% range 0.0-4.8 PPG.
TE,17,Riley Nowakowski,27.58620689655172,0.0652173913043478,0.0434782608695652,0.030005852,0.0,0.0,Medium,0,4.34782608695652,29.545454545454547,Low,signals broadly consistent,original-position-band,0.0,4.585407291968711,0.0,6.267706754408467,Brad Smelley (2012); Stephen Sullivan (2020); Michael Williams (2013); Andrew Quarless (2010); Drew Sample (2019),Below average TE prospect (27.6th pct); 7% historical bucket hit; 3% classifier hit; Medium confidence; 80% range 0.0-4.6 PPG.
TE,18,Max Bredeson,21.551724137931032,0.0652173913043478,0.0434782608695652,0.023827892,0.0,0.0,High,0,4.34782608695652,29.545454545454547,Low,signals broadly consistent,original-position-band,0.0,4.290693699982966,0.0,5.972993162422721,Charlie Woerner (2020); Nick Vannett (2016); Brad Smelley (2012); Michael Williams (2013); Drew Sample (2019),Below average TE prospect (21.6th pct); 7% historical bucket hit; 2% classifier hit; High confidence; 80% range 0.0-4.3 PPG.
TE,19,Carsen Ryan,10.344827586206897,0.0,0.0,0.026075944,0.0,0.0,High,0,1.7383962666666666,9.090909090909092,Low,signals broadly consistent,original-position-band,0.0,3.542141312585407,0.0,5.224440775025162,Ben Koyack (2015); Matt Sherry (2008); John Nalbone (2009); James O'Shaughnessy (2015); Aliz̩ Mack (2019),Below average TE prospect (10.3th pct); 0% historical bucket hit; 3% classifier hit; High confidence; 80% range 0.0-3.5 PPG.
TE,20,Dallen Bentley,7.758620689655173,0.0,0.0,0.03828563,0.0,0.0,Medium,0,2.5523753333333334,13.636363636363635,Low,signals broadly consistent,original-position-band,0.0,3.412288265916856,0.0,5.094587728356611,Matt Sherry (2008); Aliz̩ Mack (2019); Eric Saubert (2017); John Nalbone (2009); James O'Shaughnessy (2015),Below average TE prospect (7.8th pct); 0% historical bucket hit; 4% classifier hit; Medium confidence; 80% range 0.0-3.4 PPG.
TE,21,Jaren Kanak,5.603448275862069,0.0,0.0,0.11505647,0.0,0.0,Low,1,7.670431333333333,45.45454545454545,High,out-of-distribution profile; low model familiarity,original-position-band,0.0,3.3551005906261686,0.0,5.037400053065924,Ryan Taylor (2011); A.J. Derby (2015); Chigoziem Okonkwo (2022); Aliz̩ Mack (2019); Rory 'Busta' Anderson (2015),Below average TE prospect (5.6th pct); 0% historical bucket hit; 12% classifier hit; Low confidence; 80% range 0.0-3.4 PPG.
TE,22,Jack Endries,1.293103448275862,0.0,0.0,0.07243216,0.0,0.0,High,0,4.828810666666667,40.909090909090914,Low,signals broadly consistent,original-position-band,0.0,3.2226344336135386,0.0,4.9049338960532936,Aliz̩ Mack (2019); Rory 'Busta' Anderson (2015); Eric Saubert (2017); Matt Sherry (2008); Chigoziem Okonkwo (2022),Below average TE prospect (1.3th pct); 0% historical bucket hit; 7% classifier hit; High confidence; 80% range 0.0-3.2 PPG.
WR,1,Carnell Tate,94.0952380952381,0.4615384615384615,0.3076923076923077,0.56791365,0.6,0.4,Medium,0,9.230769230769232,62.5,Medium,signals broadly consistent,original-position-band,4.884479586084439,15.907567817376954,3.5701456660164137,17.22190173744498,Odell Beckham (2014); Will Fuller (2016); Percy Harvin (2009); Marquise Brown (2019); Kadarius Toney (2021),Strong WR prospect (94.1th pct); 46% historical bucket hit; 57% classifier hit; Medium confidence; 80% range 4.9-15.9 PPG.
WR,2,Makai Lemon,93.33333333333331,0.4615384615384615,0.3076923076923077,0.579592,0.6,0.0,High,0,9.230769230769232,62.5,Medium,signals broadly consistent,original-position-band,4.753191299269708,15.77627953056222,3.438857379201682,17.090613450630247,Nelson Agholor (2015); Cody Latimer (2014); Brandon Aiyuk (2020); Michael Pittman Jr. (2020); John Ross (2017),Strong WR prospect (93.3th pct); 46% historical bucket hit; 58% classifier hit; High confidence; 80% range 4.8-15.8 PPG.
WR,3,KC Concepcion,91.8095238095238,0.4615384615384615,0.3076923076923077,0.6734994,0.2,0.2,Medium,0,31.566626666666664,100.0,High,classifier materially above bucket hit rate; five comps materially below bucket hit rate,original-position-band,4.405929877701092,15.429018108993606,3.091595957633066,16.743352029061633,Jalen Reagor (2020); Christian Kirk (2018); Donte Moncrief (2014); Calvin Ridley (2018); N'Keal Harry (2019),Strong WR prospect (91.8th pct); 46% historical bucket hit; 67% classifier hit; Medium confidence; 80% range 4.4-15.4 PPG.
WR,4,Denzel Boston,86.28571428571429,0.2692307692307692,0.173076923076923,0.40082595,0.4,0.0,Medium,0,8.773012051282052,55.55555555555556,Medium,signals broadly consistent,original-position-band,3.2313525812825086,14.254440812575023,1.9170186612144828,15.568774732643048,Michael Pittman Jr. (2020); Cody Latimer (2014); Chase Claypool (2020); Christian Watson (2022); Jeremy Ebert (2012),Strong WR prospect (86.3th pct); 27% historical bucket hit; 40% classifier hit; Medium confidence; 80% range 3.2-14.3 PPG.
WR,5,De'Zhaun Stribling,78.85714285714286,0.2285714285714285,0.1523809523809524,0.14852121,0.4,0.2,High,0,16.765252666666672,86.11111111111111,High,signals broadly consistent,original-position-band,2.043740713910564,13.066828945203078,0.7294067938425384,14.381162865271104,Andre Caldwell (2008); Michael Wilson (2023); Chris Conley (2015); Eddie Royal (2008); Christian Watson (2022),Above average WR prospect (78.9th pct); 23% historical bucket hit; 15% classifier hit; High confidence; 80% range 2.0-13.1 PPG.
WR,6,Jordyn Tyson,77.71428571428571,0.2285714285714285,0.1523809523809524,0.29179865,0.6,0.2,Medium,0,24.761904761904763,97.22222222222221,High,five comps materially above bucket hit rate,original-position-band,1.8396583943577491,12.862746625650264,0.5253244742897234,14.177080545718288,Chris Olave (2022); Jerry Jeudy (2020); Will Fuller (2016); Zay Flowers (2023); Jahan Dotson (2022),Above average WR prospect (77.7th pct); 23% historical bucket hit; 29% classifier hit; Medium confidence; 80% range 1.8-12.9 PPG.
WR,7,Omar Cooper Jr.,69.14285714285714,0.2285714285714285,0.1523809523809524,0.069868594,0.0,0.0,Medium,0,15.238095238095234,81.94444444444444,High,signals broadly consistent,original-position-band,0.4487236424569918,11.471811873749505,0.0,12.786145793817532,Keshawn Martin (2012); Quintez Cephus (2020); Joe Adams (2012); Joe Reed (2020); Kadarius Toney (2021),Above average WR prospect (69.1th pct); 23% historical bucket hit; 7% classifier hit; Medium confidence; 80% range 0.4-11.5 PPG.
WR,8,Germie Bernard,66.85714285714286,0.2285714285714285,0.1523809523809524,0.07231198,0.0,0.0,Medium,0,15.238095238095234,81.94444444444444,High,signals broadly consistent,original-position-band,0.14880879264205849,11.171897023934573,0.0,12.486230944002598,Keshawn Martin (2012); Joe Adams (2012); Early Doucet (2008); Joe Reed (2020); Travis Benjamin (2012),Above average WR prospect (66.9th pct); 23% historical bucket hit; 7% classifier hit; Medium confidence; 80% range 0.1-11.2 PPG.
WR,9,Elijah Sarratt,64.95238095238095,0.2285714285714285,0.1523809523809524,0.14666602,0.2,0.2,Low,1,5.460360571428566,33.33333333333333,High,out-of-distribution profile; low model familiarity,original-position-band,0.0,10.945765821328528,0.0,12.260099741396553,Josh Boyce (2013); Marquess Wilson (2013); Jalen Saunders (2014); Alshon Jeffery (2012); Tandon Doss (2011),Above average WR prospect (65.0th pct); 23% historical bucket hit; 15% classifier hit; Low confidence; 80% range 0.0-10.9 PPG.
