position,historical_rows,frozen_model_features,usable_similarity_features,historical_loo_mean_5nn_distance,historical_loo_p90_5nn_distance
QB,214,125,107,0.7049977090135542,1.0168943066624045
RB,417,113,77,0.6995728583703179,0.956938472134948
WR,586,371,131,0.6511637275797703,0.9145681924744209
TE,270,833,311,0.8023470976431057,1.073406975659418
