position,rank,pfr_name,prospect_model_percentile,outcome_percentile,prospect_percentile_reference_n,draft_team,draft_round,draft_pick,pred_best2of3_ppg,pred_peak3_ppg,pred_rookie_ppg,pred_avg3_ppg,pred_total3_ppr,pred80_low,pred80_high,pred90_low,pred90_high,hit_probability,college_match,fuzzy_match,scout_boost,percentile_bucket,historical_bucket_n,historical_hit_rate,historical_hit_rate_ci_low,historical_hit_rate_ci_high,historical_star_rate,historical_star_rate_ci_low,historical_star_rate_ci_high,historical_bucket_mean_primary_ppg,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n,stage5c_pred80_low,stage5c_pred80_high,stage5c_pred90_low,stage5c_pred90_high,uncertainty_scale80,uncertainty_scale90,uncertainty_adjustment_applied,uncertainty_policy,hit_signal_disagreement_pp,classifier_minus_bucket_hit_pp,comps_minus_bucket_hit_pp,classifier_minus_comps_hit_pp,grade_tier,hit_signal_disagreement_percentile_2026,diagnostic_priority,diagnostic_notes,diagnosis_summary
QB,1,Fernando Mendoza,97.72727272727272,90.18691588785047,176,LVR,1,1,16.07838786703899,17.676540350130104,12.03491382568584,13.548131378816148,661.9295136849136,10.207449525936074,21.94932620814191,7.780908988457382,24.3758667456206,0.48582318,1.0,0.0,1.1205299999117333,95-100,9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.3333333333333333,0.1205815986827429,0.6458026525009102,13.36438316993464,1.0,0.5776235537696945,69.62616822429906,78.73831775700934,High,0,0.6,0.2,15.677242647058824,Trevor Lawrence (2021); Zach Wilson (2021); Jared Goff (2016); Cam Newton (2011); Mitch Trubisky (2017),Trevor Lawrence (2021),Zach Wilson (2021),Jared Goff (2016),107,214,9.658919086532919,22.497856647545063,8.224239607125511,23.93253612695247,1.0934314767986661,0.9465704432448143,1,confidence-adjusted,7.611787999999997,-6.973237555555556,4.444444444444439,-11.417681999999996,Elite,40.0,Low,signals broadly consistent,Elite QB prospect (97.7th pct); 56% historical bucket hit; 49% classifier hit; High confidence; 80% range 9.7-22.5 PPG.
QB,2,Ty Simpson,89.20454545454545,83.64485981308411,176,LAR,1,13,13.029138068869283,14.706321503864118,7.578099168375301,10.526885914385703,515.0984763659812,7.158199727766367,18.9000764099722,4.731659190287674,21.32661694745089,0.43218362,1.0,0.0,-0.5703349192736467,80-90,18,0.3888888888888889,0.2030499192693116,0.6138133141934384,0.3333333333333333,0.1627855436366286,0.5625093065574964,13.720467728758171,1.0,0.8979964950423931,16.822429906542055,41.77570093457944,Medium,0,0.2,0.0,4.172139705882353,Jacob Eason (2020); Brock Osweiler (2012); Mark Sanchez (2009); Ryan Nassib (2013); Will Levis (2023),Jacob Eason (2020),Brock Osweiler (2012),Mark Sanchez (2009),107,214,7.44944988883812,18.608826248900446,4.059751937524496,21.99852420021407,0.950391207648582,1.080977277869014,1,confidence-adjusted,15.478907999999999,4.32947311111111,-18.88888888888889,23.218362,Strong,100.0,High,signals broadly consistent,Strong QB prospect (89.2th pct); 39% historical bucket hit; 43% classifier hit; Medium confidence; 80% range 7.4-18.6 PPG.
QB,3,Carson Beck,73.29545454545455,69.62616822429906,176,ARI,3,65,6.6289831078224655,7.849878354171141,4.750641239110542,5.663779979071659,266.8295534766596,0.7580447667195491,12.49992144892538,0.0,14.926461986404076,0.05893855,1.0,0.0,0.560031103215251,60-80,35,0.2285714285714285,0.120657367461791,0.39017637780102,0.0857142857142857,0.0295818310052969,0.2237959907116251,6.673099789915967,0.9813084112149532,0.9730695231039508,11.214953271028037,37.28971962616822,Medium,0,0.0,0.0,1.473,Ryan Finley (2019); Mason Rudolph (2018); Will Grier (2019); Jarrett Stidham (2019); Kevin Hogan (2016),Ryan Finley (2019),Mason Rudolph (2018),Will Grier (2019),107,214,1.0492949277913022,12.20867128785363,0.0,15.598369239167253,0.950391207648582,1.080977277869014,1,confidence-adjusted,15.238095238095234,-16.963287857142852,-22.85714285714285,5.893855,Above average,90.0,High,signals broadly consistent,Above average QB prospect (73.3th pct); 23% historical bucket hit; 6% classifier hit; Medium confidence; 80% range 1.0-12.2 PPG.
QB,4,Drew Allar,63.06818181818182,62.149532710280376,176,PIT,3,76,3.798320480793715,5.431105010442067,1.8356115042776309,2.8448344359668463,134.62652783268584,0.0,9.669258821896632,0.0,12.095799359375324,0.100314625,1.0,0.0,-1.5814536457282171,60-80,35,0.2285714285714285,0.120657367461791,0.39017637780102,0.0857142857142857,0.0295818310052969,0.2237959907116251,6.673099789915967,1.0,0.5474951730437262,77.57009345794393,84.29906542056074,High,0,0.0,0.0,4.042875,Jimmy Garoppolo (2014); Tarvaris Jackson (2006); Drew Lock (2019); Kyle Lauletta (2018); John Skelton (2010),Jimmy Garoppolo (2014),Tarvaris Jackson (2006),Drew Lock (2019),107,214,0.0,10.217789261299789,0.0,11.652468740707194,1.0934314767986661,0.9465704432448143,1,confidence-adjusted,15.238095238095232,-12.825680357142849,-22.85714285714285,10.0314625,Above average,80.0,High,signals broadly consistent,Above average QB prospect (63.1th pct); 23% historical bucket hit; 10% classifier hit; High confidence; 80% range 0.0-10.2 PPG.
QB,5,Cade Klubnik,54.54545454545454,57.943925233644855,176,NYJ,4,110,2.431670815460159,3.116183863742612,1.511316561239208,1.5780590799979768,81.31868469521403,0.0,8.302609156563076,0.0,10.729149694041768,0.12236779,1.0,0.0,-1.1513317268250476,40-60,35,0.1714285714285714,0.0810252994485671,0.3268260763958882,0.1142857142857142,0.0453510585448975,0.2595179478812023,3.807991596638656,1.0,0.5823144593633872,69.1588785046729,78.41121495327103,High,0,0.2,0.2,4.478213235294119,Kevin Hogan (2016); Brock Purdy (2022); Zac Robinson (2010); Kyle Lauletta (2018); John Skelton (2010),Kevin Hogan (2016),Brock Purdy (2022),Zac Robinson (2010),107,214,0.0,8.851139595966233,0.0,10.285819075373638,1.0934314767986661,0.9465704432448143,1,confidence-adjusted,5.175480666666667,-4.90607814285714,2.8571428571428608,-7.763221000000001,Average,20.0,Low,signals broadly consistent,Average QB prospect (54.5th pct); 17% historical bucket hit; 12% classifier hit; High confidence; 80% range 0.0-8.9 PPG.
QB,6,Garrett Nussmeier,49.43181818181818,56.54205607476636,176,KAN,7,249,2.1715243196379284,2.741687615576565,0.7015661461527619,1.4469723307133344,67.28637341449804,0.0,8.042462660740846,0.0,10.469003198219538,0.051333405,1.0,0.0,-2.119475924087126,40-60,35,0.1714285714285714,0.0810252994485671,0.3268260763958882,0.1142857142857142,0.0453510585448975,0.2595179478812023,3.807991596638656,1.0,0.7261564179187834,34.11214953271028,53.87850467289719,Medium,0,0.0,0.0,0.1573676470588235,Jake Fromm (2020); Brad Kaaya (2017); James Morgan (2020); Brad Sorensen (2013); Keith Null (2009),Jake Fromm (2020),Brad Kaaya (2017),James Morgan (2020),107,214,0.0,7.751212499669092,0.0,11.140910450982716,0.950391207648582,1.080977277869014,1,confidence-adjusted,11.428571428571427,-12.00951664285714,-17.14285714285714,5.1333405,Average,50.0,Medium,signals broadly consistent,Average QB prospect (49.4th pct); 17% historical bucket hit; 5% classifier hit; Medium confidence; 80% range 0.0-7.8 PPG.
QB,7,Taylen Green,39.77272727272727,55.60747663551402,176,CLE,6,182,1.8476005965705269,3.192197654764364,1.387394772220489,1.2791567662542458,59.747773757273805,0.0,7.7185389376734435,0.0,10.145079475152135,0.11004911,1.0,0.0,-3.3203944968420216,20-40,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,0.8866144957983193,1.0,1.3835457049043771,4.205607476635514,32.94392523364486,Low,1,0.0,0.0,2.285367647058824,Jeff Driskel (2016); Will Levis (2023); B.J. Daniels (2013); Malik Willis (2022); Matt Corral (2022),Jeff Driskel (2016),Will Levis (2023),B.J. Daniels (2013),107,214,0.0,8.03738152196928,0.0,10.637540532665245,1.0543086242387516,1.0593506852767418,1,confidence-adjusted,7.336607333333333,11.004911,0.0,11.004911,Below average,30.0,High,out-of-distribution profile; low model familiarity,Below average QB prospect (39.8th pct); 0% historical bucket hit; 11% classifier hit; Low confidence; 80% range 0.0-8.0 PPG.
QB,8,Athan Kaliakmanis,34.090909090909086,51.4018691588785,176,WAS,7,223,1.467641871581196,2.220073941684886,0.4163086962391016,0.939228731217288,49.49315769307185,0.0,7.338580212684112,0.0,9.765120750162804,0.06351283,1.0,0.0,-1.0476512405177312,20-40,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,0.8866144957983193,1.0,0.5865124613305468,69.1588785046729,78.41121495327103,High,0,0.2,0.0,2.627125,Danny Etling (2018); Tyler Thigpen (2007); Ryan Fitzpatrick (2005); Keith Null (2009); John Skelton (2010),Danny Etling (2018),Tyler Thigpen (2007),Ryan Fitzpatrick (2005),107,214,0.0,7.887110652087269,0.0,9.321790131494675,1.0934314767986661,0.9465704432448143,1,confidence-adjusted,13.333333333333334,6.3512830000000005,20.0,-13.648717,Below average,65.0,Medium,signals broadly consistent,Below average QB prospect (34.1th pct); 0% historical bucket hit; 6% classifier hit; High confidence; 80% range 0.0-7.9 PPG.
QB,9,Cole Payton,25.568181818181817,49.06542056074766,176,PHI,5,178,1.1618229532545394,2.0787697086054417,0.5050296769262488,0.7986404360457489,37.91160913453201,0.0,7.032761294357456,0.0,9.459301831836148,0.05005873,0.0,0.0,-0.5561570427679161,20-40,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,0.8866144957983193,0.0747663551401869,0.065638441476369,100.0,72.24299065420561,Low,1,0.2,0.0,1.4759999999999998,Easton Stick (2019); Ingle Martin (2006); Keith Null (2009); Kyle Lauletta (2018); Tyler Thigpen (2007),Easton Stick (2019),Ingle Martin (2006),Keith Null (2009),107,214,0.0,7.351603878653293,0.0,9.951762889349258,1.0543086242387516,1.0593506852767418,1,confidence-adjusted,13.333333333333334,5.005873,20.0,-14.994127000000002,Below average,65.0,High,out-of-distribution profile; low model familiarity,Below average QB prospect (25.6th pct); 0% historical bucket hit; 5% classifier hit; Low confidence; 80% range 0.0-7.4 PPG.
QB,10,Behren Morton,5.113636363636364,43.925233644859816,176,NWE,7,234,0.6617588760309832,0.9896094552413968,0.2401842712512745,0.4443414750173812,22.93976937682672,0.0,6.532697217133899,0.0,8.959237754612593,0.046436373,1.0,0.0,-0.9050613604798086,0-20,35,0.0,0.0,0.0989042675893886,0.0,0.0,0.0989042675893886,1.0597247899159667,1.0,0.6426066036730749,52.33644859813084,66.63551401869158,Medium,0,0.0,0.0,0.514625,James Morgan (2020); Curtis Painter (2009); Danny Etling (2018); Luke Falk (2018); Rusty Smith (2010),James Morgan (2020),Curtis Painter (2009),Danny Etling (2018),107,214,0.0,6.241447056062146,0.0,9.631145007375771,0.950391207648582,1.080977277869014,1,confidence-adjusted,3.0957582,4.6436373,0.0,4.6436373,Below average,10.0,Low,signals broadly consistent,Below average QB prospect (5.1th pct); 0% historical bucket hit; 5% classifier hit; Medium confidence; 80% range 0.0-6.2 PPG.
