position,historical_error_n,spearman_confidence_vs_abs_error,spearman_p_value,historical_overall_q80,historical_overall_q90,eligible_confidence_groups,q80_group_spread,q80_spread_material,adaptive_uncertainty_supported,stage3_base_q80,stage3_base_q90,confidence_tail_error_monotonic,adaptive_guard_reason,adaptive_uncertainty_supported_pre_tail_guard
QB,176,-0.18858683689192163,0.012190103025950933,5.621026874206791,8.348677769270214,3,0.8040331969863956,1,0,5.870938341102916,8.29747887858161,0,confidence tail errors are not monotonic High <= Medium <= Low,1
RB,373,0.08858053139254332,0.08756365183582421,4.995599214403529,7.427449258203135,3,1.8210686279196167,1,0,4.640174186132505,6.3154929145161045,0,confidence tail errors are not monotonic High <= Medium <= Low,0
WR,525,-0.027812299157029655,0.5248651393382705,5.061593546768709,6.527974019457784,3,0.7550500641855278,1,0,5.511544115646257,6.8258780357142825,0,confidence tail errors are not monotonic High <= Medium <= Low,0
TE,232,-0.05999454149520746,0.3629841391265765,3.413227270673772,4.3468525740833925,3,0.6798976854157757,1,0,2.8776839619895744,4.55998342442933,1,correlation/significance/material-spread rule not satisfied,0
