season,position,pfr_name,prospect_model_score,primary_ppg,signed_error,abs_error,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,similarity_feature_count
2005,QB,Alex Smith,,,,,0.719626168224299,0.8624161845265036,20.093457943925234,35.654205607476634,Low,1,107
2005,QB,Aaron Rodgers,,,,,0.719626168224299,0.572450529060775,71.96261682242991,71.96261682242991,Low,1,107
2005,QB,Jason Campbell,,,,,0.719626168224299,0.5334776793364817,79.43925233644859,77.19626168224298,Low,1,107
2005,QB,Charlie Frye,,,,,0.719626168224299,0.8945473224883971,17.289719626168225,33.69158878504673,Low,1,107
2005,QB,Andrew Walter,,,,,0.719626168224299,0.6759177298692102,44.85981308411215,52.99065420560747,Low,1,107
2005,QB,David Greene,,,,,0.719626168224299,0.7085459310458173,37.38317757009346,47.75700934579439,Low,1,107
2005,QB,Kyle Orton,,,,,0.719626168224299,0.5506737975058146,77.10280373831776,75.56074766355141,Low,1,107
2005,QB,Stefan Lefors,,,,,0.719626168224299,0.6507488994216487,49.532710280373834,56.26168224299065,Low,1,107
2005,QB,Dan Orlovsky,,,,,0.719626168224299,0.6195954770739097,59.813084112149525,63.457943925233636,Low,1,107
2005,QB,Adrian McPherson,,,,,0.07476635514018691,0.3038152502923762,93.45794392523365,67.66355140186917,Low,1,107
2005,QB,Derek Anderson,,,,,0.719626168224299,0.6428016488016091,52.336448598130836,58.22429906542055,Low,1,107
2005,QB,James Kilian,,,,,0.719626168224299,0.8313335318340043,22.897196261682243,37.61682242990654,Low,1,107
2005,QB,Matt Cassel,,,,,0.719626168224299,1.5312549038995051,2.803738317757009,23.55140186915888,Low,1,107
2005,QB,Ryan Fitzpatrick,,,,,0.07476635514018691,0.14668766075677234,97.19626168224299,70.2803738317757,Low,1,107
2006,QB,Vince Young,,,,,0.8504672897196262,1.0697081745755956,9.345794392523365,32.05607476635514,Low,1,107
2006,QB,Matt Leinart,,,,,1.0,0.7787741631033567,28.504672897196258,49.95327102803738,Medium,0,107
2006,QB,Jay Cutler,,,,,1.0,0.9032395228245921,16.355140186915886,41.44859813084112,Medium,0,107
2006,QB,Kellen Clemens,,,,,0.8691588785046729,0.8338615544326464,21.49532710280374,41.1214953271028,Medium,0,107
2006,QB,Tarvaris Jackson,,,,,0.07476635514018691,0.24415698518859424,96.26168224299066,69.62616822429906,Low,1,107
2006,QB,Charlie Whitehurst,,,,,1.0,0.9109031421298927,14.953271028037381,40.467289719626166,Medium,0,107
2006,QB,Brodie Croyle,,,,,1.0,0.8998764022953513,16.822429906542055,41.77570093457944,Medium,0,107
2006,QB,Brad Smith,,,,,1.0,1.3919598867206704,4.205607476635514,32.94392523364486,Low,1,107
2006,QB,Ingle Martin,,,,,0.07476635514018691,0.09572236257014351,99.53271028037383,71.91588785046729,Low,1,107
2006,QB,Omar Jacobs,,,,,1.0,0.8445812937680717,21.02803738317757,44.719626168224295,Medium,0,107
2006,QB,Reggie McNeal,,,,,1.0,0.953142055049738,13.084112149532709,39.1588785046729,Medium,0,107
2006,QB,Bruce Gradkowski,,,,,1.0,0.789062249900966,26.635514018691588,48.64485981308411,Medium,0,107
2006,QB,D.J. Shockley,,,,,1.0,0.9641579594264472,12.149532710280374,38.50467289719626,Medium,0,107
2007,QB,JaMarcus Russell,,,,,1.0,0.5298885536999888,80.8411214953271,86.58878504672896,High,0,107
2007,QB,Brady Quinn,,,,,1.0,0.4337155842407633,92.05607476635514,94.43925233644859,High,0,107
2007,QB,Kevin Kolb,,,,,1.0,0.8805325108474161,18.69158878504673,43.08411214953271,Medium,0,107
2007,QB,John Beck,,,,,1.0,0.7710634165607333,28.971962616822427,50.2803738317757,Medium,0,107
2007,QB,Drew Stanton,,,,,1.0,0.6025686888773396,65.42056074766354,75.79439252336448,High,0,107
2007,QB,Trent Edwards,,,,,1.0,0.5228180696703358,82.71028037383178,87.89719626168224,High,0,107
2007,QB,Isaiah Stanback,,,,,1.0,0.6700606359967809,45.794392523364486,62.05607476635514,Medium,0,107
2007,QB,Jeff Rowe,,,,,1.0,0.6631433508458613,47.19626168224299,63.03738317757009,Medium,0,107
2007,QB,Troy Smith,,,,,1.0,0.6799202684208071,43.925233644859816,60.74766355140187,Medium,0,107
2007,QB,Jordan Palmer,,,,,1.0,0.5720636237966727,72.42990654205607,80.70093457943925,High,0,107
2007,QB,Tyler Thigpen,,,,,0.07476635514018691,0.11085344544561708,98.5981308411215,71.26168224299066,Low,1,107
2008,QB,Matt Ryan,6.1542435424572375,14.0125,7.858256457542762,7.858256457542762,1.0,0.49240277394298804,85.98130841121495,90.18691588785046,High,0,107
2008,QB,Joe Flacco,5.622114833390763,13.6875,8.065385166609236,8.065385166609236,0.719626168224299,2.1211935547874754,0.9345794392523363,22.242990654205606,Low,1,107
2008,QB,Brian Brohm,2.159975673283708,0.048125,-2.111850673283708,2.111850673283708,1.0,0.4712974471130159,88.3177570093458,91.82242990654206,High,0,107
2008,QB,Chad Henne,2.242083803775589,9.420000000000002,7.1779161962244125,7.1779161962244125,1.0,0.7544624335431835,30.373831775700932,51.26168224299065,Medium,0,107
2008,QB,Kevin O'Connell,3.175916931378236,0.0099999999999999,-3.165916931378236,3.165916931378236,0.719626168224299,0.9186038936963072,14.485981308411214,31.72897196261682,Low,1,107
2008,QB,John David Booty,1.6581430146742848,0.0,-1.6581430146742848,1.6581430146742848,0.719626168224299,0.8695826329316322,19.626168224299064,35.32710280373831,Low,1,107
2008,QB,Dennis Dixon,2.7330200240063225,0.808125,-1.9248950240063225,1.9248950240063225,1.0,0.7854135081967877,27.102803738317753,48.971962616822424,Medium,0,107
2008,QB,Josh Johnson,1.6406773535885093,1.5168749999999998,-0.12380235358850955,0.12380235358850955,0.42990654205607476,0.6759772104404498,44.39252336448598,43.971962616822424,Low,1,107
2008,QB,Erik Ainge,1.233496471933295,0.0,-1.233496471933295,1.233496471933295,1.0,0.5306737919068858,80.37383177570094,86.26168224299064,High,0,107
2008,QB,Colt Brennan,2.8397196526406296,0.0,-2.8397196526406296,2.8397196526406296,0.719626168224299,0.790197425308173,25.70093457943925,39.57943925233644,Low,1,107
2008,QB,Andre Woodson,2.6319785781084,0.0,-2.6319785781084,2.6319785781084,1.0,0.5562406553007377,76.16822429906543,83.3177570093458,High,0,107
2008,QB,Matt Flynn,1.7155607527557095,0.8300000000000001,-0.8855607527557094,0.8855607527557094,1.0,1.1959541865272916,5.14018691588785,33.598130841121495,Low,1,107
2008,QB,Alex Brink,1.2732613288617185,0.0,-1.2732613288617185,1.2732613288617185,1.0,0.4811249402056645,87.85046728971963,91.49532710280374,High,0,107
2009,QB,Matthew Stafford,8.242028228846484,14.7275,6.485471771153515,6.485471771153515,1.0,0.44919551795179247,90.65420560747664,93.45794392523365,High,0,107
2009,QB,Mark Sanchez,8.110223125793208,13.73125,5.621026874206791,5.621026874206791,1.0,0.957110092265802,12.616822429906541,38.83177570093458,Medium,0,107
2009,QB,Josh Freeman,8.164834102285484,14.485,6.320165897714515,6.320165897714515,1.0,0.6948848030009385,40.654205607476634,58.45794392523364,Medium,0,107
2009,QB,Pat White,2.4681475368053047,0.253125,-2.215022536805305,2.215022536805305,1.0,0.8090699352818659,24.299065420560748,47.00934579439252,Medium,0,107
2009,QB,Stephen McGee,1.7410146602617829,1.21875,-0.5222646602617829,0.5222646602617829,1.0,0.722501408425344,35.51401869158878,54.85981308411215,Medium,0,107
2009,QB,Rhett Bomar,1.612195496003915,0.0,-1.612195496003915,1.612195496003915,0.719626168224299,1.1070767811551228,7.009345794392523,26.49532710280374,Low,1,107
2009,QB,Nate Davis,0.6771910372347626,0.0,-0.6771910372347626,0.6771910372347626,1.0,0.6396762186047642,52.80373831775701,66.96261682242991,Medium,0,107
2009,QB,Tom Brandstater,1.567178921145737,0.0,-1.567178921145737,1.567178921145737,1.0,0.6715953528954393,45.32710280373832,61.728971962616825,Medium,0,107
2009,QB,Mike Teel,0.9958483994265608,0.0,-0.9958483994265608,0.9958483994265608,1.0,1.0680987310453127,9.813084112149532,36.86915887850467,Low,1,107
2009,QB,Keith Null,2.4317096258196864,0.46625,-1.9654596258196864,1.9654596258196864,0.07476635514018691,0.0987719987698377,99.06542056074767,71.58878504672897,Low,1,107
2009,QB,Curtis Painter,1.8525922442413536,2.260625,0.4080327557586465,0.4080327557586465,1.0,0.5668380450231754,74.76635514018692,82.33644859813083,High,0,107
2010,QB,Sam Bradford,10.663765445872286,13.164375,2.5006095541277134,2.5006095541277134,1.0,0.9720834721275959,11.682242990654206,38.177570093457945,Medium,0,107
2010,QB,Tim Tebow,4.003663525623196,9.313125,5.309461474376803,5.309461474376803,1.0,0.7804078365473783,28.037383177570092,49.626168224299064,Medium,0,107
2010,QB,Jimmy Clausen,2.3820672534035747,1.813125,-0.5689422534035746,0.5689422534035746,1.0,0.6021087746992555,65.88785046728972,76.1214953271028,High,0,107
2010,QB,Colt McCoy,1.467189321554379,7.87375,6.406560678445621,6.406560678445621,1.0,0.6049256027662616,64.01869158878505,74.81308411214954,High,0,107
2010,QB,Mike Kafka,1.5054020978195477,0.0087499999999999,-1.4966520978195479,1.4966520978195479,1.0,0.7543500178028358,30.8411214953271,51.58878504672897,Medium,0,107
2010,QB,John Skelton,1.6843740025070228,4.271875,2.5875009974929766,2.5875009974929766,0.07476635514018691,0.1437356536169216,97.66355140186917,70.60747663551403,Low,1,107
2010,QB,Jonathan Crompton,1.0471797498415052,0.0,-1.0471797498415052,1.0471797498415052,1.0,0.6689327947823458,46.26168224299065,62.38317757009345,Medium,0,107
2010,QB,Rusty Smith,0.6376555356259243,0.0425,-0.5951555356259243,0.5951555356259243,1.0,0.49225268549333323,86.44859813084112,90.51401869158877,High,0,107
2010,QB,Dan LeFevour,0.9159576043391158,0.0,-0.9159576043391158,0.9159576043391158,1.0,0.6194322836444048,60.747663551401864,72.5233644859813,High,0,107
2010,QB,Tony Pike,0.7651489179029661,0.05875,-0.7063989179029662,0.7063989179029662,1.0,0.44820023690319755,91.1214953271028,93.78504672897196,High,0,107
2010,QB,Levi Brown,1.1034557303586348,0.0,-1.1034557303586348,1.1034557303586348,1.0,0.6459676311519278,51.86915887850467,66.30841121495327,Medium,0,107
2010,QB,Sean Canfield,1.0563975544468065,0.0,-1.0563975544468065,1.0563975544468065,1.0,0.6907864891612316,42.05607476635514,59.43925233644859,Medium,0,107
2010,QB,Zac Robinson,1.20505391676589,0.0,-1.20505391676589,1.20505391676589,1.0,0.6198041125556235,58.87850467289719,71.21495327102804,High,0,107
2011,QB,Cam Newton,10.785132008576232,21.74375,10.958617991423766,10.958617991423766,0.07476635514018691,0.28182913412911564,94.39252336448598,68.3177570093458,Low,1,107
2011,QB,Jake Locker,11.96900515103892,7.246250000000001,-4.7227551510389185,4.7227551510389185,1.0,0.7254199485651697,34.57943925233645,54.205607476635514,Medium,0,107
2011,QB,Blaine Gabbert,11.505125172628446,6.57625,-4.928875172628446,4.928875172628446,1.0,0.6957974731221318,40.18691588785047,58.13084112149532,Medium,0,107
2011,QB,Christian Ponder,11.544190858083864,9.756875,-1.787315858083863,1.787315858083863,1.0,0.5898092955687537,68.22429906542055,77.75700934579439,High,0,107
2011,QB,Andy Dalton,2.1246632603041826,16.836875,14.712211739695817,14.712211739695817,1.0,0.5284853259477197,82.2429906542056,87.57009345794391,High,0,107
2011,QB,Colin Kaepernick,2.228710789554467,13.698124999999996,11.469414210445528,11.469414210445528,1.0,0.7239023097439237,35.046728971962615,54.532710280373834,Medium,0,107
2011,QB,Ryan Mallett,2.169853473335156,0.0,-2.169853473335156,2.169853473335156,1.0,0.6269970815777027,56.074766355140184,69.25233644859813,Medium,0,107
2011,QB,Ricky Stanzi,0.9270417864650992,0.0,-0.9270417864650992,0.9270417864650992,0.719626168224299,0.5784719352228151,69.62616822429906,70.32710280373831,Low,1,107
2011,QB,T.J. Yates,1.2657549047363683,1.4712500000000004,0.20549509526363208,0.20549509526363208,1.0,0.4428774124478817,91.58878504672897,94.11214953271028,High,0,107
2011,QB,Nathan Enderle,1.5987964885320376,0.0,-1.5987964885320376,1.5987964885320376,1.0,0.5439844382623832,78.03738317757009,84.62616822429906,High,0,107
2011,QB,Tyrod Taylor,0.8978418654343453,0.766875,-0.13096686543434533,0.13096686543434533,1.0,0.6554810298022994,48.598130841121495,64.01869158878505,Medium,0,107
2011,QB,Greg McElroy,1.0914634066134534,0.36125,-0.7302134066134534,0.7302134066134534,1.0,1.0121382177175648,10.74766355140187,37.523364485981304,Medium,0,107
2012,QB,Andrew Luck,11.09112033137596,20.135,9.043879668624042,9.043879668624042,1.0,0.6934078349920549,41.1214953271028,58.785046728971956,Medium,0,107
2012,QB,Robert Griffin,11.333832112949544,16.57875,5.244917887050455,5.244917887050455,1.0,0.7812293563547114,27.570093457943923,49.299065420560744,Medium,0,107
2012,QB,Ryan Tannehill,12.395349035372655,16.181874999999998,3.7865259646273426,3.7865259646273426,1.0,1.6824678740510834,1.4018691588785046,30.981308411214954,Low,1,107
2012,QB,Brandon Weeden,9.306352831129532,7.976250000000001,-1.3301028311295306,1.3301028311295306,1.0,0.9897819140163733,11.214953271028037,37.850467289719624,Medium,0,107
2012,QB,Brock Osweiler,2.264787810447311,0.315,-1.9497878104473112,1.9497878104473112,1.0,0.6148639749548257,61.6822429906542,73.17757009345794,High,0,107
2012,QB,Russell Wilson,2.7349676068303674,18.881875,16.146907393169634,16.146907393169634,1.0,0.647625875873561,50.93457943925234,65.65420560747663,Medium,0,107
2012,QB,Nick Foles,2.34989932499304,11.845625,9.495725675006959,9.495725675006959,1.0,0.5974526931568748,67.7570093457944,77.42990654205607,High,0,107
2012,QB,Kirk Cousins,0.9972479665420954,3.81125,2.8140020334579043,2.8140020334579043,1.0,0.7424867658949205,33.64485981308411,53.55140186915888,Medium,0,107
2012,QB,Ryan Lindley,0.6921382496763273,1.1018750000000002,0.40973675032367285,0.40973675032367285,1.0,0.5696756506884408,73.36448598130842,81.35514018691589,High,0,107
2012,QB,B.J. Coleman,2.039169876668266,0.0,-2.039169876668266,2.039169876668266,0.719626168224299,1.5007320005969145,3.2710280373831773,23.878504672897197,Low,1,107
2012,QB,Chandler Harnish,0.963646851378197,0.0,-0.963646851378197,0.963646851378197,1.0,0.5995646098347389,66.35514018691589,76.44859813084112,High,0,107
2013,QB,EJ Manuel,12.318783345218316,6.0062500000000005,-6.312533345218315,6.312533345218315,1.0,0.6216702311024047,57.943925233644855,70.5607476635514,High,0,107
2013,QB,Geno Smith,4.569434768005905,10.798125,6.228690231994095,6.228690231994095,1.0,0.44995302216670635,90.18691588785047,93.13084112149534,High,0,107
2013,QB,Mike Glennon,4.1467944883306105,7.7375,3.5907055116693893,3.5907055116693893,1.0,0.8329622781810413,22.429906542056074,45.70093457943925,Medium,0,107
2013,QB,Matt Barkley,2.095155637871923,0.05625,-2.038905637871923,2.038905637871923,1.0,0.4910853447295819,86.91588785046729,90.84112149532709,High,0,107
2013,QB,Ryan Nassib,1.4340134247553702,0.275625,-1.1583884247553702,1.1583884247553702,1.0,0.4681673062456494,88.78504672897196,92.14953271028037,High,0,107
2013,QB,Tyler Wilson,1.3386159713276715,0.0,-1.3386159713276715,1.3386159713276715,1.0,0.7532686598259193,31.308411214953267,51.915887850467286,Medium,0,107
2013,QB,Landry Jones,1.986187314983349,0.688125,-1.298062314983349,1.298062314983349,1.0,0.66651617427188,46.728971962616825,62.71028037383178,Medium,0,107
2013,QB,Brad Sorensen,2.236917092246343,0.0,-2.236917092246343,2.236917092246343,0.07476635514018691,0.19781677282790194,96.72897196261682,69.95327102803739,Low,1,107
2013,QB,Zac Dysert,1.340119507150486,0.0,-1.340119507150486,1.340119507150486,1.0,0.7024272026719499,39.25233644859813,57.47663551401869,Medium,0,107
2013,QB,B.J. Daniels,0.8734154244398656,0.14625,-0.7271654244398656,0.7271654244398656,1.0,0.8330072120031913,21.962616822429908,45.373831775700936,Medium,0,107
2013,QB,Sean Renfree,1.9478954974183644,0.0,-1.9478954974183644,1.9478954974183644,1.0,0.6547758835710716,49.06542056074766,64.34579439252336,Medium,0,107
2014,QB,Blake Bortles,12.868072597597552,18.350625,5.482552402402449,5.482552402402449,1.0,0.5770466676777664,70.09345794392523,79.06542056074767,High,0,107
2014,QB,Johnny Manziel,10.177201293951155,3.340625,-6.836576293951155,6.836576293951155,1.0,1.0784743570381603,8.411214953271028,35.88785046728972,Low,1,107
2014,QB,Teddy Bridgewater,10.019151896761969,11.878125,1.858973103238032,1.858973103238032,1.0,0.5766035572543295,70.56074766355141,79.39252336448598,High,0,107
2014,QB,Derek Carr,8.920533224410294,16.8675,7.946966775589706,7.946966775589706,1.0,0.532663573829937,79.90654205607477,85.93457943925233,High,0,107
2014,QB,Jimmy Garoppolo,4.2172590396971525,1.505,-2.7122590396971527,2.7122590396971527,0.07476635514018691,0.25016898504248597,95.32710280373831,68.97196261682242,Low,1,107
2014,QB,Logan Thomas,0.9292672378354516,0.22625,-0.7030172378354516,0.7030172378354516,1.0,0.7085447758741704,37.850467289719624,56.495327102803735,Medium,0,107
