season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2026,RB,7,44,187,Emmett Johnson,KAN,5,161,3.4315610934910166,40.48257372654155,0.04804985970258713,,1.0,0.0,-0.5462537332012927
2024,RB,12,45,192,Keilan Robinson,JAX,5,167,3.369240716965081,39.67828418230563,0.03573444485664368,,1.0,0.0,-0.140552376530243
2026,RB,8,46,194,Demond Claiborne,MIN,6,198,2.995577286247344,36.193029490616624,0.03680477663874626,,1.0,0.0,-0.5014008286743366
2026,RB,9,47,196,Adam Randall,BAL,5,174,2.9338903477650433,34.852546916890084,0.041186507791280746,,1.0,0.0,0.1145210007759622
2024,RB,13,48,198,Tyrone Tracy,NYG,5,166,2.879084632623257,34.048257372654156,0.035492364317178726,,1.0,0.0,0.1547490816336969
2026,RB,10,49,200,Nicholas Singleton,TEN,5,165,2.7933267426359487,32.975871313672926,0.038926564157009125,,1.0,0.0,-0.6910917586677217
2024,RB,14,50,204,Rasheen Ali,BAL,5,165,2.741297733895091,31.099195710455763,0.064888596534729,,1.0,0.0,0.7267711473483747
2025,RB,20,51,207,Tahj Brooks,CIN,6,193,2.627012506070865,29.75871313672922,0.047783785,,1.0,0.0,-0.27799632536808083
2025,RB,21,52,211,Kalel Mullings,TEN,6,188,2.590321113526758,29.2225201072386,0.049722854,,1.0,0.0,-0.11251244681734462
2024,RB,15,53,212,Dylan Laube,LV,6,208,2.5591028716894555,28.686327077747993,0.032626643776893616,,0.0,0.0,-0.1137798683393844
2024,RB,16,54,217,Jawhar Jordan,HOU,6,205,2.4402322116924857,26.80965147453083,0.07139559835195541,,1.0,0.0,-0.0683565490941768
2024,RB,17,55,217,Kimani Vidal,LAC,6,181,2.4020846012030486,26.80965147453083,0.03048597276210785,,1.0,0.0,-0.3101908478716728
2026,RB,11,56,232,Kaytron Allen,WAS,6,187,1.863826677397292,19.571045576407506,0.022278431802988052,,1.0,0.0,-0.8732728495621966
2025,RB,22,57,236,Kyle Monangai,CHI,7,233,1.8149238964251166,18.498659517426276,0.02112474,,1.0,0.0,-0.4136291552182847
2025,RB,23,58,237,Jacory Croskey-Merritt,WAS,7,245,1.7197843912890476,17.158176943699733,0.020709265,,1.0,0.0,-0.3718926830733107
2026,RB,12,59,240,Seth McGowan,IND,7,237,1.6407759509443278,16.890080428954423,0.06139019876718521,,1.0,0.0,-0.7922354631268842
2025,RB,24,60,246,LeQuint Allen,JAX,7,236,1.388719345200261,12.332439678284182,0.1160046,,1.0,0.0,-0.28000323976816066
2024,RB,18,61,258,Jase McClellan,ATL,6,186,0.7405910655759647,6.166219839142091,0.04722932353615761,,1.0,0.0,-0.6268731945533474
2025,RB,25,62,259,Phil Mafah,DAL,7,239,0.7101731685575867,5.898123324396782,0.017842503,,1.0,0.0,-0.3001962456620033
2024,RB,19,63,260,Isaiah Davis,NYJ,5,173,0.6849964070268311,5.630026809651475,0.017667289823293686,,1.0,0.0,2.377129276410604
2026,RB,13,64,264,Jam Miller,NWE,7,245,0.5676106526524607,4.557640750670242,0.02254621870815754,,1.0,0.0,-0.5000508015513407
