season,week,game_id,team,y,position,v42,extra16_extended,candidate
2025,1,2025_01_ARI_NO,ARI,5.0,DST,7.437159671180953,7.200509706888315,7.377997180107793
2025,1,2025_01_ARI_NO,NO,8.0,DST,4.147937859053994,5.196280044398609,4.410023405390148
2025,1,2025_01_BAL_BUF,BAL,-3.0,DST,5.1634778066222164,5.189328519996757,5.169940484965852
2025,1,2025_01_BAL_BUF,BUF,0.0,DST,4.470535347369359,4.456655910445139,4.467065488138304
2025,1,2025_01_CAR_JAX,CAR,2.0,DST,4.845630503138999,5.113114085709127,4.912501398781531
2025,1,2025_01_CAR_JAX,JAX,11.0,DST,6.737608594623688,6.356709734537508,6.642383879602143
2025,1,2025_01_CIN_CLE,CIN,7.0,DST,7.764643114262958,8.704956354793826,7.999721424395674
2025,1,2025_01_CIN_CLE,CLE,4.0,DST,4.003507107586266,5.315143076129524,4.33141609972208
2025,1,2025_01_DAL_PHI,DAL,1.0,DST,4.201084134134758,5.060810584660286,4.41601574676614
2025,1,2025_01_DAL_PHI,PHI,3.0,DST,7.368649375219742,8.558556690068444,7.666126203931917
2025,1,2025_01_DET_GB,DET,0.0,DST,4.7427612689040854,5.0831207601878505,4.827851141725026
2025,1,2025_01_DET_GB,GB,10.0,DST,5.245923943919589,5.759781130773694,5.374388240633115
2025,1,2025_01_HOU_LA,HOU,6.0,DST,5.256755526258075,5.696018306949386,5.366571221430903
2025,1,2025_01_HOU_LA,LA,11.0,DST,7.220331367866301,7.470488282666315,7.282870596566305
2025,1,2025_01_KC_LAC,KC,3.0,DST,6.0447137290973965,5.6550128079332636,5.947288498806364
2025,1,2025_01_KC_LAC,LAC,2.0,DST,5.515738682300774,5.386916804622899,5.483533212881305
2025,1,2025_01_LV_NE,LV,10.0,DST,5.634624022845097,5.852927686647271,5.689199938795641
2025,1,2025_01_LV_NE,NE,7.0,DST,6.104204126648932,6.002611191166995,6.0788058927784485
2025,1,2025_01_MIA_IND,IND,13.0,DST,5.588401062665107,6.050196548571738,5.703849934141765
2025,1,2025_01_MIA_IND,MIA,0.0,DST,5.711447799678572,5.714355480036213,5.712174719767981
2025,1,2025_01_MIN_CHI,CHI,11.0,DST,5.956416867795896,6.287431831904499,6.0391706088230475
2025,1,2025_01_MIN_CHI,MIN,5.0,DST,7.298860622816386,9.409073601344096,7.826413867448315
2025,1,2025_01_NYG_WAS,NYG,3.0,DST,4.748777663681955,5.295064897770563,4.885349472204107
2025,1,2025_01_NYG_WAS,WAS,9.0,DST,6.82041431460816,7.363228281814177,6.956117806409664
2025,1,2025_01_PIT_NYJ,NYJ,3.0,DST,6.351091037150134,7.312104158003052,6.5913443173633635
2025,1,2025_01_PIT_NYJ,PIT,2.0,DST,7.262894784751879,6.8632827651054775,7.1629917798402785
2025,1,2025_01_SF_SEA,SEA,8.0,DST,5.919203178769131,6.54803011361563,6.076409912480756
2025,1,2025_01_SF_SEA,SF,9.0,DST,6.7156649254414615,6.591552455124783,6.684636807862292
2025,1,2025_01_TB_ATL,ATL,1.0,DST,5.009755110882767,5.266881503059097,5.074036708926849
2025,1,2025_01_TB_ATL,TB,2.0,DST,5.854489099269375,6.372504421231315,5.98399292975986
2025,1,2025_01_TEN_DEN,DEN,14.0,DST,8.946036740758379,8.273683285347833,8.77794837690574
2025,1,2025_01_TEN_DEN,TEN,10.0,DST,4.407746376090749,4.801275652478807,4.506128695187764
2025,2,2025_02_ATL_MIN,ATL,21.0,DST,5.201799917330349,4.907323045237136,5.128180699307046
2025,2,2025_02_ATL_MIN,MIN,5.0,DST,6.787207035041791,6.622146440389245,6.745941886378654
2025,2,2025_02_BUF_NYJ,BUF,10.0,DST,6.429181484319874,6.299178355318001,6.396680702069406
2025,2,2025_02_BUF_NYJ,NYJ,0.0,DST,3.669981151973512,4.074104796046959,3.7710120629918737
2025,2,2025_02_CAR_ARI,ARI,7.0,DST,7.075998547404864,7.076415875578515,7.0761028794482765
2025,2,2025_02_CAR_ARI,CAR,3.0,DST,3.9733850347725905,4.171985068736186,4.023035043263489
2025,2,2025_02_CHI_DET,CHI,-4.0,DST,4.3428514209165,5.115077034380898,4.535907824282599
2025,2,2025_02_CHI_DET,DET,8.0,DST,7.19271520698869,8.089551694433862,7.416924328849983
2025,2,2025_02_CLE_BAL,BAL,9.0,DST,8.862382640815524,9.746250467107021,9.083349597388398
2025,2,2025_02_CLE_BAL,CLE,-1.0,DST,3.0779863969183827,3.7008553373290503,3.2337036320210495
2025,2,2025_02_DEN_IND,DEN,0.0,DST,7.192484049505072,7.198005877799778,7.193864506578748
2025,2,2025_02_DEN_IND,IND,1.0,DST,5.40769476235653,5.690086956460084,5.478292810882419
2025,2,2025_02_JAX_CIN,CIN,5.0,DST,6.17331744190046,6.708431558589934,6.30709597107283
2025,2,2025_02_JAX_CIN,JAX,8.0,DST,4.334917763933988,5.32204351345682,4.581699201314696
2025,2,2025_02_LAC_LV,LAC,13.0,DST,6.747369558674245,6.819535483806367,6.765411039957275
2025,2,2025_02_LAC_LV,LV,5.0,DST,5.034664587408298,5.1092362686868595,5.053307507727939
2025,2,2025_02_LA_TEN,LA,8.0,DST,8.441288747396888,7.823110409212522,8.286744162850797
2025,2,2025_02_LA_TEN,TEN,4.0,DST,5.255303751972499,5.491098962462609,5.3142525545950265
2025,2,2025_02_NE_MIA,MIA,8.0,DST,6.364291246179909,6.3283970310981195,6.355317692409462
2025,2,2025_02_NE_MIA,NE,13.0,DST,5.1663053142420425,6.2217011088703895,5.43015426289913
2025,2,2025_02_NYG_DAL,DAL,0.0,DST,6.911363175450857,7.848633177133564,7.145680675871533
2025,2,2025_02_NYG_DAL,NYG,1.0,DST,4.717775440572206,4.961224957353493,4.778637819767527
2025,2,2025_02_PHI_KC,KC,2.0,DST,4.988111339604531,5.709138009840057,5.168368007163412
2025,2,2025_02_PHI_KC,PHI,5.0,DST,6.364465456372263,7.506068724674503,6.649866273447823
2025,2,2025_02_SEA_PIT,PIT,5.0,DST,7.658000009458388,7.943871161131391,7.729467797376639
2025,2,2025_02_SEA_PIT,SEA,14.0,DST,6.237526196459319,6.742773896676729,6.3638381215136715
2025,2,2025_02_SF_NO,NO,5.0,DST,5.602689816846944,5.782148142705359,5.647554398311548
2025,2,2025_02_SF_NO,SF,5.0,DST,7.11800033385,6.906524019522513,7.065131255268129
2025,2,2025_02_TB_HOU,HOU,7.0,DST,6.690022880319753,6.13256426585987,6.550658226704782
2025,2,2025_02_TB_HOU,TB,4.0,DST,6.172548730664199,6.438450394809138,6.239024146700434
2025,2,2025_02_WAS_GB,GB,5.0,DST,6.577379400221517,5.9977510305508845,6.432472307803859
2025,2,2025_02_WAS_GB,WAS,2.0,DST,4.365880360954113,5.095979227937599,4.548405077699984
2025,3,2025_03_ARI_SF,ARI,6.0,DST,5.423611227708948,6.656482364388742,5.731829011878897
2025,3,2025_03_ARI_SF,SF,2.0,DST,5.687854426658556,5.989099129952766,5.7631656024821085
2025,3,2025_03_ATL_CAR,ATL,3.0,DST,7.462739259533475,8.16627311733207,7.638622723983124
2025,3,2025_03_ATL_CAR,CAR,22.0,DST,4.715719497345908,4.606926055104334,4.688521136785514
2025,3,2025_03_CIN_MIN,CIN,-1.0,DST,6.5050909599281805,6.0033393466245375,6.379653056602269
2025,3,2025_03_CIN_MIN,MIN,24.0,DST,6.8697007097817675,6.615472386057203,6.806143628850626
2025,3,2025_03_DAL_CHI,CHI,11.0,DST,4.9805250197284225,5.495663575204111,5.109309658597345
2025,3,2025_03_DAL_CHI,DAL,-1.0,DST,6.423902685456436,7.167578679870747,6.609821684060013
2025,3,2025_03_DEN_LAC,DEN,9.0,DST,5.70592521748365,5.500049171980226,5.6544562061077945
2025,3,2025_03_DEN_LAC,LAC,3.0,DST,5.92651692408409,6.077078942756202,5.9641574287521175
2025,3,2025_03_DET_BAL,BAL,-4.0,DST,5.209956536336705,4.974332008888644,5.15105040447469
2025,3,2025_03_DET_BAL,DET,8.0,DST,3.682145795631945,3.5246636795411534,3.642775266609247
2025,3,2025_03_GB_CLE,CLE,13.0,DST,4.282415642418432,5.31701459048762,4.541065379435729
2025,3,2025_03_GB_CLE,GB,8.0,DST,8.62319631846417,8.55518951981874,8.606194618802814
2025,3,2025_03_HOU_JAX,HOU,5.0,DST,5.865997654175065,6.396379290834218,5.998593063339854
2025,3,2025_03_HOU_JAX,JAX,12.0,DST,7.01100432759665,8.19731140887244,7.307581097915597
2025,3,2025_03_IND_TEN,IND,15.0,DST,8.201423476246605,9.15175156837564,8.439005499278863
2025,3,2025_03_IND_TEN,TEN,-4.0,DST,4.988249610956298,5.309320016192618,5.068517212265378
2025,3,2025_03_KC_NYG,KC,12.0,DST,7.040261267599216,7.168367004942033,7.07228770193492
2025,3,2025_03_KC_NYG,NYG,1.0,DST,4.92578269189186,4.661516462156795,4.859716134458093
2025,3,2025_03_LA_PHI,LA,5.0,DST,4.897474014042455,5.025991576100809,4.929603404557044
2025,3,2025_03_LA_PHI,PHI,13.0,DST,6.393279261816212,6.570249953215495,6.437521934666033
2025,3,2025_03_LV_WAS,LV,-1.0,DST,5.750090297346213,6.378543814223078,5.907203676565429
2025,3,2025_03_LV_WAS,WAS,11.0,DST,6.686609713037662,7.214787925699833,6.818654266203204
2025,3,2025_03_MIA_BUF,BUF,2.0,DST,7.69336768525408,8.76634948069783,7.961613134115018
2025,3,2025_03_MIA_BUF,MIA,1.0,DST,2.148970260991463,4.047461281806373,2.6235930161951906
2025,3,2025_03_NO_SEA,NO,-2.0,DST,5.116819611943784,5.0588667105752565,5.102331386601652
2025,3,2025_03_NO_SEA,SEA,16.0,DST,8.409822863432646,8.461122665687107,8.422647813996262
2025,3,2025_03_NYJ_TB,NYJ,9.0,DST,4.646811936283063,5.251262516217607,4.797924581266699
2025,3,2025_03_NYJ_TB,TB,14.0,DST,7.388142619465006,7.9136558203010265,7.519520919674011
2025,3,2025_03_PIT_NE,NE,2.0,DST,5.738744721975161,6.169675139606261,5.846477326382937
2025,3,2025_03_PIT_NE,PIT,16.0,DST,6.5617577187918,7.188433681534328,6.718426709477432
2025,4,2025_04_BAL_KC,BAL,-3.0,DST,6.246394762252156,7.087784914491985,6.456742300312113
2025,4,2025_04_BAL_KC,KC,7.0,DST,5.0632804109094645,5.215482335907126,5.10133089215888
2025,4,2025_04_CAR_NE,CAR,-3.0,DST,4.982191785195107,4.517584466662612,4.866039955561984
2025,4,2025_04_CAR_NE,NE,11.0,DST,6.991278475570701,6.76846164449349,6.935574267801398
2025,4,2025_04_CHI_LV,CHI,10.0,DST,6.062085542836914,5.7990408445929305,5.996324368275918
2025,4,2025_04_CHI_LV,LV,3.0,DST,6.294234162753636,5.8445494297369045,6.181812979499453
2025,4,2025_04_CIN_DEN,CIN,1.0,DST,4.476525269276957,4.707931251028739,4.534376764714903
2025,4,2025_04_CIN_DEN,DEN,10.0,DST,7.846276898450279,8.353370131644072,7.973050206748727
2025,4,2025_04_CLE_DET,CLE,1.0,DST,3.4930548353772797,3.9485314305557457,3.606923984171896
2025,4,2025_04_CLE_DET,DET,19.0,DST,8.462783280045914,9.672031475665397,8.765095328950785
2025,4,2025_04_GB_DAL,DAL,1.0,DST,4.072771861271818,4.266536849309977,4.121213108281358
2025,4,2025_04_GB_DAL,GB,-3.0,DST,6.860146027537526,7.358514126358955,6.984738052242884
2025,4,2025_04_IND_LA,IND,5.0,DST,4.472249628444462,4.605111390050139,4.505465068845881
2025,4,2025_04_IND_LA,LA,7.0,DST,5.621881541521118,6.044150111609385,5.727448684043184
2025,4,2025_04_JAX_SF,JAX,15.0,DST,5.115976831311746,6.2729752987815015,5.405226448179185
2025,4,2025_04_JAX_SF,SF,0.0,DST,6.259878743021101,6.556858532882702,6.334123690486502
2025,4,2025_04_LAC_NYG,LAC,6.0,DST,7.161884451150811,7.676360731218316,7.290503521167687
2025,4,2025_04_LAC_NYG,NYG,7.0,DST,4.771375878262356,4.9116242631291165,4.806437974479046
2025,4,2025_04_MIN_PIT,MIN,4.0,DST,7.497306111499808,8.429766588260778,7.73042123069005
2025,4,2025_04_MIN_PIT,PIT,10.0,DST,6.826959310860138,6.635555235286825,6.779108291966809
2025,4,2025_04_NO_BUF,BUF,6.0,DST,8.922125299814878,9.210380530018423,8.994189107365763
