period,inputs,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
2024,stale,544,3.9908114431069466,5.032944799971058,0.3661664371591009,0.3535447634105674,10.5,9.629629135131836,9.511110305786133
2024,restored,544,3.9946780066642127,5.039580946684999,0.36248920204819307,0.35431470831745354,11.05555534362793,9.5,9.644444465637207
2025,stale,544,4.106230826861774,5.246823086621349,0.30984713916404105,0.31395140007154176,10.61111068725586,9.388888359069824,8.244443893432617
2025,restored,544,4.110214987376472,5.245644030863432,0.3105943719429089,0.31528706129725204,10.166666984558105,9.388888359069824,8.433333396911621
all,stale,1088,4.048521134984361,5.140996297501998,0.33470404952426636,0.3337480817410545,10.55555534362793,9.509259223937988,8.877778053283691
all,restored,1088,4.052446497020342,5.143644496693158,0.33335232136822684,0.33480088480735287,10.61111068725586,9.44444465637207,9.03888988494873
