position,period,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,development_2021_2023,v42,1630,4.106140170769693,5.354204275868538,0.26710554666600833,0.25730642845803026,9.38888888888889,8.574074074074074,8.511111111111111
DST,development_2021_2023,market,1630,4.207813514478528,5.356107238633131,0.2634879921729893,0.2539268103042129,9.25925925925926,8.814814814814815,8.448148148148148
DST,development_2021_2023,ridge10_base,1630,4.250191145362213,5.496655648575908,0.20437737874393747,0.2014294282330878,8.981481481481481,8.370370370370368,8.107407407407408
DST,development_2021_2023,ridge10_extended,1630,4.3885451812117235,5.647151504778052,0.15913184831248275,0.15268680813248506,7.62962962962963,7.950617283950616,7.581481481481482
DST,development_2021_2023,ridge100_base,1630,4.204985408295616,5.438023181806898,0.22549755385093592,0.21955204644844162,8.777777777777779,8.487654320987653,8.13703703703704
DST,development_2021_2023,ridge100_extended,1630,4.277906960891579,5.515042838501877,0.19569775225547867,0.19104304367090294,7.685185185185185,7.938271604938271,7.662962962962963
DST,development_2021_2023,ridge1000_base,1630,4.146707146781627,5.365879153846774,0.25440442493543425,0.2517376372784467,8.185185185185185,8.89506172839506,8.370370370370372
DST,development_2021_2023,ridge1000_extended,1630,4.166982018904444,5.387232617806589,0.24296240395534227,0.23603137523139509,8.648148148148149,8.660493827160494,8.403703703703705
DST,development_2021_2023,bayes_base,1630,4.144810498825751,5.364369112505677,0.25511057681549565,0.25239624369255004,8.518518518518519,8.907407407407407,8.437037037037038
DST,development_2021_2023,bayes_extended,1630,4.1445846402843065,5.364607979763234,0.25391422785402484,0.2449191945235528,8.462962962962964,8.753086419753087,8.581481481481482
DST,development_2021_2023,extra16_base,1630,4.152774815992548,5.3515620036513,0.260008600540622,0.25230106481229037,8.574074074074074,8.697530864197532,8.700000000000001
DST,development_2021_2023,extra16_extended,1630,4.150037607138033,5.352176255147273,0.25944617238416345,0.24632056298602084,8.722222222222221,8.80246913580247,8.703703703703704
DST,development_2021_2023,extra40_base,1630,4.175557839985076,5.355660890224664,0.2570379231935641,0.24410018135099318,8.685185185185185,8.703703703703702,8.785185185185187
DST,development_2021_2023,extra40_extended,1630,4.1626451653331715,5.348817005360144,0.26130289601089596,0.2465086549551069,8.685185185185185,9.08641975308642,8.525925925925927
DST,development_2021_2023,cat2_base,1630,4.180792814389627,5.374272609135777,0.24703047869877595,0.2279115300346458,9.62962962962963,8.919753086419755,8.540740740740741
DST,development_2021_2023,cat2_extended,1630,4.178374439916333,5.3659097364400745,0.25180687674757823,0.22904354585007017,9.851851851851851,9.092592592592593,8.45925925925926
DST,development_2021_2023,cat4_base,1630,4.1767010467271,5.3745810872630715,0.24661771273511696,0.23321905094291948,9.166666666666666,8.833333333333334,8.55925925925926
DST,development_2021_2023,cat4_extended,1630,4.174297349009623,5.366260995301381,0.2515682499638867,0.2333167133566382,7.703703703703703,9.061728395061728,8.799999999999999
DST,development_2021_2023,cat6_base,1630,4.179918373486358,5.376795194577883,0.244565864004506,0.23086320646959116,9.018518518518519,8.345679012345679,8.292592592592593
DST,development_2021_2023,cat6_extended,1630,4.182709852766259,5.3706797795382535,0.24809279832076495,0.2284942756511718,9.074074074074074,9.080246913580247,8.585185185185184
DST,development_2021_2023,hist_base,1630,4.158933833365231,5.366210138930074,0.2545532912791186,0.23673096608334745,9.037037037037036,8.58641975308642,8.54814814814815
DST,development_2021_2023,hist_extended,1630,4.181054665879127,5.3789201806891604,0.24676993445811748,0.2281737015651973,9.925925925925926,8.814814814814815,8.374074074074073
DST,development_2021_2023,ridge100_recent,1630,4.344752091313427,5.5702295450943415,0.17655628686831212,0.17591910433666913,8.962962962962964,8.067901234567902,7.592592592592592
DST,development_2021_2023,cat4_recent,1630,4.198900922654674,5.386147466347336,0.23890341098601164,0.21516889935712075,7.833333333333333,8.759259259259258,8.11111111111111
DST,development_2021_2023,extra40_recent,1630,4.169501280743589,5.367553529990558,0.24878522344774592,0.2327774441619354,8.38888888888889,8.78395061728395,8.670370370370373
DST,development_2021_2023,rare_shrink0.5,1630,4.105047002954556,5.350752397800248,0.2677756193924358,0.2589734745993074,9.185185185185185,8.641975308641976,8.574074074074074
DST,development_2021_2023,rare_shrink1.0,1630,4.1048648099777925,5.348803070262269,0.2679813152582945,0.2574292922981679,8.944444444444445,8.518518518518519,8.525925925925925
DST,development_2021_2023,rounded_pa,1630,4.1177196573330646,5.348122389922902,0.2671312958097771,0.2574516637111081,9.38888888888889,8.58641975308642,8.511111111111113
DST,development_2021_2023,pbp_ridge100,1630,4.2216032188707775,5.460660665903262,0.21350281984576167,0.20779493509110944,8.481481481481481,7.808641975308642,8.188888888888888
DST,development_2021_2023,pbp_ridge1000,1630,4.152720934762745,5.372674558037973,0.2499580222582954,0.24834804756172182,8.518518518518519,8.5679012345679,8.322222222222223
DST,development_2021_2023,pbp_bayes,1630,4.144641704387262,5.364729821955701,0.253894228049789,0.25371704499225667,8.61111111111111,8.91358024691358,8.35925925925926
DST,development_2021_2023,pbp_cat2,1630,4.1737464041546435,5.364061248973287,0.25239691258785596,0.24226832919394004,9.592592592592593,8.956790123456791,8.84814814814815
DST,development_2021_2023,pbp_cat4,1630,4.176682020481077,5.365363452322789,0.25155679808025055,0.24203630674026336,9.833333333333334,9.148148148148149,8.922222222222224
DST,development_2021_2023,pbp_extra,1630,4.157888104007148,5.349835380461485,0.2606621084268016,0.24860275891192118,8.777777777777779,8.783950617283951,8.648148148148149
DST,development_2021_2023,pbp_xgb,1630,4.163115978895705,5.367674839288749,0.25195862472644115,0.2398654131750271,9.351851851851851,8.469135802469136,8.44814814814815
DST,development_2021_2023,pbp_lgbm,1630,4.1903124712274,5.39109825869947,0.24017232814357545,0.22620082728121094,8.425925925925926,8.666666666666666,8.622222222222222
DST,development_2021_2023,pbp_poisson_events,1630,4.137997727800657,5.349968106260185,0.2619489009076197,0.25936481317355586,7.962962962962963,8.567901234567902,8.503703703703705
DST,all,v42,1630,4.106140170769693,5.354204275868538,0.26710554666600833,0.25730642845803026,9.38888888888889,8.574074074074074,8.511111111111111
DST,all,market,1630,4.207813514478528,5.356107238633131,0.2634879921729893,0.2539268103042129,9.25925925925926,8.814814814814815,8.448148148148148
DST,all,ridge10_base,1630,4.250191145362213,5.496655648575908,0.20437737874393747,0.2014294282330878,8.981481481481481,8.370370370370368,8.107407407407408
DST,all,ridge10_extended,1630,4.3885451812117235,5.647151504778052,0.15913184831248275,0.15268680813248506,7.62962962962963,7.950617283950616,7.581481481481482
DST,all,ridge100_base,1630,4.204985408295616,5.438023181806898,0.22549755385093592,0.21955204644844162,8.777777777777779,8.487654320987653,8.13703703703704
DST,all,ridge100_extended,1630,4.277906960891579,5.515042838501877,0.19569775225547867,0.19104304367090294,7.685185185185185,7.938271604938271,7.662962962962963
DST,all,ridge1000_base,1630,4.146707146781627,5.365879153846774,0.25440442493543425,0.2517376372784467,8.185185185185185,8.89506172839506,8.370370370370372
DST,all,ridge1000_extended,1630,4.166982018904444,5.387232617806589,0.24296240395534227,0.23603137523139509,8.648148148148149,8.660493827160494,8.403703703703705
DST,all,bayes_base,1630,4.144810498825751,5.364369112505677,0.25511057681549565,0.25239624369255004,8.518518518518519,8.907407407407407,8.437037037037038
DST,all,bayes_extended,1630,4.1445846402843065,5.364607979763234,0.25391422785402484,0.2449191945235528,8.462962962962964,8.753086419753087,8.581481481481482
DST,all,extra16_base,1630,4.152774815992548,5.3515620036513,0.260008600540622,0.25230106481229037,8.574074074074074,8.697530864197532,8.700000000000001
DST,all,extra16_extended,1630,4.150037607138033,5.352176255147273,0.25944617238416345,0.24632056298602084,8.722222222222221,8.80246913580247,8.703703703703704
DST,all,extra40_base,1630,4.175557839985076,5.355660890224664,0.2570379231935641,0.24410018135099318,8.685185185185185,8.703703703703702,8.785185185185187
DST,all,extra40_extended,1630,4.1626451653331715,5.348817005360144,0.26130289601089596,0.2465086549551069,8.685185185185185,9.08641975308642,8.525925925925927
DST,all,cat2_base,1630,4.180792814389627,5.374272609135777,0.24703047869877595,0.2279115300346458,9.62962962962963,8.919753086419755,8.540740740740741
DST,all,cat2_extended,1630,4.178374439916333,5.3659097364400745,0.25180687674757823,0.22904354585007017,9.851851851851851,9.092592592592593,8.45925925925926
DST,all,cat4_base,1630,4.1767010467271,5.3745810872630715,0.24661771273511696,0.23321905094291948,9.166666666666666,8.833333333333334,8.55925925925926
DST,all,cat4_extended,1630,4.174297349009623,5.366260995301381,0.2515682499638867,0.2333167133566382,7.703703703703703,9.061728395061728,8.799999999999999
DST,all,cat6_base,1630,4.179918373486358,5.376795194577883,0.244565864004506,0.23086320646959116,9.018518518518519,8.345679012345679,8.292592592592593
DST,all,cat6_extended,1630,4.182709852766259,5.3706797795382535,0.24809279832076495,0.2284942756511718,9.074074074074074,9.080246913580247,8.585185185185184
DST,all,hist_base,1630,4.158933833365231,5.366210138930074,0.2545532912791186,0.23673096608334745,9.037037037037036,8.58641975308642,8.54814814814815
DST,all,hist_extended,1630,4.181054665879127,5.3789201806891604,0.24676993445811748,0.2281737015651973,9.925925925925926,8.814814814814815,8.374074074074073
DST,all,ridge100_recent,1630,4.344752091313427,5.5702295450943415,0.17655628686831212,0.17591910433666913,8.962962962962964,8.067901234567902,7.592592592592592
DST,all,cat4_recent,1630,4.198900922654674,5.386147466347336,0.23890341098601164,0.21516889935712075,7.833333333333333,8.759259259259258,8.11111111111111
DST,all,extra40_recent,1630,4.169501280743589,5.367553529990558,0.24878522344774592,0.2327774441619354,8.38888888888889,8.78395061728395,8.670370370370373
DST,all,rare_shrink0.5,1630,4.105047002954556,5.350752397800248,0.2677756193924358,0.2589734745993074,9.185185185185185,8.641975308641976,8.574074074074074
DST,all,rare_shrink1.0,1630,4.1048648099777925,5.348803070262269,0.2679813152582945,0.2574292922981679,8.944444444444445,8.518518518518519,8.525925925925925
