feature
def_sack_rate_ewm4
def_sack_rate_ewm10
def_qbhit_rate_ewm4
def_qbhit_rate_ewm10
def_int_rate_ewm4
def_int_rate_ewm10
def_ff_rate_ewm4
def_ff_rate_ewm10
def_fr_rate_ewm10
def_points_allowed_per_play_ewm4
def_points_allowed_per_play_ewm10
def_sacks_ewm4
def_qb_hits_ewm4
dst_fantasy_ewm4
dst_fantasy_ewm10
def_sack_rate_season_mean
def_qbhit_rate_season_mean
def_int_rate_season_mean
def_ff_rate_season_mean
def_points_allowed_per_play_season_mean
dst_fantasy_season_mean
opp_off_epa_play_ewm4
opp_off_epa_play_ewm10
opp_off_pass_epa_play_ewm4
opp_off_pass_epa_play_ewm10
opp_off_rush_epa_play_ewm10
opp_off_yards_play_ewm4
opp_off_yards_play_ewm10
opp_off_sack_rate_allowed_ewm4
opp_off_sack_rate_allowed_ewm10
opp_off_int_rate_ewm4
opp_off_int_rate_ewm10
opp_off_fumble_lost_rate_ewm10
opp_off_pass_rate_ewm4
opp_off_pass_rate_ewm10
opp_off_td_per_play_ewm4
opp_off_td_per_play_ewm10
opp_off_points_per_play_ewm4
opp_off_points_per_play_ewm10
opp_plays_off_ewm4
opp_passing_cpoe_ewm10
opp_off_epa_play_season_mean
opp_off_sack_rate_allowed_season_mean
opp_off_int_rate_season_mean
opp_off_fumble_lost_rate_season_mean
opp_off_td_per_play_season_mean
opp_off_points_per_play_season_mean
is_home
rest_diff
roof_dome
surface_turf
team_game_num
week
off_first_down_rate_ewm4
off_first_down_rate_ewm10
off_big20_rate_ewm4
off_big20_rate_ewm10
def_allowed_first_down_rate_ewm4
def_allowed_first_down_rate_ewm10
def_allowed_big20_rate_ewm4
def_allowed_big20_rate_ewm10
def_allowed_punt_rate_ewm10
def_allowed_air_yards_per_db_ewm10
adj_def_sack_game_ewm4
adj_def_sack_game_ewm10
adj_def_int_game_ewm10
adj_def_points_game_ewm4
adj_def_points_game_ewm10
sack_matchup_interaction
int_matchup_interaction
pressure_pass_interaction
early_phase
mid_phase
late_phase
def_sack_rate_phaseblend
def_qbhit_rate_phaseblend
def_int_rate_phaseblend
def_ff_rate_phaseblend
def_points_allowed_per_play_phaseblend
dst_fantasy_phaseblend
opp2_off_first_down_rate_ewm4
opp2_off_first_down_rate_ewm10
opp2_off_big20_rate_ewm4
opp2_off_big20_rate_ewm10
opp2_off_big40_rate_ewm4
opp2_off_big40_rate_ewm10
opp2_off_punt_rate_ewm4
opp2_off_punt_rate_ewm10
opp2_off_penalty_rate_ewm4
opp2_off_penalty_rate_ewm10
opp2_off_fg_share_scoring_ewm4
opp2_off_fg_share_scoring_ewm10
opp2_off_air_yards_per_db_ewm4
opp2_off_air_yards_per_db_ewm10
opp2_off_pass_first_down_rate_ewm4
opp2_off_pass_first_down_rate_ewm10
opp2_adj_off_sack_game_ewm4
opp2_adj_off_sack_game_ewm10
opp2_adj_off_int_game_ewm4
opp2_adj_off_int_game_ewm10
opp2_adj_off_points_game_ewm4
opp2_adj_off_points_game_ewm10
opp2_off_epa_play_phaseblend
opp2_off_sack_rate_allowed_phaseblend
opp2_off_int_rate_phaseblend
opp2_off_td_per_play_phaseblend
opp2_off_points_per_play_phaseblend
opp2_off_fg_att_per_play_phaseblend
team_spread
total_line
implied_team_total
implied_opp_total
temp
wind
spread_pass_interaction
wind_pass_interaction
new_allowed_fg_att_ewm6
new_allowed_fg_att_ewm16
new_allowed_pat_att_ewm6
new_allowed_pat_att_ewm16
new_allowed_k_points_ewm6
new_allowed_k_points_ewm16
new_allowed_plays_off_ewm6
new_allowed_plays_off_ewm16
new_allowed_long_att_ewm6
new_allowed_long_att_ewm16
new_sack_conversion_ewm6
new_sack_conversion_ewm16
new_recovery_luck_ewm6
new_recovery_luck_ewm16
new_fg_scoring_share_ewm6
new_fg_scoring_share_ewm16
new_points_vs_market_ewm6
new_points_vs_market_ewm16
new_k_points_ewm6
new_k_points_ewm16
new_long_att_ewm6
new_long_att_ewm16
new_fg_att_ewm6
new_fg_att_ewm16
new_pat_att_ewm6
new_pat_att_ewm16
new_plays_off_ewm6
new_plays_off_ewm16
new_off_punt_rate_ewm6
new_off_punt_rate_ewm16
new_off_fg_share_scoring_ewm6
new_off_fg_share_scoring_ewm16
new_off_td_per_play_ewm6
new_off_td_per_play_ewm16
new_off_epa_play_ewm6
