season,week,game_id,team,y,position,player_id,v42,extra40_recent,candidate
2025,1,2025_01_ARI_NO,ARI,11,K,00-0038567,8.605416861025542,8.723811326453317,8.635015477382487
2025,1,2025_01_ARI_NO,NO,7,K,00-0038905,7.992149119627744,8.097070825121026,8.018379546001064
2025,1,2025_01_BAL_BUF,BAL,13,K,00-0040074,8.335576779400997,8.403494077035495,8.352556103809622
2025,1,2025_01_BAL_BUF,BUF,12,K,00-0023853,8.20120920427505,7.797621026245005,8.100312159767538
2025,1,2025_01_CAR_JAX,CAR,5,K,00-0040279,7.448712714730549,8.730691245359123,7.7692073473876935
2025,1,2025_01_CAR_JAX,JAX,15,K,00-0039409,9.152842465458068,8.56529301718763,9.005955103390459
2025,1,2025_01_CIN_CLE,CIN,5,K,00-0036854,9.094075332498598,8.439764525827322,8.930497630830779
2025,1,2025_01_CIN_CLE,CLE,5,K,00-0038428,7.6367715256669655,7.358105085009781,7.56710491550267
2025,1,2025_01_DAL_PHI,DAL,11,K,00-0037692,7.9769278544830655,6.793510811342594,7.681073593697947
2025,1,2025_01_DAL_PHI,PHI,8,K,00-0033787,8.91300069750909,9.424952220958204,9.040988578371369
2025,1,2025_01_DET_GB,DET,7,K,00-0039172,8.209406827982011,7.884533123492688,8.128188401859681
2025,1,2025_01_DET_GB,GB,9,K,00-0029822,8.76495069766698,8.552264453304305,8.711779136576311
2025,1,2025_01_HOU_LA,HOU,14,K,00-0032726,8.41709322348189,8.847586804246239,8.524716618672977
2025,1,2025_01_HOU_LA,LA,2,K,00-0039750,8.676961245582607,8.853323216523295,8.72105173831778
2025,1,2025_01_KC_LAC,KC,11,K,00-0033303,8.72530039208974,9.05730407389899,8.808301312542053
2025,1,2025_01_KC_LAC,LAC,9,K,00-0037224,8.722254541254582,8.820866594962682,8.746907554681608
2025,1,2025_01_LV_NE,LV,11,K,00-0034161,8.33286505119295,8.515291109823856,8.378471565850678
2025,1,2025_01_LV_NE,NE,8,K,00-0040200,8.584116728373225,8.637649110962847,8.59749982402063
2025,1,2025_01_MIA_IND,IND,16,K,00-0039576,8.661963684955516,8.797358306209102,8.695812340268912
2025,1,2025_01_MIA_IND,MIA,0,K,00-0036816,8.423398727040995,8.719244730721229,8.497360227961053
2025,1,2025_01_MIN_CHI,CHI,7,K,00-0031203,8.414279267059781,8.40797280673001,8.412702651977337
2025,1,2025_01_MIN_CHI,MIN,9,K,00-0039404,8.413707159531725,8.643049817186899,8.471042823945519
2025,1,2025_01_NYG_WAS,NYG,8,K,00-0026858,7.781516434260498,7.44699898687481,7.697887072414076
2025,1,2025_01_NYG_WAS,WAS,3,K,00-0035269,8.942939597688268,9.06201489527942,8.972708422086056
2025,1,2025_01_PIT_NYJ,NYJ,10,K,00-0025565,7.85075275510381,8.680380029342516,8.058159573663486
2025,1,2025_01_PIT_NYJ,PIT,14,K,00-0031136,9.151073296920531,8.465072605220152,8.979573123995436
2025,1,2025_01_SF_SEA,SEA,8,K,00-0031492,7.894305808514728,8.248737616875394,7.9829137606048945
2025,1,2025_01_SF_SEA,SF,5,K,00-0038562,8.146669990403334,8.389064311176776,8.207268570596694
2025,1,2025_01_TB_ATL,ATL,9,K,00-0033702,8.25230081973351,8.102009882789545,8.21472808549752
2025,1,2025_01_TB_ATL,TB,6,K,00-0035358,8.994792840701143,8.911427317942204,8.973951460011408
2025,1,2025_01_TEN_DEN,DEN,8,K,00-0032569,8.86925579712285,9.042049184290969,8.91245414391488
2025,1,2025_01_TEN_DEN,TEN,15,K,00-0035192,7.208116631996909,7.041029106587774,7.166344750644626
2025,2,2025_02_ATL_MIN,ATL,18,K,00-0037542,8.537171880022585,8.390809536757713,8.500581294206368
2025,2,2025_02_ATL_MIN,MIN,8,K,00-0039404,9.205463491791111,9.043424521095806,9.164953749117284
2025,2,2025_02_BUF_NYJ,BUF,14,K,00-0023853,9.036988964189764,8.854564754724988,8.99138291182357
2025,2,2025_02_BUF_NYJ,NYJ,6,K,00-0025565,7.856246371888729,7.63502897330979,7.800942022243994
2025,2,2025_02_CAR_ARI,ARI,10,K,00-0038567,8.883116755436948,8.95926385794642,8.902153531064316
2025,2,2025_02_CAR_ARI,CAR,4,K,00-0040279,7.650121470312023,8.315022003417589,7.816346603588414
2025,2,2025_02_CHI_DET,CHI,3,K,00-0031203,8.25785168568516,8.433167102068484,8.301680539780993
2025,2,2025_02_CHI_DET,DET,10,K,00-0039172,9.043022080469395,8.908675319685745,9.009435390273483
2025,2,2025_02_CLE_BAL,BAL,12,K,00-0040074,9.02464692574998,8.536174382718933,8.902528789992218
2025,2,2025_02_CLE_BAL,CLE,5,K,00-0038428,6.627957038669694,6.876796066694828,6.690166795675978
2025,2,2025_02_DEN_IND,DEN,4,K,00-0032569,8.532040620654692,9.135554950966739,8.682919203232704
2025,2,2025_02_DEN_IND,IND,18,K,00-0039576,7.75598148633285,7.696452578239853,7.741099259309601
2025,2,2025_02_JAX_CIN,CIN,7,K,00-0036854,9.018591444254593,8.732402778895102,8.94704427791472
2025,2,2025_02_JAX_CIN,JAX,10,K,00-0039409,7.994157399007297,7.401642014437181,7.846028552864768
2025,2,2025_02_LAC_LV,LAC,8,K,00-0037224,9.176763272930224,9.199725177807196,9.182503749149467
