feature
fg_att_ewm6
fg_att_ewm16
fg_made_ewm6
fg_made_ewm16
pat_att_ewm6
pat_att_ewm16
fg50_att_ewm6
fg50_att_ewm16
fg40_att_ewm16
avg_made_dist_ewm16
fg_pct_shrunk
k_bucket_points_ewm6
k_bucket_points_ewm16
off_epa_play_ewm4
off_epa_play_ewm10
off_yards_play_ewm10
off_td_per_play_ewm4
off_td_per_play_ewm10
off_fg_att_per_play_ewm4
off_fg_att_per_play_ewm10
off_points_per_play_ewm4
off_points_per_play_ewm10
fg_att_ewm4
fg_att_ewm10
pat_att_ewm4
pat_att_ewm10
plays_off_ewm4
off_pass_rate_ewm10
off_epa_play_season_mean
off_fg_att_per_play_season_mean
off_points_per_play_season_mean
opp_def_points_allowed_per_play_ewm4
opp_def_points_allowed_per_play_ewm10
opp_def_sack_rate_ewm10
opp_def_int_rate_ewm10
is_home
rest_diff
roof_dome
surface_turf
k_game_num
week
team_spread
total_line
implied_team_total
implied_opp_total
favored
temp
wind
wind_x_long_skill
fg_missed_ewm6
fg_missed_ewm16
pat_made_ewm6
pat_made_ewm16
fg40_att_ewm6
avg_made_dist_ewm6
k_decimal_points_ewm6
k_decimal_points_ewm16
prior_fgm
prior_fga
fg_att_0_19_ewm6
fg_att_0_19_ewm16
prior_made_0_19
prior_att_0_19
fg_att_20_29_ewm6
fg_att_20_29_ewm16
prior_made_20_29
prior_att_20_29
fg_att_30_39_ewm6
fg_att_30_39_ewm16
prior_made_30_39
prior_att_30_39
fg_att_40_49_ewm6
fg_att_40_49_ewm16
prior_made_40_49
prior_att_40_49
fg_att_50_59_ewm6
fg_att_50_59_ewm16
prior_made_50_59
prior_att_50_59
fg_att_60__ewm6
fg_att_60__ewm16
prior_made_60_
prior_att_60_
prior_pat_made
prior_pat_att
off_first_down_rate_ewm4
off_first_down_rate_ewm10
off_big20_rate_ewm4
off_big20_rate_ewm10
off_punt_rate_ewm4
off_punt_rate_ewm10
off_fg_share_scoring_ewm4
off_fg_share_scoring_ewm10
off_air_yards_per_db_ewm4
off_air_yards_per_db_ewm10
off_pass_first_down_rate_ewm4
off_pass_first_down_rate_ewm10
opp2_def_allowed_first_down_rate_ewm4
opp2_def_allowed_first_down_rate_ewm10
opp2_def_allowed_big20_rate_ewm4
opp2_def_allowed_big20_rate_ewm10
opp2_def_points_allowed_per_play_ewm4
opp2_def_points_allowed_per_play_ewm10
prior_long_made
prior_long_att
prior_mid_made
prior_mid_att
new_allowed_fg_att_ewm6
new_allowed_fg_att_ewm16
new_allowed_pat_att_ewm6
new_allowed_pat_att_ewm16
new_allowed_k_points_ewm6
new_allowed_k_points_ewm16
new_allowed_plays_off_ewm6
new_allowed_plays_off_ewm16
new_allowed_long_att_ewm6
new_allowed_long_att_ewm16
new_sack_conversion_ewm6
new_sack_conversion_ewm16
new_recovery_luck_ewm6
new_recovery_luck_ewm16
new_fg_scoring_share_ewm6
new_fg_scoring_share_ewm16
new_points_vs_market_ewm6
new_points_vs_market_ewm16
new_k_points_ewm6
new_k_points_ewm16
new_long_att_ewm6
new_long_att_ewm16
new_fg_att_ewm6
new_fg_att_ewm16
