position,name,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,v42,True,1630,4.106140170769693,5.354204275868538,0.26710554666600833,0.25730642845803026,9.38888888888889,8.574074074074074,8.511111111111111
DST,market@0.25,False,1630,4.121521072569734,5.342604770873063,0.26848129885879635,0.25872675902564013,9.222222222222221,8.481481481481483,8.644444444444444
DST,market@0.5,False,1630,4.142849270770918,5.339050795328641,0.26841691767666526,0.25757543803191096,9.24074074074074,8.709876543209878,8.8
DST,market@0.75,False,1630,4.171896772610577,5.343558402390701,0.26677407664618663,0.25755317710514336,9.24074074074074,8.697530864197532,8.681481481481482
DST,market@1.0,False,1630,4.207813514478528,5.356107238633131,0.2634879921729893,0.2539268103042129,9.25925925925926,8.814814814814815,8.448148148148148
DST,ridge10_base@0.25,False,1630,4.12423781815856,5.3671795587010624,0.2587397345162298,0.25003744437610387,8.314814814814815,8.512345679012347,8.507407407407406
DST,ridge10_base@0.5,False,1630,4.154464275335941,5.395424672172755,0.243831512681493,0.24135648970944937,8.11111111111111,8.401234567901232,8.322222222222221
DST,ridge10_base@0.75,False,1630,4.196773856107396,5.438701716493081,0.2248581402342935,0.2193678711175908,8.314814814814815,8.358024691358024,8.333333333333334
DST,ridge10_base@1.0,False,1630,4.250191145362213,5.496655648575908,0.20437737874393747,0.2014294282330878,8.981481481481481,8.370370370370368,8.107407407407408
DST,ridge10_extended@0.25,False,1630,4.140242933713229,5.379168202841499,0.2508285579578378,0.24745543432062,8.777777777777779,8.061728395061728,8.314814814814815
DST,ridge10_extended@0.5,False,1630,4.2004318699001715,5.437085835114532,0.22233972082630535,0.22207581208936913,8.277777777777779,8.080246913580245,7.822222222222223
DST,ridge10_extended@0.75,False,1630,4.283560690849105,5.526921285811396,0.189784387671605,0.1857919122364814,8.055555555555555,7.7901234567901225,7.962962962962964
DST,ridge10_extended@1.0,False,1630,4.3885451812117235,5.647151504778052,0.15913184831248275,0.15268680813248506,7.62962962962963,7.950617283950616,7.581481481481482
DST,ridge100_base@0.25,False,1630,4.1189136815168,5.359736931015483,0.26272783987423803,0.25528511475184196,8.092592592592593,8.561728395061728,8.42222222222222
DST,ridge100_base@0.5,False,1630,4.139938157384745,5.375621291227843,0.25352516225931765,0.24965129315640583,8.185185185185185,8.691358024691358,8.348148148148148
DST,ridge100_base@0.75,False,1630,4.1680315508124695,5.401766037025429,0.24063377071304282,0.23671782013784093,8.407407407407407,8.629629629629628,8.333333333333332
DST,ridge100_base@1.0,False,1630,4.204985408295616,5.438023181806898,0.22549755385093592,0.21955204644844162,8.777777777777779,8.487654320987653,8.13703703703704
DST,ridge100_extended@0.25,False,1630,4.129191055207192,5.366573871068626,0.2580545412064314,0.2560878182929853,8.518518518518519,8.43827160493827,8.296296296296298
DST,ridge100_extended@0.5,False,1630,4.163899984249108,5.397748112815441,0.24095211227396587,0.24270536697057882,8.574074074074074,8.191358024691356,7.948148148148149
DST,ridge100_extended@0.75,False,1630,4.214559310705779,5.447404166667592,0.2190414561948837,0.2162008198835836,8.814814814814815,8.018518518518517,7.766666666666668
DST,ridge100_extended@1.0,False,1630,4.277906960891579,5.515042838501877,0.19569775225547867,0.19104304367090294,7.685185185185185,7.938271604938271,7.662962962962963
DST,ridge1000_base@0.25,False,1630,4.111204058157166,5.351273174372862,0.26692360951959404,0.25694868592755826,8.462962962962964,8.481481481481481,8.61851851851852
DST,ridge1000_base@0.5,False,1630,4.120110210780446,5.352244786140382,0.2647998815353761,0.25646163449272785,8.24074074074074,8.734567901234568,8.644444444444446
DST,ridge1000_base@0.75,False,1630,4.13239197964814,5.35711698768487,0.2606202626631947,0.2574063833916014,8.037037037037036,8.783950617283951,8.518518518518519
DST,ridge1000_base@1.0,False,1630,4.146707146781627,5.365879153846774,0.25440442493543425,0.2517376372784467,8.185185185185185,8.89506172839506,8.370370370370372
DST,ridge1000_extended@0.25,False,1630,4.114019364811668,5.353052571136116,0.2657801300075955,0.25935416534660377,9.018518518518519,8.537037037037036,8.655555555555557
DST,ridge1000_extended@0.5,False,1630,4.126845121975719,5.3581890539924695,0.26122503506866146,0.2543948810519819,8.425925925925926,8.660493827160492,8.496296296296297
DST,ridge1000_extended@0.75,False,1630,4.144129084606442,5.369595678881431,0.253490049218119,0.2512594294601419,8.333333333333334,8.5679012345679,8.522222222222224
DST,ridge1000_extended@1.0,False,1630,4.166982018904444,5.387232617806589,0.24296240395534227,0.23603137523139509,8.648148148148149,8.660493827160494,8.403703703703705
DST,bayes_base@0.25,False,1630,4.11088351722204,5.351035177328551,0.26702880626009223,0.2570505374336208,8.462962962962964,8.487654320987655,8.596296296296297
DST,bayes_base@0.5,False,1630,4.119369953934044,5.351675211932537,0.2650713622367607,0.25815848997285645,8.24074074074074,8.790123456790123,8.622222222222224
DST,bayes_base@0.75,False,1630,4.131020127781296,5.356123014153577,0.2611008682452265,0.2578692709112798,8.185185185185185,8.796296296296296,8.55925925925926
DST,bayes_base@1.0,False,1630,4.144810498825751,5.364369112505677,0.25511057681549565,0.25239624369255004,8.518518518518519,8.907407407407407,8.437037037037038
DST,bayes_extended@0.25,True,1630,4.110269028562482,5.349956347545252,0.26739630015030813,0.2589875496530898,9.25925925925926,8.555555555555555,8.700000000000001
DST,bayes_extended@0.5,False,1630,4.1177724470719586,5.350276813064136,0.26547959211550964,0.2574308778115329,8.5,8.537037037037036,8.511111111111113
DST,bayes_extended@0.75,False,1630,4.128871081165946,5.355164852275319,0.2610358459080595,0.2508261566697857,8.37037037037037,8.691358024691358,8.603703703703705
DST,bayes_extended@1.0,False,1630,4.1445846402843065,5.364607979763234,0.25391422785402484,0.2449191945235528,8.462962962962964,8.753086419753087,8.581481481481482
DST,extra16_base@0.25,False,1630,4.11121665106855,5.345178929625104,0.2689869037278425,0.25852861320051224,9.24074074074074,8.641975308641975,8.57777777777778
DST,extra16_base@0.5,False,1630,4.119950517453155,5.341725812154141,0.26863341820525694,0.25617016782740254,8.462962962962964,8.524691358024691,8.570370370370371
DST,extra16_base@0.75,False,1630,4.133683018730845,5.343855725532442,0.26569642108135183,0.25490671618861366,8.87037037037037,8.617283950617285,8.662962962962965
DST,extra16_base@1.0,False,1630,4.152774815992548,5.3515620036513,0.260008600540622,0.25230106481229037,8.574074074074074,8.697530864197532,8.700000000000001
DST,extra16_extended@0.25,True,1630,4.110183214304332,5.345133880836535,0.26901166423627043,0.257784399517598,9.055555555555555,8.654320987654321,8.588888888888889
DST,extra16_extended@0.5,False,1630,4.118154484793389,5.341768278006648,0.2686283253755046,0.25369843923161733,8.814814814814815,8.765432098765432,8.562962962962963
DST,extra16_extended@0.75,False,1630,4.131915412993688,5.344118245630734,0.2655228098377944,0.2505987962632748,8.185185185185185,8.91358024691358,8.614814814814817
DST,extra16_extended@1.0,False,1630,4.150037607138033,5.352176255147273,0.25944617238416345,0.24632056298602084,8.722222222222221,8.80246913580247,8.703703703703704
DST,extra40_base@0.25,False,1630,4.1166868833614405,5.345622772831783,0.2680824028792926,0.2565249322555083,9.333333333333334,8.839506172839505,8.633333333333333
DST,extra40_base@0.5,False,1630,4.130404070228435,5.343002525472566,0.26695527226655996,0.25480986552452856,9.962962962962964,8.641975308641973,8.748148148148148
DST,extra40_base@0.75,False,1630,4.149630392565893,5.346352298632621,0.26334963320853905,0.2501385049189575,8.851851851851851,8.716049382716047,8.888888888888888
DST,extra40_base@1.0,False,1630,4.175557839985076,5.355660890224664,0.2570379231935641,0.24410018135099318,8.685185185185185,8.703703703703702,8.785185185185187
DST,extra40_extended@0.25,False,1630,4.1134809717630425,5.343898996990674,0.2691766861089288,0.2550891522214937,9.24074074074074,8.691358024691356,8.533333333333333
DST,extra40_extended@0.5,False,1630,4.124096180682114,5.339559672762453,0.2692007025587714,0.25264316578351803,9.518518518518519,8.709876543209875,8.625925925925927
DST,extra40_extended@0.75,False,1630,4.1402375986068645,5.341200843872882,0.2666950807685684,0.2500794341681145,8.592592592592593,8.74074074074074,8.711111111111112
DST,extra40_extended@1.0,False,1630,4.1626451653331715,5.348817005360144,0.26130289601089596,0.2465086549551069,8.685185185185185,9.08641975308642,8.525925925925927
