position,year,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,2021,v42,544,4.280096619635227,5.482184720917161,0.2781159482487914,0.2694505548011959,12.11111068725586,8.703703880310059,8.655555725097656
DST,2021,market,544,4.426076734767241,5.492659860107854,0.277126962072805,0.2672198060731575,11.44444465637207,9.5,9.033333778381348
DST,2021,ridge10_base,544,4.384588289252487,5.56174322519138,0.24333699090333302,0.2479884198425819,10.05555534362793,8.814814567565918,8.01111125946045
DST,2021,ridge10_extended,544,4.543653044023586,5.75836311262465,0.1707714966914397,0.15255860523366335,8.777777671813965,7.925925254821777,7.588888168334961
DST,2021,ridge100_base,544,4.325763312572279,5.488450632694825,0.2726139100910337,0.2807884425896506,9.5,8.833333015441895,7.977777481079102
DST,2021,ridge100_extended,544,4.418191185500667,5.593710351802793,0.22416256217998948,0.21324087491387556,10.11111068725586,8.592592239379883,7.3000006675720215
DST,2021,ridge1000_base,544,4.288043818281638,5.433736880995434,0.29909161911367793,0.29269371515092485,9.722222328186035,9.38888931274414,8.35555648803711
DST,2021,ridge1000_extended,544,4.315951195407213,5.462334144139301,0.2817801323914448,0.2741160050762107,10.277777671813965,8.666667938232422,8.199999809265137
DST,2021,bayes_base,544,4.288309140589542,5.434175415143264,0.29865041475976034,0.2917353081676316,9.722222328186035,9.38888931274414,8.35555648803711
DST,2021,bayes_extended,544,4.304473928627837,5.450931171806548,0.28973668437359346,0.27700898862030315,9.44444465637207,8.981481552124023,8.444443702697754
DST,2021,extra16_base,544,4.320574821722269,5.453639291499018,0.28632776446268593,0.2725878496613139,10.05555534362793,9.518519401550293,9.05555534362793
DST,2021,extra16_extended,544,4.339112452842251,5.471665070621719,0.2755164220805846,0.2576096317410206,8.55555534362793,9.370370864868164,9.144444465637207
DST,2021,extra40_base,544,4.360222623271231,5.469875158728178,0.27708587075043695,0.2575457813141539,8.277777671813965,9.259259223937988,8.911110877990723
DST,2021,extra40_extended,544,4.355784609502274,5.467792134339066,0.27845778212206024,0.26352659755972185,8.333333015441895,9.481481552124023,9.14444351196289
DST,2021,cat2_base,544,4.36562940258708,5.493511026489649,0.2656168998224346,0.23668361996157763,9.5,9.259259223937988,8.622221946716309
DST,2021,cat2_extended,544,4.359536949500951,5.483923550415296,0.2706688710525837,0.24476531846699748,10.61111068725586,9.777777671813965,8.422222137451172
DST,2021,cat4_base,544,4.36866947359501,5.501998372317206,0.26004491795134665,0.2422455363871612,8.833333015441895,9.518518447875977,8.588889122009277
DST,2021,cat4_extended,544,4.362564216764508,5.491531255657746,0.26517532983763736,0.24573329400415586,7.666666507720947,9.370370864868164,8.622220993041992
DST,2021,cat6_base,544,4.358923718032348,5.48209979100467,0.26965361524500553,0.24721174437556095,9.0,8.851851463317871,9.255555152893066
DST,2021,cat6_extended,544,4.375074269202627,5.4992719273557285,0.2593464716541032,0.2432890617596846,9.222222328186035,9.0925931930542,8.744443893432617
DST,2021,hist_base,544,4.310632772422505,5.45352736916849,0.28973242896589696,0.2628715827122229,10.833333015441895,9.592594146728516,8.677777290344238
DST,2021,hist_extended,544,4.360460680696161,5.499055961963261,0.26470271173148563,0.23835226346363456,11.38888931274414,8.703703880310059,7.866666793823242
DST,2021,ridge100_recent,544,4.418191185500667,5.593710351802793,0.22416256217998948,0.21324087491387556,10.11111068725586,8.592592239379883,7.3000006675720215
DST,2021,cat4_recent,544,4.362564216764508,5.491531255657746,0.26517532983763736,0.24573329400415586,7.666666507720947,9.370370864868164,8.622220993041992
DST,2021,extra40_recent,544,4.355784609502274,5.467792134339066,0.27845778212206024,0.26352659755972185,8.333333015441895,9.481481552124023,9.14444351196289
DST,2022,v42,542,3.788111296405619,5.001289631999039,0.23284809788430147,0.22353117106596077,6.833333492279053,8.222221374511719,8.044445037841797
DST,2022,market,542,3.911357736235615,5.027161203020888,0.21771413528370095,0.2092595474460046,7.611111164093018,8.129629135131836,7.588888168334961
DST,2022,ridge10_base,542,4.003629847237676,5.275619827578867,0.12409506796683403,0.12886018065284657,7.388888835906982,7.537037372589111,7.433333396911621
DST,2022,ridge10_extended,542,4.188034758838024,5.46691804602047,0.08521705299018754,0.09352834313517368,6.611111164093018,7.518518924713135,7.077778339385986
DST,2022,ridge100_base,542,3.9461068621654136,5.1835127077163605,0.15140839354338556,0.14908473551956405,7.888888835906982,7.870370864868164,7.855555057525635
DST,2022,ridge100_extended,542,4.042552888449855,5.2885637310448885,0.12380244000709514,0.12879950352028446,6.111111164093018,6.94444465637207,7.488889217376709
DST,2022,ridge1000_base,542,3.853171693718038,5.047398877583941,0.19989460049142602,0.2066230479988126,6.833333492279053,8.148148536682129,8.022221565246582
DST,2022,ridge1000_extended,542,3.876143789632713,5.083852697370631,0.1860997329510154,0.18140129750163914,7.833333492279053,8.351851463317871,8.422222137451172
DST,2022,bayes_base,542,3.8512815481454235,5.04516949781064,0.2008163520009077,0.20685737414047364,6.833333492279053,8.148148536682129,8.022221565246582
DST,2022,bayes_extended,542,3.8330398384614304,5.031009603917598,0.20762015031059947,0.2066998991832465,7.5,8.44444465637207,8.55555534362793
DST,2022,extra16_base,542,3.8432859652925355,5.012353625814364,0.21543800705702285,0.2074908931504118,7.166666507720947,7.851851463317871,7.866666316986084
DST,2022,extra16_extended,542,3.8263734379282073,5.007144780527435,0.21789748128884964,0.20406198974438267,7.833333492279053,7.629630088806152,7.766666889190674
DST,2022,extra40_base,542,3.8524582207732676,5.005275206782436,0.2184886190722477,0.21283935069961707,8.166666984558105,8.240741729736328,8.355554580688477
DST,2022,extra40_extended,542,3.8353026906640517,4.998432674425396,0.22073270401977174,0.21202330076075532,8.38888931274414,8.537036895751953,7.733334064483643
DST,2022,cat2_base,542,3.858439652154027,5.030976936881199,0.19909034793065858,0.20181687330158316,9.833333015441895,8.55555534362793,8.066666603088379
DST,2022,cat2_extended,542,3.8653848319367987,5.012913121430563,0.21239721095331607,0.20751994047825809,9.44444465637207,7.777777671813965,7.644444942474365
DST,2022,cat4_base,542,3.8546333301845794,5.021156933332417,0.20876117181907575,0.20520863343988605,7.666666507720947,8.037036895751953,7.766666889190674
DST,2022,cat4_extended,542,3.8610193061869498,5.02050001384403,0.208336699813976,0.20266530445109343,6.5,7.81481409072876,8.022222518920898
DST,2022,cat6_base,542,3.8720733679424777,5.053828953076655,0.18675696003943815,0.19171266881139648,9.44444465637207,7.333333492279053,7.288889408111572
DST,2022,cat6_extended,542,3.8589888179983953,5.031252213466819,0.20096415857855188,0.18978731483335998,8.38888931274414,8.296296119689941,7.766666889190674
DST,2022,hist_base,542,3.856612707634122,5.047504691957108,0.1972335807508398,0.18491270720632136,8.05555534362793,7.870370864868164,7.59999942779541
DST,2022,hist_extended,542,3.864744128013925,5.040857919904573,0.20089016799700976,0.18674953038390185,8.722222328186035,8.018518447875977,7.5
DST,2022,ridge100_recent,542,4.1084091098581474,5.308758304481159,0.12166898329502925,0.1276172181338872,7.5,7.388888835906982,7.266666889190674
DST,2022,cat4_recent,542,3.889943665623798,5.043815351768946,0.18821112899044024,0.18160989146218234,6.55555534362793,6.722222805023193,7.133333206176758
DST,2022,extra40_recent,542,3.8576873656728177,5.018394252892495,0.20702254048773439,0.199750151251842,7.44444465637207,8.074073791503906,8.177778244018555
DST,2023,v42,544,4.249043372465424,5.560739783190679,0.27243514476187397,0.278937559506934,9.222222328186035,8.796297073364258,8.833333015441895
DST,2023,market,544,4.284916161614306,5.5325794144711455,0.2844798648438434,0.28530107739347665,8.722222328186035,8.814814567565918,8.722222328186035
