position,rank,pfr_name,prospect_model_percentile,outcome_percentile,prospect_percentile_reference_n,draft_team,draft_round,draft_pick,pred_best2of3_ppg,pred_peak3_ppg,pred_rookie_ppg,pred_avg3_ppg,pred_total3_ppr,pred80_low,pred80_high,pred90_low,pred90_high,hit_probability,college_match,fuzzy_match,scout_boost,percentile_bucket,historical_bucket_n,historical_hit_rate,historical_hit_rate_ci_low,historical_hit_rate_ci_high,historical_star_rate,historical_star_rate_ci_low,historical_star_rate_ci_high,historical_bucket_mean_primary_ppg
QB,1,Fernando Mendoza,97.72727272727272,90.18691588785047,176,LVR,1,1,16.07838786703899,17.676540350130104,12.03491382568584,13.548131378816148,661.9295136849136,10.207449525936074,21.94932620814191,7.780908988457382,24.3758667456206,0.48582318,1.0,0.0,1.1205299999117333,95-100,9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.3333333333333333,0.12058159868274293,0.6458026525009102,13.364383169934639
QB,2,Ty Simpson,89.20454545454545,83.64485981308411,176,LAR,1,13,13.029138068869283,14.706321503864118,7.578099168375301,10.526885914385703,515.0984763659812,7.158199727766367,18.9000764099722,4.731659190287674,21.32661694745089,0.43218362,1.0,0.0,-0.5703349192736467,80-90,18,0.3888888888888889,0.20304991926931162,0.6138133141934384,0.3333333333333333,0.1627855436366286,0.5625093065574964,13.720467728758171
QB,3,Carson Beck,73.29545454545455,69.62616822429906,176,ARI,3,65,6.6289831078224655,7.849878354171141,4.750641239110542,5.663779979071659,266.8295534766596,0.7580447667195491,12.49992144892538,0.0,14.926461986404076,0.05893855,1.0,0.0,0.560031103215251,60-80,35,0.22857142857142856,0.12065736746179101,0.39017637780102,0.08571428571428572,0.02958183100529692,0.22379599071162515,6.673099789915967
QB,4,Drew Allar,63.06818181818182,62.149532710280376,176,PIT,3,76,3.798320480793715,5.431105010442067,1.8356115042776309,2.8448344359668463,134.62652783268584,0.0,9.669258821896632,0.0,12.095799359375324,0.100314625,1.0,0.0,-1.5814536457282171,60-80,35,0.22857142857142856,0.12065736746179101,0.39017637780102,0.08571428571428572,0.02958183100529692,0.22379599071162515,6.673099789915967
QB,5,Cade Klubnik,54.54545454545454,57.943925233644855,176,NYJ,4,110,2.431670815460159,3.116183863742612,1.511316561239208,1.5780590799979768,81.31868469521403,0.0,8.302609156563076,0.0,10.729149694041768,0.12236779,1.0,0.0,-1.1513317268250476,40-60,35,0.17142857142857143,0.08102529944856719,0.3268260763958882,0.11428571428571428,0.0453510585448975,0.2595179478812023,3.8079915966386557
QB,6,Garrett Nussmeier,49.43181818181818,56.54205607476636,176,KAN,7,249,2.1715243196379284,2.741687615576565,0.7015661461527619,1.4469723307133344,67.28637341449804,0.0,8.042462660740846,0.0,10.469003198219538,0.051333405,1.0,0.0,-2.119475924087126,40-60,35,0.17142857142857143,0.08102529944856719,0.3268260763958882,0.11428571428571428,0.0453510585448975,0.2595179478812023,3.8079915966386557
QB,7,Taylen Green,39.77272727272727,55.60747663551402,176,CLE,6,182,1.8476005965705269,3.192197654764364,1.387394772220489,1.2791567662542458,59.747773757273805,0.0,7.7185389376734435,0.0,10.145079475152135,0.11004911,1.0,0.0,-3.3203944968420216,20-40,35,0.0,0.0,0.09890426758938868,0.0,0.0,0.09890426758938868,0.8866144957983193
QB,8,Athan Kaliakmanis,34.090909090909086,51.4018691588785,176,WAS,7,223,1.467641871581196,2.220073941684886,0.4163086962391016,0.939228731217288,49.49315769307185,0.0,7.338580212684112,0.0,9.765120750162804,0.06351283,1.0,0.0,-1.0476512405177312,20-40,35,0.0,0.0,0.09890426758938868,0.0,0.0,0.09890426758938868,0.8866144957983193
QB,9,Cole Payton,25.568181818181817,49.06542056074766,176,PHI,5,178,1.1618229532545394,2.0787697086054417,0.5050296769262488,0.7986404360457489,37.91160913453201,0.0,7.032761294357456,0.0,9.459301831836148,0.05005873,0.0,0.0,-0.5561570427679161,20-40,35,0.0,0.0,0.09890426758938868,0.0,0.0,0.09890426758938868,0.8866144957983193
QB,10,Behren Morton,5.113636363636364,43.925233644859816,176,NWE,7,234,0.6617588760309832,0.9896094552413968,0.2401842712512745,0.4443414750173812,22.93976937682672,0.0,6.532697217133899,0.0,8.959237754612593,0.046436373,1.0,0.0,-0.9050613604798086,0-20,35,0.0,0.0,0.09890426758938868,0.0,0.0,0.09890426758938868,1.0597247899159667
RB,1,Jeremiyah Love,100.0,94.48441247002398,373,ARI,1,3,16.055744652459907,18.08996299548002,13.78744693598324,13.551823743985404,652.8937336552253,11.415570466327402,20.69591883859241,9.740251737943804,22.371237566976014,0.5895365,1.0,0.0,1.9894954158977287,95-100,19,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.47368421052631576,0.27329505487448547,0.6829251748817489,14.884707817337462
RB,2,Jadarian Price,96.7828418230563,86.33093525179856,373,SEA,1,32,12.184896460151636,14.107894936342582,8.42138041422157,9.923270840230018,484.6153691060831,7.544722274019131,16.82507064628414,5.869403545635532,18.50038937466774,0.25518522,1.0,0.0,1.6667279389341831,95-100,19,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.47368421052631576,0.27329505487448547,0.6829251748817489,14.884707817337462
RB,3,Kaelon Black,71.84986595174263,66.90647482014388,373,SFO,3,90,6.40941041769222,7.44372057614759,4.881754623361127,5.359231670397843,262.013405616464,1.7692362315597148,11.049584603824725,0.0939175031761152,12.724903332208324,0.1336853,1.0,0.0,0.7220071743254151,60-80,75,0.14666666666666667,0.08391630937003362,0.24384974306928775,0.10666666666666667,0.05504846963856164,0.19661562647313574,6.531868137254903
RB,4,Eli Heidenreich,59.78552278820375,59.71223021582733,373,PIT,7,230,4.766462086744459,5.88928899351823,2.671631430268176,3.733659359494729,184.17172276044369,0.1262879006119543,9.406636272876964,0.0,11.081955001260564,0.13900888,1.0,0.0,-1.3226058404888272,40-60,74,0.0945945945945946,0.04657934593059061,0.1826245758798552,0.04054054054054054,0.01388217957959554,0.1125489318055764,4.472324125596184
RB,5,Mike Washington Jr.,57.37265415549599,58.27338129496403,373,LVR,4,122,4.532991907294855,5.6044330212156535,3.0824109576160152,3.608521795653246,178.1579780148885,0.0,9.17316609342736,0.0,10.84848482181096,0.028827263,1.0,0.0,0.3217745368479052,40-60,74,0.0945945945945946,0.04657934593059061,0.1826245758798552,0.04054054054054054,0.01388217957959554,0.1125489318055764,4.472324125596184
RB,6,Jonah Coleman,51.7426273458445,55.87529976019184,373,DEN,4,108,4.114206373471667,5.094621757670309,3.6863644065316006,3.231275048220128,157.77423851923126,0.0,8.754380559604172,0.0,10.429699287987772,0.10332628,1.0,0.0,0.0428165365164954,40-60,74,0.0945945945945946,0.04657934593059061,0.1826245758798552,0.04054054054054054,0.01388217957959554,0.1125489318055764,4.472324125596184
RB,7,Emmett Johnson,40.48257372654155,52.51798561151079,373,KAN,5,161,3.431561093491017,4.330980114926616,2.2164017887888923,2.706285544056682,131.4782970293856,0.0,8.071735279623521,0.0,9.747054008007122,0.04804986,1.0,0.0,-0.5462537332012927,40-60,74,0.0945945945945946,0.04657934593059061,0.1826245758798552,0.04054054054054054,0.01388217957959554,0.1125489318055764,4.472324125596184
RB,8,Demond Claiborne,36.193029490616624,50.83932853717026,373,MIN,6,198,2.9955772862473444,3.7062395564252952,1.228266299783869,2.2501846775841328,109.71418947141782,0.0,7.63575147237985,0.0,9.31107020076345,0.036804777,1.0,0.0,-0.5014008286743366,20-40,75,0.02666666666666667,0.00734353502360055,0.09211664843284882,0.0,0.0,0.04872554590470005,2.525513725490196
