calibration_type,position,minimum_percentile,n,hit_rate,hit_rate_ci_low,hit_rate_ci_high,star_rate,star_rate_ci_low,star_rate_ci_high,mean_primary_ppg
pooled_reference,QB,50,89,0.3258426966292135,0.2374382846345705,0.42865967145407946,0.20224719101123595,0.1319367734752211,0.29719844177311583,9.30936508592201
pooled_reference,QB,60,71,0.3380281690140845,0.2388482890600142,0.4538359934780396,0.2112676056338028,0.13242435724642304,0.3197519724953249,10.291125724937865
pooled_reference,QB,70,53,0.4528301886792453,0.3265736816014746,0.585462573535608,0.2830188679245283,0.17966135362950314,0.4157054200010772,12.462648446170922
pooled_reference,QB,80,36,0.4444444444444444,0.2954102987654314,0.6041921268399659,0.3333333333333333,0.20214424774586046,0.49666302907033155,13.808650939542481
pooled_reference,QB,90,18,0.5,0.2903070395897999,0.7096929604102,0.3333333333333333,0.1627855436366286,0.5625093065574964,13.896834150326796
pooled_reference,QB,95,9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.3333333333333333,0.12058159868274293,0.6458026525009102,13.364383169934639
pooled_reference,RB,50,187,0.2620320855614973,0.2042486261779336,0.3293960299138199,0.1657754010695187,0.11931407186804938,0.22569246758666067,8.124412354513998
pooled_reference,RB,60,150,0.29333333333333333,0.22636309522530063,0.37062497562159646,0.19333333333333333,0.13811802293025152,0.2638642757457893,8.75234730392157
pooled_reference,RB,70,112,0.35714285714285715,0.27449449776286317,0.44926622377413217,0.24107142857142858,0.17129352746057164,0.32802278032523247,9.860848214285713
pooled_reference,RB,80,75,0.44,0.3333127597678485,0.5525343057407155,0.28,0.19103020085378442,0.3904090393442836,10.972826470588236
pooled_reference,RB,90,38,0.6052631578947368,0.4471758699869596,0.7440214073638108,0.42105263157894735,0.2785227481181953,0.5780792938687267,13.388699690402476
pooled_reference,RB,95,19,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.47368421052631576,0.27329505487448547,0.6829251748817489,14.884707817337462
pooled_reference,WR,50,263,0.26996197718631176,0.21990448043197391,0.3266429844310758,0.155893536121673,0.11704114819699332,0.20465381990393247,7.176035422724223
pooled_reference,WR,60,211,0.3127962085308057,0.2540563518493924,0.3782308774395348,0.1943127962085308,0.1465880635697102,0.2529695640033483,8.103943406746586
pooled_reference,WR,70,158,0.3670886075949367,0.29591429764743205,0.4445726970436734,0.22784810126582278,0.1693633330550343,0.2992528941696101,8.963918000744602
pooled_reference,WR,80,106,0.4056603773584906,0.317073366903354,0.500846255534775,0.24528301886792453,0.17323643086887058,0.3351465497140779,9.402544741953385
pooled_reference,WR,90,53,0.5283018867924528,0.3965985230075645,0.6561797239101858,0.3018867924528302,0.19518140287607166,0.43537086869967556,10.209488762486128
pooled_reference,WR,95,27,0.5925925925925926,0.4072638305536409,0.7548548662714265,0.2962962962962963,0.15852853317647564,0.4848103338083759,10.68704248366013
pooled_reference,TE,50,117,0.27350427350427353,0.2009012531479607,0.36050806284917936,0.10256410256410256,0.059649032176476595,0.17074844683737292,4.872574157868275
pooled_reference,TE,60,93,0.3118279569892473,0.2267273118974027,0.411857758981228,0.11827956989247312,0.06734368519538154,0.19950031572984073,5.4039136622390895
