calibration_type,position,percentile_bucket,n,hit_rate,hit_rate_ci_low,hit_rate_ci_high,star_rate,star_rate_ci_low,star_rate_ci_high,mean_primary_ppg,median_primary_ppg,mean_prospect_score
pooled_reference,QB,0-20,35,0.0,0.0,0.09890426758938868,0.0,0.0,0.09890426758938868,1.0597247899159667,0.0425,0.7624105195688955
pooled_reference,QB,20-40,35,0.0,0.0,0.09890426758938868,0.0,0.0,0.09890426758938868,0.8866144957983193,0.04,1.3353904522823685
pooled_reference,QB,40-60,35,0.17142857142857143,0.08102529944856719,0.3268260763958882,0.11428571428571428,0.0453510585448975,0.2595179478812023,3.8079915966386557,0.315,2.263324086052485
pooled_reference,QB,60-80,35,0.22857142857142856,0.12065736746179101,0.39017637780102,0.08571428571428572,0.02958183100529692,0.22379599071162515,6.673099789915967,5.118125,5.890602689229862
pooled_reference,QB,80-90,18,0.3888888888888889,0.20304991926931162,0.6138133141934384,0.3333333333333333,0.1627855436366286,0.5625093065574964,13.720467728758171,14.2184375,11.631887246726553
pooled_reference,QB,90-95,9,0.4444444444444444,0.188775429471914,0.7333526542559703,0.3333333333333333,0.12058159868274293,0.6458026525009102,14.429285130718954,14.7175,14.545789078233692
pooled_reference,QB,95-100,9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.3333333333333333,0.12058159868274293,0.6458026525009102,13.364383169934639,14.599999999999998,16.607149671972845
pooled_reference,RB,0-20,74,0.04054054054054054,0.01388217957959554,0.1125489318055764,0.013513513513513514,0.0023894018749393217,0.07265530429759565,1.58100009936407,0.20312499999999994,0.9492803211147712
pooled_reference,RB,20-40,75,0.02666666666666667,0.00734353502360055,0.09211664843284882,0.0,0.0,0.04872554590470005,2.525513725490196,1.546875,2.6008473934940177
pooled_reference,RB,40-60,74,0.0945945945945946,0.04657934593059061,0.1826245758798552,0.04054054054054054,0.01388217957959554,0.1125489318055764,4.472324125596184,2.8635110294117645,4.033128531644234
pooled_reference,RB,60-80,75,0.14666666666666667,0.08391630937003362,0.24384974306928775,0.10666666666666667,0.05504846963856164,0.19661562647313574,6.531868137254903,5.8375,6.076489335421001
pooled_reference,RB,80-90,37,0.2702702702702703,0.15397298246990684,0.4297847547392133,0.13513513513513514,0.059132072625076235,0.2797772747070557,8.491659379968205,8.877757352941178,8.390995069690913
