position,oof_n,first_oof_year,last_oof_year,spearman_percentile_vs_primary_ppg,hit_auc,star_auc,temporal_n,temporal_spearman_vs_primary_ppg,temporal_hit_auc,temporal_star_auc
QB,176,2008,2023,0.6572324515709533,0.8447488584474887,0.8323835065370433,139,0.6695285915148944,0.8389473684210527,0.8232323232323232
RB,373,2007,2023,0.6409745949709863,0.8113452005407842,0.843048128342246,322,0.6713325644479333,0.8256931316950221,0.8895166352793472
WR,525,2007,2023,0.5909712775315956,0.8270786516853934,0.818507760733412,491,0.5837843201030317,0.8226762820512821,0.8156665282392027
TE,232,2008,2023,0.6281870003836989,0.8097515610468978,0.7554531490015362,197,0.6431189583256643,0.8086419753086419,0.7429742388758782
