position,architecture,feature_set,model,blend,val_n,val_mae,val_rmse,val_r2,val_pearson,val_spearman,val_yearly_spearman,val_ndcg,val_top5_actual,val_top5_regret,capval_n,capval_mae,capval_rmse,capval_r2,capval_pearson,capval_spearman,capval_yearly_spearman,capval_ndcg,capval_top5_actual,capval_top5_regret,test_n,test_mae,test_rmse,test_r2,test_pearson,test_spearman,test_yearly_spearman,test_ndcg,test_top5_actual,test_top5_regret,captest_n,captest_mae,captest_rmse,captest_r2,captest_pearson,captest_spearman,captest_yearly_spearman,captest_ndcg,captest_top5_actual,captest_top5_regret
QB,direct,capital_prod_context,extra,"{'weight_a': 1.0, 'other': None}",42,1.3970828731826745,2.140515884110435,0.9064984012068134,0.9528589424236603,0.9726142804538965,0.9734014090928644,0.997231318541313,11.77225919117647,4.440892098500626e-16,42,3.712438501004097,5.452990978231748,0.3931914583886823,0.6354226966176597,0.5595818519948331,0.47634089609065083,0.8799550408714618,9.653014705882352,2.119244485294119,5,1.4435439515345387,1.8623529421720144,0.8632185638866339,0.9900974493908261,0.8999999999999998,0.8999999999999998,0.9989954588263429,8.05964705882353,0.0,5,3.0045012305910928,3.6048642460988205,0.48751517592304283,0.8547795595952102,0.8999999999999998,0.8999999999999998,0.968344622220057,8.05964705882353,0.0
RB,direct,full_landing_scout,extra,"{'weight_a': 1.0, 'other': None}",86,1.0958261066144928,1.6531196674821587,0.899226318236944,0.9555698274785948,0.9647580345160234,0.9566950074180105,0.9717615650440925,12.547321691176471,0.3328125000000002,86,2.9703568933826943,3.8383498922045045,0.45671506493697855,0.6978183675207237,0.6685795170080521,0.6810600479306655,0.930494549146565,11.064454044117648,1.8156801470588233,7,4.15762295757628,4.585964819400814,0.597398021208736,0.8384672692963339,0.9285714285714288,0.9285714285714288,0.9869692828510485,15.886470588235293,0.0,7,5.173093490496706,6.3216292829564384,0.23498048159148643,0.7468492851507332,0.6071428571428572,0.6071428571428572,0.9635902160214505,12.674117647058821,3.212352941176471
WR,direct,capital_production,extra,"{'weight_a': 1.0, 'other': None}",126,0.9193210947475678,1.3919086465330717,0.926180612689216,0.9629584541820203,0.9672263465254451,0.9643224898934678,0.9881662383495138,13.745540441176471,0.4370459558823532,126,3.2301341084917077,4.065828858850563,0.370135460045784,0.6097921190517309,0.6160184356225535,0.6184240215023125,0.8914699773712718,11.161856617647059,3.020729779411765,14,1.3731751382183393,1.637084442266385,0.8409374124813801,0.9409028009345102,0.9384615384615385,0.9384615384615385,0.9961783789344362,13.291764705882354,0.09823529411764298,14,3.6128471327940264,4.10711824726297,-0.0011526329367006483,0.5959945011374302,0.5956043956043956,0.5956043956043956,0.9679060662506171,11.543529411764707,1.8464705882352899
TE,direct,capital_prod_context,extra,"{'weight_a': 1.0, 'other': None}",58,0.8064036159619486,1.0233168811891427,0.8914925320985433,0.9542203819175764,0.9151150953421153,0.91493745803354,0.9924885589545049,6.285413602941176,0.13079963235294167,58,1.9505653977777164,2.474234329007857,0.36566159117052777,0.6291967355132468,0.5621557601460914,0.5433833871039682,0.9251078870840924,4.579163602941177,1.837049632352941,9,1.2442915985550227,1.4788095505129497,0.8172353498095378,0.9142627150009205,0.9333333333333332,0.9333333333333332,0.9451296084313331,7.794705882352941,0.0,9,2.4950430604532925,3.0149950780005463,0.2403021083424981,0.5210328562921813,0.5666666666666667,0.5666666666666667,0.9147687854956682,6.142352941176471,1.6523529411764706
