architecture,feature_set,model,score,n,mae,rmse,r2,pearson,spearman,yearly_spearman,ndcg,top5_actual,top5_regret
direct,capital_prod_context,extra,0.6780265675900049,190,1.17148627548995,1.791407777416724,0.868816700436775,0.9358204080969114,0.9585908115077182,0.9557923808344558,0.9811287862194226,12.848916666666668,0.39106249999999915
direct,full_landing_scout,extra,0.6762390999597058,190,1.1851045971002188,1.8203221167618429,0.8645477788559413,0.9338245499727701,0.9598945815788976,0.9578330678771056,0.9700021783664874,12.848916666666668,0.39106249999999915
direct,full_landing_scout_classpct,extra,0.6762390999597058,190,1.1851045971002188,1.8203221167618429,0.8645477788559413,0.9338245499727703,0.9598945815788976,0.9578330678771056,0.9700021783664874,12.848916666666668,0.39106249999999915
direct,capital_production,extra,0.6719360727762101,190,1.18610547594009,1.8344879912198953,0.8624313784047105,0.9318380069669967,0.9559858999340514,0.9515436126897727,0.9725046724667225,12.746145833333332,0.4938333333333332
direct,full_landing_scout,xgb,0.6608047119626923,190,1.2181960994771828,1.8215592768813165,0.8643635993306916,0.9315376906673575,0.9367806725287431,0.9310278377612516,0.9688202936073789,12.814895833333333,0.425083333333333
direct,full_landing_scout_classpct,xgb,0.6608047119626923,190,1.2181960994771828,1.8215592768813165,0.8643635993306916,0.9315376906673575,0.9367806725287431,0.9310278377612516,0.9688202936073789,12.814895833333333,0.425083333333333
direct,capital_prod_context,xgb,0.658679653140571,190,1.222832979841452,1.8055279106954367,0.8667405390561458,0.9328288631732432,0.9324356768338091,0.9292076631178383,0.9683451834323309,12.814895833333333,0.425083333333333
direct,capital_production,xgb,0.6495220892086468,190,1.2079376429492903,1.829321105087816,0.8632052187466784,0.9298921646409269,0.9322823436601153,0.92627648346908,0.9699446340238996,12.369375,0.8706041666666661
direct,capital_production,ridge,0.6345165086058154,190,1.4457926486243362,1.9940169753578902,0.8374648329813308,0.9157576983857785,0.9042144871680714,0.8979682790897039,0.9686793653680724,12.761250000000002,0.4787291666666664
hurdle,capital_production,xgbH,0.6316330284004058,190,1.4734647256749422,1.9382412727291043,0.8464303785341172,0.936089020885967,0.8987961309045139,0.9063632116260635,0.9718873438189072,12.644375000000002,0.5956041666666664
hurdle,capital_prod_context,xgbH,0.6279932681224047,190,1.5465903964442096,1.9702523254859845,0.8413159277762005,0.9342922383838266,0.8889959506315691,0.8984573988025376,0.9713049301355428,12.8253125,0.4146666666666663
hurdle,full_landing_scout,xgbH,0.6279059248737207,190,1.5543581676493572,1.9814942464980636,0.8394999135171108,0.9337915660857827,0.889794159324341,0.8999517145743932,0.9691936859364945,12.8253125,0.4146666666666663
hurdle,full_landing_scout_classpct,xgbH,0.6279059248737207,190,1.5543581676493572,1.9814942464980636,0.8394999135171108,0.9337915660857827,0.889794159324341,0.8999517145743932,0.9691936859364945,12.8253125,0.4146666666666663
residual,capital_production,ridgeR,0.6221828302790232,190,1.5025265973499102,2.0858187353319777,0.8221545463360383,0.9069836120659002,0.9013677472747502,0.8991375500024437,0.9654364119245753,12.323333333333332,0.9166458333333329
residual,capital_prod_context,xgbR,0.6034736172826349,190,1.5095521495147786,2.181325952682055,0.8054949988683655,0.8978381828244044,0.8922133187104474,0.8862399595820477,0.9308521979246934,12.046145833333334,1.193833333333333
residual,full_landing_scout,xgbR,0.5989790836260714,190,1.5297505779709282,2.202877528701629,0.8016325799403047,0.895656712886147,0.8892369027616595,0.882863156305638,0.9291348358903099,11.959895833333334,1.280083333333333
residual,full_landing_scout_classpct,xgbR,0.5989790836260714,190,1.5297505779709282,2.202877528701629,0.8016325799403047,0.895656712886147,0.8892369027616595,0.882863156305638,0.9291348358903099,11.959895833333334,1.280083333333333
residual,capital_production,xgbR,0.598505270216531,190,1.4103988698910928,2.099635177127206,0.8197906500660065,0.9056909162545324,0.8985884739778544,0.8917430979036111,0.9337853109015443,11.471874999999999,1.7681041666666666
hurdle,capital_production,ridgeH,0.5950277773746495,190,1.6598408520379586,2.145786761529412,0.8117813029773321,0.9121698148408499,0.8460574048599169,0.8573964218911422,0.9628626724902856,12.610375,0.6296041666666671
direct,capital_prod_context,ridge,0.5824788869202983,190,1.7494932632176643,2.391968093701847,0.7661160584996158,0.8776170516386251,0.8673786017094329,0.8567623203445397,0.937886485075183,12.031895833333332,1.2080833333333336
residual,capital_prod_context,ridgeR,0.5818068978453002,190,1.7410496922742853,2.383790304573692,0.7677125547218482,0.876673499661437,0.875412383821425,0.8608552402787598,0.9415917989506261,11.777729166666667,1.4622500000000003
direct,full_landing_scout_classpct,ridge,0.5806105129782977,190,1.8714739152565585,2.508869429295879,0.7426964615247004,0.8665193369836653,0.8599747998939316,0.8456085253042608,0.9420991994369459,12.315958333333334,0.924020833333333
direct,full_landing_scout,ridge,0.5806105129782977,190,1.8714739152565585,2.508869429295879,0.7426964615247004,0.8665193369836653,0.8599747998939316,0.8456085253042608,0.9420991994369459,12.315958333333334,0.924020833333333
residual,full_landing_scout,ridgeR,0.5786985536738538,190,1.8455687616977583,2.4790251443222138,0.7487815666186939,0.8670619533289768,0.8637354055024679,0.8573229851408303,0.9398478922512994,12.031895833333332,1.2080833333333338
residual,full_landing_scout_classpct,ridgeR,0.5786985536738538,190,1.8455687616977583,2.4790251443222138,0.7487815666186939,0.8670619533289768,0.8637354055024679,0.8573229851408303,0.9398478922512994,12.031895833333332,1.2080833333333338
hurdle,capital_prod_context,ridgeH,0.5355155128015486,190,2.057509909642134,2.9089297297652514,0.6540955892149218,0.8139779540351901,0.8249754077613634,0.825462861983937,0.9228224082418749,11.39979166666667,1.840187499999999
hurdle,full_landing_scout,ridgeH,0.5254613986913309,190,2.134935930620895,3.068468444027898,0.6151132484351991,0.7890629264550341,0.8111368697881053,0.8091224721946607,0.9233115540487539,11.418229166666668,1.8217499999999998
hurdle,full_landing_scout_classpct,ridgeH,0.5254613986913309,190,2.134935930620895,3.068468444027898,0.6151132484351991,0.7890629264550341,0.8111368697881053,0.8091224721946607,0.9233115540487539,11.418229166666668,1.8217499999999998
