position,season,n,mae,rmse,r2,pearson,spearman
QB,2019,11,3.1447207934260892,4.405829243601191,0.5648297606236029,0.7591372261009293,0.5922566618516668
QB,2020,12,3.56238625591898,5.376540927995803,0.6261391249842818,0.7973485377171993,0.7075317330217298
QB,2021,10,4.229102508581257,5.735040935783999,0.1611736794084231,0.71540209915556,0.6606060606060605
QB,2022,9,4.393870046121906,5.803918459628917,-0.30934681164242206,0.02908720460857026,-0.00836827408755723
QB,2023,5,4.9999361007105145,5.68239853944175,-0.27340502860057514,0.844117907009664,0.7
RB,2019,25,2.4021922340648785,3.006344027481474,0.6009324104640729,0.8150891885724117,0.6874520897676935
RB,2020,18,2.96058607550333,3.698261831264082,0.4907747951613808,0.7494687186204639,0.8142414860681115
RB,2021,20,2.6010901349288154,3.3247465623554735,0.5723469005129718,0.7816828368131439,0.8266266097929232
RB,2022,23,3.723311913888701,4.532061354746696,0.3617054280320813,0.6428804576565915,0.6439337977654885
RB,2023,7,4.975953476415765,6.031983202027213,0.30347819880264215,0.8372274632583826,0.8928571428571429
WR,2019,28,4.351075466529821,5.331668958076898,0.10099956755353001,0.3779391386822869,0.39791587812509893
WR,2020,35,3.2623624476123783,4.07516481094091,0.346388840953449,0.6154987753164674,0.5627450980392157
WR,2021,35,3.324364686087314,3.97550431618374,0.39305808832034694,0.6613305682063333,0.7388929634879862
WR,2022,28,3.2038517542859943,3.792570296984137,0.23693928744692716,0.5803506318643247,0.6128149878436929
WR,2023,14,3.365735221621389,4.226563663484878,-0.06023151767766066,0.4847601548960119,0.6395604395604396
TE,2019,16,1.827529414982868,2.445664808705145,0.44190203965869335,0.6971176471758271,0.6357617615216811
TE,2020,12,1.923467062740792,2.4597173792607543,-0.28008761541455973,0.6040069595972403,0.4685314685314686
TE,2021,11,1.5632749774593562,1.933340732918382,0.586206209085422,0.7831895573058801,0.7000000000000001
TE,2022,19,2.0948389770718734,2.66719585186352,0.38566566787109424,0.672877122544173,0.6555370404983101
TE,2023,9,2.8527351690004847,3.1909833494080897,0.14902503779811482,0.4461646998725983,0.5166666666666667
