position,n_train,selected_feature_set,selected_model,n_features,blend,classifier,validation_mae_improvement_pct,validation_spearman_gain,final_mae_improvement_pct,final_spearman_gain,interval_abs_error_q80,interval_abs_error_q90,validation_n,validation_mae,validation_rmse,validation_r2,validation_pearson,validation_spearman,capital_validation_n,capital_validation_mae,capital_validation_rmse,capital_validation_r2,capital_validation_pearson,capital_validation_spearman,final_2023_n,final_2023_mae,final_2023_rmse,final_2023_r2,final_2023_pearson,final_2023_spearman,capital_final_2023_n,capital_final_2023_mae,capital_final_2023_rmse,capital_final_2023_r2,capital_final_2023_pearson,capital_final_2023_spearman,hit_validation_auc,hit_validation_brier,hit_validation_n,hit_final_2023_auc,hit_final_2023_brier,hit_final_2023_n
QB,214,capital_core_landing,rf,125,"{'weight': 0.8, 'other': ('capital_core_landing', 'extra4')}",xgb_cls,-3.009915561448501,0.052988246715868104,-66.41484615823734,-0.19999999999999984,5.870938341102916,8.29747887858161,42,3.7899147452291535,5.328466060634075,0.42058926821329123,0.6752620607918347,0.6144364534954867,42,3.6791746935937986,5.447315438067517,0.3944539486449147,0.6373048665222805,0.5614482067796186,5,4.9999361007105145,5.68239853944175,-0.27340502860057514,0.844117907009664,0.7,5,3.0045012305910928,3.6048642460988205,0.48751517592304283,0.8547795595952102,0.8999999999999998,0.8612244897959184,0.10400097817182541,42,1.0,0.17911073565483093,5
RB,417,capital_core_landing,ridge30,113,"{'weight': 0.5, 'other': ('capital', 'elastic')}",xgb_cls,1.0581324334026156,0.05924325401986996,3.810872825768488,0.2857142857142857,4.640174186132505,6.3154929145161045,86,2.9186433945197474,3.6815540789358154,0.5001946405987634,0.7188346143376878,0.7277095132537881,86,2.9498567859103932,3.8282532729087086,0.45956948250273244,0.6992533105769838,0.6684662592339181,7,4.975953476415765,6.031983202027213,0.30347819880264215,0.8372274632583826,0.8928571428571429,7,5.1730934904967025,6.321629282956431,0.234980481591488,0.7468492851507337,0.6071428571428572,0.8557575757575757,0.07668238133192062,86,0.9166666666666666,0.15079714357852936,7
WR,586,capital_production_landing,extra4,371,"{'weight': 1.0, 'other': None}",xgb_cls,-8.462610298612068,-0.03390227791453648,6.83981087739882,0.04395604395604402,5.511544115646257,6.8258780357142825,126,3.5085191417645403,4.303094153990833,0.29447782492423846,0.5526889966648497,0.5796371136607961,126,3.234772915851018,4.069970961789908,0.36885144499909384,0.608508150339987,0.6135393915753325,14,3.365735221621389,4.226563663484878,-0.06023151767766066,0.4847601548960119,0.6395604395604396,14,3.6128471327940264,4.10711824726297,-0.0011526329367006483,0.5959945011374302,0.5956043956043956,0.7651143790849673,0.1386498361825943,126,0.7500000000000001,0.1593027263879776,14
TE,270,capital_core_landing,extra4,137,"{'weight': 0.2, 'other': ('full', 'extra7')}",xgb_cls,2.6293048059583257,0.03705642130938369,-14.33610963340279,-0.04999999999999993,2.8776839619895744,4.55998342442933,58,1.8848282880867915,2.437436285821945,0.3843896735602449,0.6365632524797639,0.5958266280135879,58,1.9357243823007317,2.467840421956499,0.3689358648768135,0.6300337296785916,0.5587702067042042,9,2.8527351690004847,3.1909833494080897,0.14902503779811482,0.4461646998725983,0.5166666666666667,9,2.4950430604532925,3.0149950780005463,0.2403021083424981,0.5210328562921813,0.5666666666666667,0.9099999999999999,0.07383164763450623,58,0.7777777777777778,0.18703076243400574,9
