draft_year,position,result_type,player_count,mean_model_score,max_model_score,mean_prospect_percentile,realized_hit_rate,realized_star_rate
2007,RB,historical_oof,24,4.902678352734782,11.577407061048696,51.508042895442365,0.08333333333333333,0.041666666666666664
2007,WR,historical_oof,34,3.520432938425365,9.273544349489764,39.98319327731093,0.14705882352941177,0.08823529411764706
2008,QB,historical_oof,13,2.6984763046811078,6.1542435424572375,50.0437062937063,0.15384615384615385,0.0
2008,RB,historical_oof,27,4.674760452215697,11.885201209664686,48.594975672723656,0.2962962962962963,0.18518518518518517
2008,TE,historical_oof,16,3.2454310579927244,5.98507630608478,52.182112068965516,0.1875,0.0
2008,WR,historical_oof,35,4.013223667699222,10.387676198979586,46.40544217687075,0.11428571428571428,0.05714285714285714
2009,QB,historical_oof,11,3.4420875798058437,8.242028228846484,46.48760330578512,0.2727272727272727,0.09090909090909091
2009,RB,historical_oof,23,5.185411782814564,12.470954334090784,55.72910595640517,0.043478260869565216,0.043478260869565216
2009,TE,historical_oof,19,2.7113701864102904,7.021028739177493,43.51179673321234,0.05263157894736842,0.05263157894736842
2009,WR,historical_oof,34,3.7544546910639247,10.308579158163266,40.38095238095238,0.14705882352941177,0.08823529411764706
2010,QB,historical_oof,13,2.1874854350816038,10.663765445872286,33.522727272727266,0.0,0.0
2010,RB,historical_oof,15,5.608404594608728,12.924873886000592,53.22609472743521,0.13333333333333333,0.06666666666666667
2010,TE,historical_oof,19,2.205303725286307,7.809349312681382,33.41651542649728,0.2631578947368421,0.15789473684210525
2010,WR,historical_oof,31,3.9501239236609837,11.969761135204063,44.57142857142858,0.16129032258064516,0.0967741935483871
2011,QB,historical_oof,12,4.8422982637752146,11.96900515103892,50.56818181818182,0.25,0.16666666666666666
2011,RB,historical_oof,29,3.983824166017132,12.057847282037493,44.97550152537672,0.034482758620689655,0.034482758620689655
2011,TE,historical_oof,13,3.3327160346262423,7.383673193820077,49.37002652519894,0.3076923076923077,0.15384615384615385
2011,WR,historical_oof,28,4.71676872293452,12.549884770408172,51.76190476190476,0.14285714285714285,0.07142857142857142
2012,QB,historical_oof,11,5.106228363396664,12.395349035372655,53.09917355371901,0.45454545454545453,0.2727272727272727
2012,RB,historical_oof,21,4.797984171994533,13.142225890431082,49.010596195582785,0.19047619047619047,0.047619047619047616
2012,TE,historical_oof,12,3.4481512137659798,7.789751777161333,52.514367816091955,0.08333333333333333,0.0
2012,WR,historical_oof,33,5.218295109771182,13.741077380952389,56.63492063492063,0.09090909090909091,0.06060606060606061
2013,QB,historical_oof,11,3.1170302247043824,12.318783345218316,46.90082644628099,0.0,0.0
2013,RB,historical_oof,25,3.6823964588952776,8.407982523180324,42.02680965147453,0.12,0.08
2013,TE,historical_oof,16,3.4106820103433275,8.894850613503559,46.41702586206896,0.25,0.0625
2013,WR,historical_oof,27,4.84791801957357,12.686231938775522,52.289241622574956,0.07407407407407407,0.037037037037037035
2014,QB,historical_oof,13,4.037604655682519,12.868072597597552,37.41258741258741,0.15384615384615385,0.07692307692307693
2014,RB,historical_oof,21,4.162095830047361,7.235467068802311,47.427550108515256,0.09523809523809523,0.047619047619047616
2014,TE,historical_oof,10,4.830986901671741,9.032372939396913,64.91379310344828,0.1,0.0
2014,WR,historical_oof,33,5.454910438235556,14.988583711734687,56.61183261183261,0.2727272727272727,0.18181818181818182
2015,QB,historical_oof,7,5.507636096163016,13.746031261045,57.87337662337662,0.0,0.0
2015,RB,historical_oof,22,4.251974146509317,10.80573281870046,46.33195223007556,0.22727272727272727,0.13636363636363635
2015,TE,historical_oof,20,2.5412061721517576,7.27303796849976,39.224137931034484,0.0,0.0
2015,WR,historical_oof,33,5.000464183201058,12.059846947278908,53.20634920634921,0.09090909090909091,0.0
2016,QB,historical_oof,15,4.145217592837066,14.596803097150165,50.0,0.2,0.13333333333333333
2016,RB,historical_oof,23,3.75991109444279,13.96053542795124,39.538407739829815,0.08695652173913043,0.043478260869565216
2016,TE,historical_oof,11,2.7524808189506205,7.458536571850772,42.476489028213166,0.09090909090909091,0.09090909090909091
2016,WR,historical_oof,31,4.209588819585751,12.879383422619052,43.225806451612904,0.0967741935483871,0.06451612903225806
