n,mae,rmse,spearman,pearson,mean_year_spearman,min_year_spearman,position,feature_set,kind,n_features,r_mae,r_rmse,r_spearman,r_mean_year_spearman,r_min_year_spearman,selection_score
42,1.3161647707070785,2.142239146966433,0.9455115631444019,0.9537325742907149,0.9483801503440804,0.9339431975353207,QB,capital_plus_top16,cat3,1017,1.0,6.0,1.0,1.0,1.0,9.2
86,1.0193201130500984,1.5700752962640947,0.9530169785974767,0.9539913490533242,0.9463863403199555,0.9216704012529824,RB,capital_plus_top8,cat3,1126,1.0,1.0,6.0,1.0,6.0,12.2
126,0.9634864602863948,1.4326430137463388,0.9664400153627674,0.9613442891890125,0.9573327598016801,0.9237136867372987,WR,capital_plus_top16,cat3,598,1.0,1.0,1.0,2.0,6.0,7.8
58,0.6659767552095195,0.9803713793419517,0.9128990967256073,0.9501934186923878,0.9078852120101545,0.8727272727272729,TE,capital_plus_top8,cat3,598,1.0,1.0,6.0,6.0,1.0,12.2
