n,mae,rmse,spearman,pearson,mean_year_spearman,min_year_spearman,position,feature_set,kind,n_features
5,1.116506752162206,1.5268728259442021,0.7999999999999999,0.9800842065192297,0.7999999999999999,0.7999999999999999,QB,capital_plus_top16,cat3,1017
7,4.22392598646167,5.156061260002814,0.9285714285714288,0.8387848360440882,0.9285714285714288,0.9285714285714288,RB,capital_plus_top8,cat3,1126
14,1.3057368428055784,1.621478536363545,0.8901098901098902,0.9466790005269791,0.8901098901098902,0.8901098901098902,WR,capital_plus_top16,cat3,598
9,1.216025801388351,1.6382006600857533,0.8833333333333333,0.8871578883041515,0.8833333333333333,0.8833333333333333,TE,capital_plus_top8,cat3,598
