season,position,pfr_name,y,pred,variant
2023,QB,Bryce Young,12.148823529411766,14.431185722351074,baseline
2023,QB,C.J. Stroud,14.599999999999998,12.063755226135254,baseline
2023,QB,Anthony Richardson,6.94235294117647,11.956205368041992,baseline
2023,QB,Will Levis,6.528235294117646,10.341729164123535,baseline
2023,QB,Hendon Hooker,0.0788235294117647,3.7785966396331787,baseline
2023,RB,Bijan Robinson,20.95588235294117,16.38348960876465,baseline
2023,RB,Jahmyr Gibbs,21.46470588235294,17.425552368164062,baseline
2023,RB,Zach Charbonnet,10.83235294117647,10.93784523010254,baseline
2023,RB,Kendre Miller,2.252941176470588,8.863807678222656,baseline
2023,RB,Tyjae Spears,7.86470588235294,8.968547821044922,baseline
2023,RB,Devon Achane,18.314705882352943,10.90219783782959,baseline
2023,RB,Tank Bigsby,5.376470588235294,8.794886589050293,baseline
2023,WR,Jaxon Smith-Njigba,18.02647058823529,8.813461303710938,baseline
2023,WR,Quentin Johnston,10.173529411764708,8.462628364562988,baseline
2023,WR,Zay Flowers,13.31764705882353,7.94008207321167,baseline
2023,WR,Jordan Addison,12.758823529411766,8.296248435974121,baseline
2023,WR,Jonathan Mingo,3.441176470588236,8.428991317749023,baseline
2023,WR,Jayden Reed,12.182352941176472,8.394515037536621,baseline
2023,WR,Rashee Rice,10.66470588235294,6.63660192489624,baseline
2023,WR,Marvin Mims Jr.,6.602941176470589,6.850783824920654,baseline
2023,WR,Josh Downs,10.01764705882353,6.164814472198486,baseline
2023,WR,Nathaniel Dell,8.970588235294116,6.451926231384277,baseline
2023,WR,Michael Wilson,10.15,3.8815951347351074,baseline
2023,WR,Cedric Tillman,4.129411764705882,4.758290767669678,baseline
2023,WR,Jalin Hyatt,2.191176470588235,4.220357418060303,baseline
2023,WR,Tre Tucker,8.558823529411764,3.3825230598449707,baseline
2023,TE,Dalton Kincaid,8.129411764705882,7.464850902557373,sos
2023,TE,Michael Mayer,4.270588235294118,6.84177303314209,sos
2023,TE,Sam LaPorta,12.173529411764706,7.828298568725586,sos
2023,TE,Luke Musgrave,3.6588235294117646,5.9104156494140625,sos
2023,TE,Tucker Kraft,8.25,5.222749710083008,sos
2023,TE,Luke Schoonmaker,2.4794117647058824,4.310515880584717,sos
2023,TE,Cameron Latu,0.0,3.135131597518921,sos
2023,TE,Brenton Strange,6.15,5.735656261444092,sos
2023,TE,Darnell Washington,3.4823529411764707,4.415075778961182,sos
