season,position,pfr_name,y,pred,variant
2023,QB,Bryce Young,12.148823529411766,14.431185943187211,baseline
2023,QB,C.J. Stroud,14.599999999999998,12.063755258237574,baseline
2023,QB,Anthony Richardson,6.94235294117647,11.9562048964603,baseline
2023,QB,Will Levis,6.528235294117646,10.341729244178063,baseline
2023,QB,Hendon Hooker,0.0788235294117647,3.778596579316309,baseline
2023,RB,Bijan Robinson,20.95588235294117,16.38348859865115,baseline
2023,RB,Jahmyr Gibbs,21.46470588235294,17.42555222243992,baseline
2023,RB,Zach Charbonnet,10.83235294117647,10.937844721273423,baseline
2023,RB,Kendre Miller,2.252941176470588,8.863807988055175,baseline
2023,RB,Tyjae Spears,7.86470588235294,8.968547608413298,baseline
2023,RB,Devon Achane,18.314705882352943,10.902198182311617,baseline
2023,RB,Tank Bigsby,5.376470588235294,8.794886822969524,baseline
2023,WR,Jaxon Smith-Njigba,18.02647058823529,9.25368955814627,robust_ridge_blend
2023,WR,Quentin Johnston,10.173529411764708,8.91881720845678,robust_ridge_blend
2023,WR,Zay Flowers,13.31764705882353,8.38257702231179,robust_ridge_blend
2023,WR,Jordan Addison,12.758823529411766,8.933143742296739,robust_ridge_blend
2023,WR,Jonathan Mingo,3.441176470588236,7.869472484506676,robust_ridge_blend
2023,WR,Jayden Reed,12.182352941176472,8.346164399034706,robust_ridge_blend
2023,WR,Rashee Rice,10.66470588235294,6.334566211774385,robust_ridge_blend
2023,WR,Marvin Mims Jr.,6.602941176470589,6.822753530708611,robust_ridge_blend
2023,WR,Nathaniel Dell,8.970588235294116,5.548130188162333,robust_ridge_blend
2023,WR,Jalin Hyatt,2.191176470588235,6.042777634405304,robust_ridge_blend
2023,WR,Cedric Tillman,4.129411764705882,5.503138708632575,robust_ridge_blend
2023,WR,Josh Downs,10.01764705882353,5.921230193411241,robust_ridge_blend
2023,WR,Michael Wilson,10.15,5.630482756937656,robust_ridge_blend
2023,WR,Tre Tucker,8.558823529411764,5.761630359478929,robust_ridge_blend
2023,TE,Dalton Kincaid,8.129411764705882,6.792102049479778,sos
2023,TE,Sam LaPorta,12.173529411764706,6.55630880212334,sos
2023,TE,Michael Mayer,4.270588235294118,6.901492733798706,sos
2023,TE,Luke Musgrave,3.6588235294117646,6.089337530042184,sos
2023,TE,Luke Schoonmaker,2.4794117647058824,2.98689962612286,sos
2023,TE,Brenton Strange,6.15,4.070688416445317,sos
2023,TE,Tucker Kraft,8.25,2.840892925805903,sos
2023,TE,Darnell Washington,3.4823529411764707,2.454374008151597,sos
2023,TE,Cameron Latu,0.0,1.4584341734180384,sos
