position,period,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,2024,v42,544,3.9946764087178757,5.039579028969653,0.36249049441220027,0.35431470831745354,11.055555555555555,9.5,9.644444444444444
DST,2024,candidate,544,4.001012118960349,5.020499005581107,0.36834496361672137,0.353851863713756,10.944444444444445,9.870370370370372,9.522222222222222
DST,2025,v42,544,4.110143520849162,5.245540274486902,0.31065555672145473,0.31528706129725204,10.166666666666666,9.388888888888891,8.433333333333334
DST,2025,candidate,544,4.108544211118309,5.253594071260458,0.30675153182449505,0.3080632339933581,10.555555555555555,9.351851851851853,8.71111111111111
DST,2024-2025,v42,1088,4.052409964783519,5.143590650532701,0.33338536521749773,0.33480088480735287,10.61111111111111,9.444444444444445,9.038888888888888
DST,2024-2025,candidate,1088,4.0547781650393295,5.138368463365775,0.33223978906577784,0.3309575488535571,10.75,9.61111111111111,9.116666666666667
K,2024,v42,543,3.6760760761676647,4.697695643405695,0.17992395194040858,0.2166450729788519,10.055555555555555,9.0,9.266666666666667
K,2024,candidate,543,3.6666749560900125,4.690868535101043,0.18743055860476265,0.2286046051964622,9.666666666666666,9.481481481481481,9.200000000000001
K,2025,v42,543,3.6554882678786806,4.563702118948418,0.2542775899294807,0.21973445334741729,11.666666666666666,11.444444444444445,10.488888888888887
K,2025,candidate,543,3.6477452520400537,4.550360896945273,0.2611300403819871,0.22350091541224368,11.5,10.555555555555557,10.511111111111113
K,2024-2025,v42,1086,3.665782172023173,4.631183509026992,0.21793327267089055,0.2181897631631346,10.86111111111111,10.222222222222221,9.877777777777775
K,2024-2025,candidate,1086,3.6572101040650336,4.6211487698433595,0.22573055008079276,0.22605276030435295,10.583333333333334,10.018518518518517,9.855555555555553
