position,split,primary_scout_features_removed,secondary_scout_features_removed,delta_mae_no_scout_minus_with_scout,delta_rmse_no_scout_minus_with_scout,delta_spearman_no_scout_minus_with_scout,delta_pearson_no_scout_minus_with_scout,delta_hit_auc_no_scout_minus_with_scout,delta_hit_brier_no_scout_minus_with_scout
WR,validation_2019_2022,2,0,0.0006209882929564259,0.0021238703044161866,-0.00326537520989878,-0.0011712375838488498,-0.007761437908496593,0.0026516570889644764
WR,final_2023,2,0,0.05914293684998295,0.167932293748156,-0.04395604395604402,-0.022714399892007187,0.0,0.0003948956851678731
TE,validation_2019_2022,0,2,-0.007430378377538016,-0.007683831599476498,-0.0017235544795062285,0.001108605687138109,0.0,0.0
TE,final_2023,0,2,-0.017093699482382707,-0.004591382830753332,0.08333333333333326,0.002160267819285855,0.0,0.0
