position,pfr_name,pred_best2of3_ppg_no_scout,hit_probability_no_scout,pred_best2of3_ppg_with_scout,hit_probability_with_scout,score_delta_no_scout_minus_with_scout,hit_probability_delta_pp_no_scout_minus_with_scout,serialized_frozen_pred_best2of3_ppg,serialized_frozen_hit_probability,abs_score_scout_ablation_effect
TE,Max Klare,5.783971812835855,0.31992635130882263,5.495017319501229,0.31992635130882263,0.288954493334626,0.0,5.466731235400921,0.31992635,0.288954493334626
TE,Eli Stowers,6.625283716616596,0.37128734588623047,6.337768374040176,0.37128734588623047,0.28751534257641964,0.0,6.314184573853434,0.37128735,0.28751534257641964
TE,Matthew Hibner,3.5101138890876853,0.06242579221725464,3.3144731187399175,0.06242579221725464,0.19564077034776783,0.0,3.305785028753923,0.062425792,0.19564077034776783
TE,Josh Cuevas,2.249875868432454,0.03382578864693642,2.095493528342572,0.03382578864693642,0.1543823400898816,0.0,2.106412673386953,0.03382579,0.1543823400898816
TE,Marlin Klein,4.198001150851951,0.21587920188903809,4.3027287891275385,0.21587920188903809,-0.10472763827558751,0.0,4.295241791700361,0.2158792,0.10472763827558751
TE,Max Bredeson,1.3274873797429807,0.023827891796827316,1.4048539240541795,0.023827891796827316,-0.07736654431119883,0.0,1.4130097379933917,0.023827892,0.07736654431119883
TE,Tanner Koziol,4.198687485541422,0.09543832391500473,4.126726036334696,0.09543832391500473,0.07196144920672598,0.0,4.117402183331957,0.095438324,0.07196144920672598
TE,Seydou Traore,2.5746142323566965,0.06051355600357056,2.6348784856570826,0.06051355600357056,-0.060264253300386095,0.0,2.6449425848422115,0.060513556,0.060264253300386095
TE,Joe Royer,1.8395051485480558,0.040831033140420914,1.8913705276903887,0.040831033140420914,-0.05186537914233291,0.0,1.8771893180701764,0.040831033,0.05186537914233291
TE,Kenyon Sadiq,8.177275112663946,0.3663089871406555,8.227650838586012,0.3663089871406555,-0.050375725922066295,0.0,8.22883863853933,0.366309,0.050375725922066295
TE,Justin Joly,3.025872117664957,0.07461297512054443,3.066024038457748,0.07461297512054443,-0.040151920792791174,0.0,3.060623861970486,0.074612975,0.040151920792791174
TE,Will Kacmarek,2.935499139331139,0.07333890348672867,2.9699134115178696,0.07333890348672867,-0.03441427218673043,0.0,2.96991387449152,0.0733389,0.03441427218673043
TE,Oscar Delp,3.3814479744269494,0.13753625750541687,3.409031635707313,0.13753625750541687,-0.027583661280363714,0.0,3.3962940802684702,0.13753626,0.027583661280363714
TE,Jack Endries,0.3713781908451026,0.07243216037750244,0.3449578505224933,0.07243216037750244,0.026420340322609315,0.0,0.3449504716239641,0.07243216,0.026420340322609315
TE,Carsen Ryan,0.6435157718845109,0.026075944304466248,0.6624528548435689,0.026075944304466248,-0.018937082959057938,0.0,0.6644573505958324,0.026075944,0.018937082959057938
TE,Nate Boerkircher,3.6327043346994965,0.2198312133550644,3.619043674684909,0.2198312133550644,0.013660660014587656,0.0,3.618462663819024,0.21983121,0.013660660014587656
TE,Jaren Kanak,0.46782895076241443,0.11505647003650665,0.4761363828109914,0.11505647003650665,-0.00830743204857698,0.0,0.4774166286365944,0.11505647,0.00830743204857698
TE,Riley Nowakowski,1.711773467457788,0.03000585176050663,1.7045527468595256,0.03000585176050663,0.007220720598262398,0.0,1.707723329979137,0.030005852,0.007220720598262398
